bank,reference_N,ref_note,r,mae,n_eval_models
1PL,20,headline,0.8811,0.0704,13
1PL,43,headline; 1PL_SE0.30,0.9723,0.0505,13
1PL,64,1PL_SE0.25,0.968,0.0638,13
1PL,71,headline,0.9721,0.065,13
1PL,100,headline; 1PL_SE0.20,0.9776,0.0623,13
1PL,182,1PL_SE0.15,0.9871,0.0594,13
1PL,304,1PL_SE0.12,0.9848,0.0679,13
2PL,20,headline,0.8944,0.0792,13
2PL,43,headline; 1PL_SE0.30,0.9555,0.073,13
2PL,64,1PL_SE0.25,0.9636,0.0714,13
2PL,71,headline,0.9662,0.0722,13
2PL,100,headline; 1PL_SE0.20,0.9688,0.07,13
2PL,182,1PL_SE0.15,0.9686,0.0702,13
2PL,304,1PL_SE0.12,0.9688,0.0698,13
3PL,20,headline,0.9234,0.1414,13
3PL,43,headline; 1PL_SE0.30,0.9345,0.1397,13
3PL,64,1PL_SE0.25,0.9439,0.1377,13
3PL,71,headline,0.943,0.1384,13
3PL,100,headline; 1PL_SE0.20,0.9418,0.1356,13
3PL,182,1PL_SE0.15,0.9321,0.1325,13
3PL,304,1PL_SE0.12,0.9285,0.126,13
ATLAS_3PL,20,headline,0.927,0.0301,60
ATLAS_3PL,43,headline; 1PL_SE0.30,0.9388,0.0291,60
ATLAS_3PL,64,1PL_SE0.25,0.9435,0.0286,60
ATLAS_3PL,71,headline,0.9434,0.0284,60
ATLAS_3PL,100,headline; 1PL_SE0.20,0.9452,0.0279,60
ATLAS_3PL,182,1PL_SE0.15,0.9464,0.0275,60
ATLAS_3PL,304,1PL_SE0.12,0.947,0.0271,60
