bank,N,r,mae,n_eval_models
1PL,8,0.6645,0.0674,13
1PL,9,0.6391,0.0637,13
1PL,10,0.5656,0.0649,13
1PL,11,0.6212,0.0686,13
1PL,12,0.6979,0.0733,13
1PL,13,0.6723,0.08,13
1PL,14,0.7383,0.0819,13
1PL,15,0.7553,0.0828,13
1PL,16,0.7734,0.0812,13
1PL,17,0.8191,0.0778,13
1PL,18,0.8385,0.0724,13
1PL,19,0.8487,0.0713,13
1PL,20,0.8811,0.0704,13
1PL,21,0.9031,0.0653,13
1PL,22,0.9095,0.0613,13
1PL,23,0.9019,0.0618,13
1PL,24,0.9237,0.0615,13
1PL,25,0.9108,0.058,13
1PL,26,0.9254,0.0566,13
1PL,27,0.9162,0.0563,13
1PL,28,0.9278,0.0561,13
1PL,29,0.9244,0.0536,13
1PL,30,0.9357,0.0515,13
1PL,31,0.9351,0.0534,13
1PL,32,0.9332,0.0488,13
1PL,33,0.9341,0.046,13
1PL,34,0.936,0.0442,13
1PL,35,0.9539,0.0459,13
1PL,36,0.958,0.0453,13
1PL,37,0.9596,0.0494,13
1PL,38,0.9687,0.0466,13
1PL,39,0.9707,0.0472,13
1PL,40,0.9782,0.0478,13
1PL,41,0.9744,0.0503,13
1PL,42,0.9757,0.0499,13
1PL,43,0.9723,0.0505,13
1PL,44,0.9766,0.0522,13
1PL,45,0.9785,0.0517,13
1PL,46,0.9789,0.0549,13
1PL,47,0.9759,0.0556,13
1PL,48,0.9731,0.0598,13
1PL,49,0.9753,0.0594,13
1PL,50,0.9731,0.0567,13
1PL,51,0.9711,0.0575,13
1PL,52,0.9737,0.0568,13
1PL,53,0.9698,0.0574,13
1PL,54,0.9713,0.0595,13
1PL,55,0.9748,0.0584,13
1PL,56,0.9688,0.0595,13
1PL,57,0.9763,0.06,13
1PL,58,0.9706,0.0602,13
1PL,59,0.9718,0.0614,13
1PL,60,0.9715,0.0599,13
1PL,61,0.9704,0.0621,13
1PL,62,0.9709,0.0623,13
1PL,63,0.9659,0.0623,13
1PL,64,0.968,0.0638,13
1PL,65,0.9725,0.0649,13
1PL,66,0.9759,0.0632,13
1PL,67,0.9727,0.063,13
1PL,68,0.9703,0.0626,13
1PL,69,0.9687,0.063,13
1PL,70,0.9682,0.064,13
1PL,71,0.9721,0.065,13
1PL,72,0.9725,0.0654,13
1PL,73,0.9754,0.0658,13
1PL,74,0.9757,0.0656,13
1PL,75,0.9754,0.0664,13
1PL,76,0.9761,0.0656,13
1PL,77,0.9772,0.0664,13
1PL,78,0.978,0.0667,13
1PL,79,0.9767,0.0647,13
1PL,80,0.9766,0.0663,13
1PL,81,0.9746,0.065,13
1PL,82,0.9739,0.0653,13
1PL,83,0.9759,0.0663,13
1PL,84,0.9782,0.0661,13
1PL,85,0.9787,0.0649,13
1PL,86,0.9767,0.0646,13
1PL,87,0.9748,0.0645,13
1PL,88,0.9737,0.0627,13
1PL,89,0.9761,0.0634,13
1PL,90,0.9794,0.0631,13
1PL,91,0.9774,0.0638,13
1PL,92,0.9746,0.0631,13
1PL,93,0.9726,0.0629,13
1PL,94,0.9718,0.0623,13
1PL,95,0.9735,0.0621,13
1PL,96,0.9734,0.0607,13
1PL,97,0.9757,0.0609,13
1PL,98,0.9747,0.0621,13
1PL,99,0.976,0.0618,13
1PL,100,0.9776,0.0623,13
1PL,101,0.9752,0.062,13
1PL,102,0.9766,0.0625,13
1PL,103,0.977,0.0617,13
1PL,104,0.9776,0.0634,13
1PL,105,0.9772,0.0622,13
1PL,106,0.9793,0.0624,13
1PL,107,0.9787,0.0614,13
1PL,108,0.9801,0.0612,13
1PL,109,0.981,0.0622,13
1PL,110,0.982,0.062,13
1PL,111,0.9836,0.0611,13
1PL,112,0.9849,0.0623,13
1PL,113,0.9848,0.0613,13
1PL,114,0.9855,0.0623,13
1PL,115,0.9866,0.0618,13
1PL,116,0.9877,0.0619,13
1PL,117,0.9882,0.0621,13
1PL,118,0.9877,0.063,13
1PL,119,0.9863,0.0636,13
1PL,120,0.9873,0.0634,13
1PL,121,0.9877,0.0625,13
1PL,122,0.9878,0.0623,13
1PL,123,0.9877,0.0622,13
1PL,124,0.9882,0.0627,13
1PL,125,0.9883,0.0624,13
1PL,126,0.9899,0.0623,13
1PL,127,0.9911,0.0624,13
1PL,128,0.9899,0.0626,13
1PL,129,0.9904,0.0627,13
1PL,130,0.9885,0.0629,13
