fold,estimator,n,mae,bias,r
pooled,online,52,0.11048266191470885,0.02421124306733596,0.8967450265650223
pooled,eap,52,0.08129690243720751,0.011443761569776972,0.9282325531747968
pooled,mwle,52,0.08535707543145671,0.01849026282191105,0.91354395614944
pooled,reference,52,0.016736825459938525,0.0016079487186480151,0.9984011805337298
0,online,11,0.08137526767322557,0.011261577065654272,0.9220615174602786
0,eap,11,0.0619377376349654,-0.020682231053912984,0.9535774860541095
0,mwle,11,0.06488440617699719,-0.020560198348039325,0.9438475995982828
0,reference,11,0.014883368323405083,-0.006295615266051797,0.9988164316137009
1,online,10,0.13781173192694424,0.06933838129760092,0.9772338504281584
1,eap,10,0.10028707891607617,0.07000279640492793,0.9750776917552296
1,mwle,10,0.09828468913533686,0.07674580095904535,0.9773949770934686
1,reference,10,0.017797013143585137,0.010840066311016316,0.9990187686083234
2,online,10,0.13543021188021895,-0.020983406614221923,0.9177449667756893
2,eap,10,0.07781207456338377,-0.0029496421034845566,0.9512032296121126
2,mwle,10,0.08799227801262757,0.01583855420880346,0.9238600333651769
2,reference,10,0.023262244533058314,-0.009024851917788217,0.9989179474521467
3,online,10,0.11297016707463296,0.00990176124321115,0.8225597430691003
3,eap,10,0.098013620477943,-0.00968711502275349,0.8609454566439316
3,mwle,10,0.09520536398067887,-0.011871347393794312,0.8559406381459957
3,reference,10,0.010926629168492435,0.00990158011155618,0.9998259780461287
4,online,11,0.08980448784921964,0.05023090295576103,0.9337482508665785
4,eap,11,0.07136327937964919,0.022629068221322424,0.9427506849992207
4,mwle,11,0.08272874029112248,0.03459325189338748,0.9264702065755424
4,reference,11,0.016976273082544412,0.003245196022583982,0.9982243730257991
