outer_fold,model,family,criterion_id,label,probability
0,01-ai/Yi-1.5-6B,yi,ifb_0000_c01,0,0.31105956978831983
0,01-ai/Yi-1.5-6B,yi,ifb_0000_c02,0,0.17197934062536233
0,01-ai/Yi-1.5-6B,yi,ifb_0000_c03,0,0.056740194327189165
0,01-ai/Yi-1.5-6B,yi,ifb_0002_c01,0,0.2837080085628697
0,01-ai/Yi-1.5-6B,yi,ifb_0002_c02,0,0.04303326199429118
0,01-ai/Yi-1.5-6B,yi,ifb_0002_c03,0,0.17765735618191356
0,01-ai/Yi-1.5-6B,yi,ifb_0011_c01,0,0.44982481366014565
0,01-ai/Yi-1.5-6B,yi,ifb_0011_c02,0,0.5842243223507348
0,01-ai/Yi-1.5-6B,yi,ifb_0030_c01,1,0.3305815071664808
0,01-ai/Yi-1.5-6B,yi,ifb_0030_c02,0,0.015555160104852209
0,01-ai/Yi-1.5-6B,yi,ifb_0038_c01,0,0.4964747023402128
0,01-ai/Yi-1.5-6B,yi,ifb_0038_c02,1,0.2014818825705717
0,01-ai/Yi-1.5-6B,yi,ifb_0038_c03,0,0.04204639872904436
0,01-ai/Yi-1.5-6B,yi,ifb_0038_c04,1,0.7067844542648487
0,01-ai/Yi-1.5-6B,yi,ifb_0038_c05,1,0.07577295617971759
0,01-ai/Yi-1.5-6B,yi,ifb_0044_c01,0,0.007369689682579597
0,01-ai/Yi-1.5-6B,yi,ifb_0044_c02,0,0.002622815149342706
0,01-ai/Yi-1.5-6B,yi,ifb_0044_c03,0,6.436159115382452e-05
0,01-ai/Yi-1.5-6B,yi,ifb_0045_c01,0,0.4628221520223833
0,01-ai/Yi-1.5-6B,yi,ifb_0045_c02,0,0.649916729058822
0,01-ai/Yi-1.5-6B,yi,ifb_0045_c03,0,0.6398251320677283
0,01-ai/Yi-1.5-6B,yi,ifb_0045_c04,0,0.4269297950478762
0,01-ai/Yi-1.5-6B,yi,ifb_0049_c01,0,0.8622125864013064
0,01-ai/Yi-1.5-6B,yi,ifb_0049_c02,0,0.6432887031815261
0,01-ai/Yi-1.5-6B,yi,ifb_0055_c01,1,0.6825190397664588
0,01-ai/Yi-1.5-6B,yi,ifb_0055_c02,1,0.6399600555279518
0,01-ai/Yi-1.5-6B,yi,ifb_0055_c03,1,0.588117876221566
0,01-ai/Yi-1.5-6B,yi,ifb_0057_c01,0,0.141262430423105
0,01-ai/Yi-1.5-6B,yi,ifb_0057_c02,0,0.11743858169060976
0,01-ai/Yi-1.5-6B,yi,ifb_0057_c03,0,0.15694171637807208
0,01-ai/Yi-1.5-6B,yi,ifb_0072_c01,0,0.3680553904586972
0,01-ai/Yi-1.5-6B,yi,ifb_0072_c02,0,0.22809712997278206
0,01-ai/Yi-1.5-6B,yi,ifb_0074_c01,1,0.2187995676342972
0,01-ai/Yi-1.5-6B,yi,ifb_0074_c02,1,0.16605312394853766
0,01-ai/Yi-1.5-6B,yi,ifb_0076_c01,1,0.20500744311070027
0,01-ai/Yi-1.5-6B,yi,ifb_0076_c02,1,0.16953630720868912
0,01-ai/Yi-1.5-6B,yi,ifb_0086_c01,0,0.6499716981551444
0,01-ai/Yi-1.5-6B,yi,ifb_0086_c02,0,0.9999094858993154
0,01-ai/Yi-1.5-6B,yi,ifb_0088_c01,0,0.18679951234408962
0,01-ai/Yi-1.5-6B,yi,ifb_0088_c02,0,0.2667329316730207
0,01-ai/Yi-1.5-6B,yi,ifb_0088_c03,0,0.04877639381178718
0,01-ai/Yi-1.5-6B,yi,ifb_0088_c04,0,0.16593518033221138
0,01-ai/Yi-1.5-6B,yi,ifb_0092_c01,0,0.7908168447818229
0,01-ai/Yi-1.5-6B,yi,ifb_0092_c02,0,0.2421365231724933
