fold,estimator,n,r,slope,mae,bias
pooled,online,52,0.8116363925129014,0.3928815068271277,0.8352268564260624,0.33230248612257385
pooled,eap,52,0.8595491278751667,0.6166605609000722,0.6617456894440136,0.2448413295371568
pooled,mwle,52,0.8125488493072247,0.6388215559514129,0.7176462552544246,0.30665396525688465
0,online,11,0.8721702653756197,0.5271302223487401,0.46982489337844746,0.13675921457664506
0,eap,11,0.9014445267647673,0.7917134452855601,0.38273799749509846,-0.07343596383903007
0,mwle,11,0.884380146703519,0.7780027007211762,0.42176268218810886,-0.08711307994880232
1,online,10,0.9407380850614522,0.3366600798273432,1.136316736171679,0.6295133504256989
1,eap,10,0.9720257701300345,0.5163917039008724,0.8800657134264311,0.6560945472198775
1,mwle,10,0.9650148896399571,0.5289162922698228,0.8542380551979554,0.7135564198250905
2,online,10,0.819204216084734,0.3499174159572898,1.1826073445380558,0.25852412853852036
2,eap,10,0.8689172142972127,0.6616334238492726,0.8269976555648316,0.32923715688539285
2,mwle,10,0.7962493511154848,0.7514762618926565,1.0287713076658342,0.564489133800721
3,online,10,0.8005167780119065,0.48062880950646975,0.6341365537401575,0.10151767263496518
3,eap,10,0.8691068457727897,0.6663955304062069,0.528789963509246,-0.03725554156048706
3,mwle,10,0.8642282294277159,0.7311100038727154,0.5091644181379278,-0.08263980177969192
4,online,11,0.7997774456528673,0.423211121555816,0.7939196693175824,0.5345296729126272
4,eap,11,0.8332983673086269,0.6030595323947957,0.7129204139670492,0.36898028297396857
4,mwle,11,0.812232331846124,0.5674370695289208,0.7960434508312463,0.450017504939421
