op_point,min_scenarios,se_target,scenarios_mean_deployed,scenarios_median_deployed,scenarios_max_deployed,criteria_mean_deployed,convergence_rate_deployed,capped_frac_deployed,recovery_r,recovery_r_lo,recovery_r_hi,recovery_slope,theta_mae,pass_r,pass_mae,ability_se_median_deployed,se_param_median_deployed,se_total_median_deployed
f0_se0.08,0,0.08,31.49,19,60,554.9,0.745,0.255,0.9729,0.9478,0.9873,0.9191,0.2267,0.9352,0.0444,0.0829,0.0458,0.0985
f0_se0.10,0,0.1,21.08,10,60,372.0,0.961,0.039,0.9499,0.9095,0.973,0.8547,0.3048,0.9069,0.0553,0.1011,0.0488,0.1127
f0_se0.12,0,0.12,14.0,8,60,247.4,0.961,0.039,0.9309,0.8758,0.9642,0.8219,0.3535,0.8844,0.0596,0.117,0.0542,0.1301
f0_se0.15,0,0.15,9.25,6,47,163.8,1.0,0.0,0.886,0.8085,0.9378,0.7857,0.4132,0.8333,0.0628,0.1426,0.0636,0.1551
f0_se0.20,0,0.2,5.57,3,29,98.6,1.0,0.0,0.8526,0.7582,0.9187,0.7773,0.4766,0.7932,0.0689,0.1828,0.0783,0.2035
f0_se0.25,0,0.25,3.86,3,19,68.6,1.0,0.0,0.8358,0.7425,0.9065,0.7691,0.5066,0.7971,0.071,0.2214,0.0933,0.247
f0_se0.30,0,0.3,3.04,2,16,54.0,1.0,0.0,0.8082,0.7134,0.8833,0.7403,0.5474,0.7766,0.0731,0.2634,0.1083,0.2897
f4_se0.08,4,0.08,31.49,19,60,554.9,0.745,0.255,0.9729,0.9478,0.9873,0.9191,0.2267,0.9352,0.0444,0.0829,0.0467,0.0984
f4_se0.10,4,0.1,21.08,10,60,372.0,0.961,0.039,0.9499,0.9095,0.973,0.8547,0.3048,0.9069,0.0553,0.1011,0.0466,0.1126
f4_se0.12,4,0.12,14.0,8,60,247.4,0.961,0.039,0.9335,0.8836,0.9644,0.8245,0.3478,0.8887,0.0587,0.117,0.0553,0.131
f4_se0.15,4,0.15,9.29,6,47,164.5,1.0,0.0,0.9029,0.8413,0.9442,0.796,0.4007,0.8546,0.0618,0.1425,0.0663,0.1554
f4_se0.20,4,0.2,6.18,4,29,109.5,1.0,0.0,0.8946,0.8323,0.9394,0.7908,0.4289,0.8507,0.0628,0.1734,0.0764,0.1894
