model,fold,theta_ref,theta_mwle,n_items,pred_pass,actual_pass
utter-project/EuroLLM-1.7B-Instruct,0,-0.40063821432265967,-0.12937003334189104,20,0.37301978875238984,0.3017437452615618
ibm/PowerLM-3b,0,2.931460636755825e-17,0.32053216045498095,20,0.4374916156017986,0.390068233510235
BEE-spoke-data/smol_llama-220M-openhermes,0,-2.008374379712025,-1.8282454352848916,50,0.2374286103946822,0.20773313115996966
openlm-research/open_llama_3b,0,-1.2031248437980406,-1.6629531564404472,63,0.246196196302419,0.2680060652009098
meta-llama/Llama-3.2-3B-Instruct,0,1.6051847101184429,0.8925132259681101,20,0.5340913103659133,0.77710386656558
BSC-LT/salamandra-2b,0,-2.0081983696871233,-1.7605052253992617,55,0.24096576335129036,0.19863532979529946
pankajmathur/orca_mini_v9_5_3B-Instruct,0,1.2029642303088703,0.8706633932632751,20,0.5303615674756834,0.6588324488248674
arcee-ai/raspberry-3B,0,1.202964229915813,0.5520819261866564,20,0.4756660192374968,0.6262319939347991
meta-llama/Llama-3.2-1B,0,-0.8016233944240878,-1.475709464329034,82,0.2567606385108716,0.2562547384382108
BSC-LT/salamandra-2b-instruct,0,0.4006382104919758,0.27935091525762007,20,0.4310085047053737,0.4359363153904473
01-ai/Yi-6B,0,3.0149467066356925e-07,-0.0833472121119232,20,0.3789378360946931,0.4211523881728582
meta-llama/Llama-3.2-1B-Instruct,1,1.2029642303001955,0.5787708712631188,20,0.47994577868222377,0.5483383685800605
tiiuae/Falcon3-3B-Instruct,1,1.6051847101182257,1.5508514527494603,20,0.646723685800045,0.7209214501510574
Qwen/Qwen1.5-1.8B,1,-2.413086092309813,-1.739838195238372,20,0.19662442932937307,0.13141993957703926
openbmb/MiniCPM-1B-sft-bf16,1,-0.801538256241428,-0.2924491768019879,20,0.34200808905169977,0.29154078549848944
google/gemma-2b,1,-0.40065640695356997,-0.7011953431370519,33,0.29226486169117055,0.29607250755287007
h2oai/h2o-danube2-1.8b-chat,1,-0.7987355765214668,0.024108376808312525,20,0.38787199771274883,0.2809667673716012
HuggingFaceTB/SmolLM2-360M,1,-1.20296423020096,-0.932428470278041,27,0.26801456425013803,0.2394259818731118
tiiuae/Falcon3-3B-Base,1,0.4006382110599517,0.2894043750894617,20,0.4305685377118222,0.4882930513595166
ibm-granite/granite-7b-instruct,1,0.4006382110599505,0.43425651017004185,20,0.4550404747481918,0.43089123867069484
openbmb/MiniCPM-2B-sft-bf16,1,-0.09005433096230597,-0.22958884354825343,20,0.3505917861081852,0.3523413897280967
utter-project/EuroLLM-1.7B,2,-1.2029642296976493,-1.2268141361929268,20,0.23045188540508688,0.23261931604659902
ibm-granite/granite-3.1-2b-instruct,2,0.8015262128425309,1.046044540989651,20,0.5601615400422109,0.4919203307027433
nvidia/AceInstruct-1.5B,2,1.6033767256976386,1.3368241405641637,20,0.6134905914465285,0.6550169109357384
pankajmathur/orca_mini_3b,2,-2.3039708968029985e-10,0.22615454695627868,20,0.4082392718460482,0.33183013904547165
ibm-granite/granite-3.0-2b-base,2,1.696293959834962e-15,-0.029319479079217618,20,0.366477961532747,0.38293874483276963
google/gemma-2-2b,2,8.04218058284073e-11,-0.21804160907070672,20,0.3387941435997236,0.3945885005636979
stabilityai/stablelm-2-zephyr-1_6b,2,-2.0546462057403666e-12,-0.2056563637665916,20,0.34052447976156447,0.3397219090567456
01-ai/Yi-1.5-6B-Chat,2,1.2029642303011723,1.339794032299093,20,0.6140189945936294,0.5986471251409244
tiiuae/Falcon3-1B-Instruct,2,0.7154709602480205,0.8526074285674797,20,0.5237018577034565,0.4768883878241263
BSC-LT/salamandra-7b-instruct,2,0.4006393978922686,0.28540797329181405,20,0.418541471409634,0.47651258925216083
01-ai/Yi-1.5-6B,3,0.40063821105995057,-0.035637004272373624,20,0.3995171858730807,0.47595792637114953
BSC-LT/salamandra-7b,3,-1.452735048094979e-14,-0.6209517713572366,23,0.3214432300242325,0.4060856498873028
ai-forever/mGPT,3,-2.0084752482899986,-1.7049221461450383,20,0.22236343571376913,0.16979714500375656
01-ai/Yi-6B-Chat,3,0.19907111241081685,0.11424301538424728,20,0.422400263665907,0.43425995492111197
allenai/OLMo-1B-hf,3,-2.4131498145176073,-2.7563897860824818,20,0.15832968639334613,0.16979714500375656
h2oai/h2o-danube-1.8b-chat,3,-0.40063821108839653,-0.7611467426117523,33,0.30569916773401185,0.32619316046599023
ibm-granite/granite-3.1-2b-base,3,-2.404835276881093e-12,0.027450162952562487,20,0.40902937354151825,0.37678437265214126
01-ai/Yi-6B-200K,3,-0.40063774861565393,-0.5213697429786125,23,0.33332256707957486,0.3606311044327573
Qwen/Qwen1.5-1.8B-Chat,3,-0.40063821228867047,-0.40536901554033766,21,0.3479048010683558,0.3181818181818182
allenai/OLMo-2-0425-1B,3,-0.801542650056437,-0.7034108544134452,25,0.3120469660105837,0.2858752817430503
h2oai/h2o-danube2-1.8b-base,4,-0.4010780050670621,-0.25091461359564515,20,0.33782131226486906,0.29726694122051667
allenai/OLMo-2-0425-1B-DPO,4,4.7845651981803744e-12,0.12545851973499558,20,0.3955025083273843,0.37476600524148257
stabilityai/stablelm-2-1_6b-chat,4,-0.3974112455155143,-0.4148727103512045,20,0.31615210396327303,0.3182328715836765
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,4,1.2029642303011723,0.8729250117328126,20,0.5304177634787558,0.6286035192811681
allenai/OLMo-2-0425-1B-Instruct,4,0.4006382110599505,0.43910567226883507,20,0.4505017842460896,0.42905278921752155
Qwen/Qwen2-0.5B,4,-1.605143447957664,-1.1738823666113363,20,0.23803887827304934,0.18831898165481092
OpenBMB/MiniCPM4-0.5B,4,0.4006382110599505,0.548273715897845,20,0.4705107408632104,0.44290527892175213
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,4,-1.2029641531554394,-1.4993858435674128,20,0.2115111466907471,0.25196555597154624
Qwen/Qwen2.5-0.5B-Instruct,4,0.40794687343337593,0.20563929672087294,20,0.4090857913249273,0.4960688880569075
stabilityai/stablelm-zephyr-3b,4,-2.0395727769442618e-20,0.26119417762510616,20,0.4187132694514689,0.3496817671284163
