model,pirt_accuracy,theta,n_subset_items,n_all_items,actual_accuracy,se_reached,error,abs_error,squared_error
01-ai/Yi-1.5-6B,0.5573495357377531,0.9551490363096992,8,432,0.39814814814814814,0.12937859265352655,0.159201387589605,0.159201387589605,0.02534508181045564
AicoresSecurity/Cybernet-Sec-3B-R1-V0-Coder,0.4098051296540618,0.2036221836566482,8,432,0.37037037037037035,0.1789513441477834,0.039434759283691445,0.039434759283691445,0.0015551002397626887
AicoresSecurity/Cybernet-Sec-3B-R1-V1.1,0.4344958173312607,0.35089904179852416,8,432,0.3773148148148148,0.1822126927904148,0.05718100251644587,0.05718100251644587,0.0032696670487857887
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,0.28484543901699255,-0.8018154642551547,8,432,0.3541666666666667,0.2860084522508065,-0.06932122764967413,0.06932122764967413,0.004805432602857946
BlackBeenie/Neos-Llama-3.1-base,0.12780790914630752,-3.5837079153844296,24,432,0.2337962962962963,0.29429519562076445,-0.10598838714998879,0.10598838714998879,0.011233538210655909
BramVanroy/fietje-2-chat,0.3607506369430439,-0.13448551368957623,8,432,0.2916666666666667,0.21020766614353456,0.0690839702763772,0.0690839702763772,0.004772594949147367
BramVanroy/fietje-2-instruct,0.3360360886402997,-0.34176021320179895,8,432,0.2638888888888889,0.18912950420703234,0.07214719975141082,0.07214719975141082,0.005205218431969973
Daemontatox/Zirel_1.5,0.35744349259839714,-0.16610370599216842,8,432,0.30092592592592593,0.2103959853396426,0.05651756667247121,0.05651756667247121,0.0031942353425772284
DavieLion/Llama-3.2-1B-SPIN-iter3,0.43650915246810107,0.36372430112304655,8,432,0.3125,0.1702148147700342,0.12400915246810107,0.12400915246810107,0.015378269895856738
DeepMount00/Lexora-Lite-3B,0.3866626833234157,0.05236147981296972,8,432,0.29398148148148145,0.19944389838526105,0.09268120184193424,0.09268120184193424,0.008589805174865354
EpistemeAI/Athena-gemma-2-2b-it,0.35947365927243313,-0.1536122706655846,8,432,0.4513888888888889,0.19852522267689332,-0.09191522961645576,0.09191522961645576,0.008448409435445786
EpistemeAI/Athene-codegemma-2-7b-it-alpaca-v1.3,0.5793119473426906,1.041372659622846,8,432,0.4791666666666667,0.05445850855549858,0.10014528067602396,0.10014528067602396,0.010029077241679618
EpistemeAI/Reasoning-Llama-3.2-1B-Instruct-v1.2,0.35947365927243313,-0.1536122706655846,8,432,0.17592592592592593,0.19852522267689332,0.1835477333465072,0.1835477333465072,0.033689770416640515
EpistemeAI/ReasoningCore-3B-Instruct-r01-Reflect,0.4098051296540618,0.2036221836566482,8,432,0.3819444444444444,0.1789513441477834,0.027860685209617375,0.027860685209617375,0.0007762177803493924
J-LAB/Thynk_orpo,0.5517815056263156,0.9220346152971739,8,432,0.44212962962962965,0.08659516156967957,0.10965187599668591,0.10965187599668591,0.012023533909592583
JayHyeon/Qwen2.5-0.5B-SFT,0.3228234058276432,-0.4574428131552647,8,432,0.19675925925925927,0.23359227494569915,0.1260641465683839,0.1260641465683839,0.01589216905001498
JayHyeon/Qwen2.5-0.5B-SFT-1e-5-2ep,0.3228234058276432,-0.4574428131552647,8,432,0.18981481481481483,0.23359227494569915,0.13300859101282836,0.13300859101282836,0.017691285283217846
JayHyeon/Qwen2.5-0.5B-SFT-1e-5-5ep,0.3228234058276432,-0.4574428131552647,8,432,0.19212962962962962,0.23359227494569915,0.13069377619801356,0.13069377619801356,0.017080863136896458
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep,0.3228234058276432,-0.4574428131552647,8,432,0.19675925925925927,0.23359227494569915,0.1260641465683839,0.1260641465683839,0.01589216905001498
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_5e-6-1ep_0alp_5lam,0.13109830604698688,-3.485588443791519,46,432,0.10648148148148148,0.2953382107147581,0.024616824565505402,0.024616824565505402,0.0006059880516888702
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_5e-7-3ep_0alp_5lam,0.13240886463238166,-3.5099805009041645,38,432,0.08796296296296297,0.29602988666710944,0.0444459016694187,0.0444459016694187,0.0019754381752076357
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_3e-6-2ep_0alp_0lam,0.1305842089720728,-3.4810657992463394,48,432,0.10416666666666667,0.29446846447258535,0.02641754230540612,0.02641754230540612,0.0006978865414579221
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_5e-7_1ep_0alp_0lam,0.13240886463238166,-3.5099805009041645,38,432,0.08796296296296297,0.29602988666710944,0.0444459016694187,0.0444459016694187,0.0019754381752076357
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_3e-6-1ep_0alp_0lam,0.133441329508038,-3.4794936532660676,40,432,0.08564814814814815,0.2992375470660205,0.047793181359889844,0.047793181359889844,0.002284188184499322
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_3e-6-3ep_0alp_0lam,0.1305842089720728,-3.4810657992463394,48,432,0.10416666666666667,0.29446846447258535,0.02641754230540612,0.02641754230540612,0.0006978865414579221
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-5ep-MDPO_5e-7_3ep_0alp_0lam_1ep,0.15354940402056597,-2.892013390158298,48,432,0.13657407407407407,0.2999425375154242,0.016975329946491896,0.016975329946491896,0.0002881618267922646
