atlas_idx,item_id,subtask,question_id
1,algebra_hard|0,algebra_hard,0
2,algebra_hard|1,algebra_hard,1
3,algebra_hard|10,algebra_hard,10
4,algebra_hard|100,algebra_hard,100
5,algebra_hard|101,algebra_hard,101
6,algebra_hard|102,algebra_hard,102
7,algebra_hard|103,algebra_hard,103
8,algebra_hard|104,algebra_hard,104
9,algebra_hard|105,algebra_hard,105
10,algebra_hard|106,algebra_hard,106
11,algebra_hard|107,algebra_hard,107
12,algebra_hard|108,algebra_hard,108
13,algebra_hard|109,algebra_hard,109
14,algebra_hard|11,algebra_hard,11
15,algebra_hard|110,algebra_hard,110
16,algebra_hard|111,algebra_hard,111
17,algebra_hard|112,algebra_hard,112
18,algebra_hard|113,algebra_hard,113
19,algebra_hard|114,algebra_hard,114
20,algebra_hard|115,algebra_hard,115
21,algebra_hard|116,algebra_hard,116
22,algebra_hard|117,algebra_hard,117
23,algebra_hard|118,algebra_hard,118
24,algebra_hard|119,algebra_hard,119
25,algebra_hard|12,algebra_hard,12
26,algebra_hard|120,algebra_hard,120
27,algebra_hard|121,algebra_hard,121
28,algebra_hard|122,algebra_hard,122
29,algebra_hard|123,algebra_hard,123
30,algebra_hard|124,algebra_hard,124
31,algebra_hard|125,algebra_hard,125
32,algebra_hard|126,algebra_hard,126
33,algebra_hard|127,algebra_hard,127
34,algebra_hard|128,algebra_hard,128
35,algebra_hard|129,algebra_hard,129
36,algebra_hard|13,algebra_hard,13
37,algebra_hard|130,algebra_hard,130
38,algebra_hard|131,algebra_hard,131
39,algebra_hard|132,algebra_hard,132
40,algebra_hard|133,algebra_hard,133
41,algebra_hard|134,algebra_hard,134
42,algebra_hard|135,algebra_hard,135
43,algebra_hard|136,algebra_hard,136
44,algebra_hard|137,algebra_hard,137
45,algebra_hard|138,algebra_hard,138
46,algebra_hard|139,algebra_hard,139
47,algebra_hard|14,algebra_hard,14
48,algebra_hard|140,algebra_hard,140
49,algebra_hard|141,algebra_hard,141
50,algebra_hard|142,algebra_hard,142
51,algebra_hard|143,algebra_hard,143
52,algebra_hard|144,algebra_hard,144
53,algebra_hard|145,algebra_hard,145
54,algebra_hard|146,algebra_hard,146
55,algebra_hard|147,algebra_hard,147
56,algebra_hard|148,algebra_hard,148
57,algebra_hard|149,algebra_hard,149
58,algebra_hard|15,algebra_hard,15
59,algebra_hard|150,algebra_hard,150
60,algebra_hard|152,algebra_hard,152
61,algebra_hard|153,algebra_hard,153
62,algebra_hard|154,algebra_hard,154
63,algebra_hard|155,algebra_hard,155
64,algebra_hard|156,algebra_hard,156
65,algebra_hard|157,algebra_hard,157
66,algebra_hard|158,algebra_hard,158
67,algebra_hard|159,algebra_hard,159
68,algebra_hard|16,algebra_hard,16
69,algebra_hard|160,algebra_hard,160
70,algebra_hard|161,algebra_hard,161
