model,fold,absolute_theta_full_shift,absolute_theta_heldout_shift,posterior_tail_mass_full_lower,posterior_tail_mass_heldout_lower,posterior_tail_mass_full_upper,posterior_tail_mass_heldout_upper
01-ai/Yi-1.5-6B,0,5.551115123125783e-14,2.220446049250313e-15,0.0,0.0,0.0,0.0
01-ai/Yi-1.5-6B-Chat,0,0.0,7.549516567451064e-15,0.0,0.0,0.0,0.0
01-ai/Yi-6B,0,1.1102230246251565e-13,2.9753977059954195e-14,0.0,0.0,0.0,0.0
01-ai/Yi-6B-200K,0,1.376676550535194e-13,5.329070518200751e-15,1.4644924984141456e-258,1.979593519620491e-211,1.4644924984141474e-258,1.9795935196204948e-211
01-ai/Yi-6B-Chat,0,0.0,0.0,0.0,0.0,0.0,0.0
BSC-LT/salamandra-2b,0,1.3766765505351941e-14,9.769962616701378e-15,0.0,0.0,0.0,0.0
BSC-LT/salamandra-2b-instruct,0,2.192690473634684e-15,1.942890293094024e-16,0.0,0.0,0.0,0.0
BSC-LT/salamandra-7b,0,2.5202062658991053e-14,9.43689570931383e-15,0.0,0.0,0.0,0.0
BSC-LT/salamandra-7b-instruct,0,0.0,0.0,0.0,0.0,0.0,0.0
arcee-ai/raspberry-3B,0,4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0
ibm/PowerLM-3b,0,8.715250743307479e-15,2.220446049250313e-15,0.0,0.0,0.0,0.0
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,1,1.7763568394002505e-15,8.881784197001252e-15,0.0,4.999226845715924e-294,0.0,4.999226845715924e-294
OpenBMB/MiniCPM4-0.5B,1,1.1102230246251565e-16,1.1102230246251565e-15,0.0,0.0,0.0,0.0
allenai/OLMo-1B-hf,1,2.6645352591003757e-15,5.329070518200751e-15,2.861783054525216e-21,5.1195296932747434e-18,2.8617873249502e-21,5.1196030322637024e-18
allenai/OLMo-2-0425-1B,1,1.4210854715202004e-14,1.9539925233402755e-14,0.0,0.0,0.0,0.0
allenai/OLMo-2-0425-1B-DPO,1,0.0,0.0,0.0,0.0,0.0,0.0
allenai/OLMo-2-0425-1B-Instruct,1,0.0,0.0,0.0,0.0,0.0,0.0
nvidia/AceInstruct-1.5B,1,8.881784197001252e-15,7.549516567451064e-15,0.0,0.0,0.0,0.0
openbmb/MiniCPM-1B-sft-bf16,1,6.8833827526759706e-15,9.459100169806334e-14,0.0,0.0,0.0,0.0
openbmb/MiniCPM-2B-sft-bf16,1,2.0122792321330962e-16,7.91033905045424e-16,0.0,0.0,0.0,0.0
openlm-research/open_llama_3b,1,1.021405182655144e-14,1.865174681370263e-14,1.7568674327451832e-121,8.037601428730168e-101,1.7568674327451827e-121,8.037601428730183e-101
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,2,1.0658141036401503e-14,1.3895160577703791e-09,5.4179154383154876e-12,3.696493643909405e-07,5.418238709669856e-12,3.7023390791473585e-07
BEE-spoke-data/smol_llama-220M-openhermes,2,8.881784197001252e-16,1.4033219031261979e-13,5.415454608798899e-195,5.196897994437385e-187,5.415454608798908e-195,5.196897994437702e-187
HuggingFaceTB/SmolLM2-360M,2,6.217248937900877e-15,2.6645352591003757e-15,2.4443292470645666e-108,1.352313020172898e-72,2.44432924706458e-108,1.352313020172987e-72
ibm-granite/granite-3.0-2b-base,2,1.1102230246251565e-16,8.326672684688674e-17,0.0,0.0,0.0,0.0
ibm-granite/granite-3.1-2b-base,2,1.1102230246251565e-16,2.6922908347160046e-15,0.0,0.0,0.0,0.0
ibm-granite/granite-3.1-2b-instruct,2,3.730349362740526e-14,1.4654943925052066e-14,0.0,0.0,0.0,0.0
ibm-granite/granite-7b-instruct,2,0.0,2.886579864025407e-15,0.0,0.0,0.0,0.0
meta-llama/Llama-3.2-1B,2,5.773159728050814e-15,5.329070518200751e-15,0.0,3.362175918202193e-309,0.0,3.3621759182022e-309
