model,fold,absolute_theta_full_shift,absolute_theta_heldout_shift
01-ai/Yi-1.5-6B,0,0.0002063934958032032,4.967074157624651e-05
01-ai/Yi-1.5-6B-Chat,0,1.6600744363604036e-06,1.9148644159194816e-07
01-ai/Yi-6B,0,3.115821849419831e-06,9.104313167362932e-06
01-ai/Yi-6B-200K,0,4.931735020363703e-10,4.139355525012434e-12
01-ai/Yi-6B-Chat,0,1.599015417497185e-05,5.5154385181221954e-06
BSC-LT/salamandra-2b,0,1.8683972933253301e-06,1.3002238841153257e-08
BSC-LT/salamandra-2b-instruct,0,1.2839017894311633e-05,0.00028969678879778304
BSC-LT/salamandra-7b,0,0.0004541573444439839,0.00022195013439718636
BSC-LT/salamandra-7b-instruct,0,0.0007858574492861647,0.00023988557941412303
arcee-ai/raspberry-3B,0,6.954235773237727e-06,3.9446920707675304e-07
ibm/PowerLM-3b,0,7.674952033076554e-05,0.0004791216690092637
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,1,6.364905047462344e-08,1.8476691288071834e-09
OpenBMB/MiniCPM4-0.5B,1,0.0016845203594437752,0.00040618271960624064
allenai/OLMo-1B-hf,1,2.398081733190338e-14,1.9539925233402755e-14
allenai/OLMo-2-0425-1B,1,1.6383746901382779e-06,1.2824961981294791e-08
allenai/OLMo-2-0425-1B-DPO,1,0.00012098403169091831,2.3146699654752467e-06
allenai/OLMo-2-0425-1B-Instruct,1,3.959504419648319e-05,5.082338264461583e-06
nvidia/AceInstruct-1.5B,1,4.340353204845826e-06,4.2757204266052895e-07
openbmb/MiniCPM-1B-sft-bf16,1,0.0003061830304365021,9.0074181662958e-05
openbmb/MiniCPM-2B-sft-bf16,1,8.617746202890103e-05,0.000496910987857993
openlm-research/open_llama_3b,1,5.773159728050814e-15,5.773159728050814e-14
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,2,5.684341886080802e-14,1.389510728699861e-09
BEE-spoke-data/smol_llama-220M-openhermes,2,2.2932766796657233e-12,6.306066779870889e-14
HuggingFaceTB/SmolLM2-360M,2,7.593925488436071e-14,8.43769498715119e-14
ibm-granite/granite-3.0-2b-base,2,0.0006853561675803921,0.0003071279817916106
ibm-granite/granite-3.1-2b-base,2,0.0007999682742327874,0.0001687822539419015
ibm-granite/granite-3.1-2b-instruct,2,2.2142159217253266e-08,1.5639782802168156e-09
ibm-granite/granite-7b-instruct,2,1.6003439584633128e-05,4.07319294604136e-06
meta-llama/Llama-3.2-1B,2,1.6412666248299956e-07,3.8695180393233386e-10
meta-llama/Llama-3.2-1B-Instruct,2,1.9079217647988145e-06,7.120507876656745e-07
meta-llama/Llama-3.2-3B-Instruct,2,5.5592339620602615e-09,4.4018300116022147e-10
Qwen/Qwen1.5-1.8B,3,7.546161239435634e-06,9.30964370260412e-07
Qwen/Qwen1.5-1.8B-Chat,3,0.0005749778062380528,0.0003189939895855698
Qwen/Qwen2-0.5B,3,0.0007049064992824539,6.324045158012659e-05
Qwen/Qwen2.5-0.5B-Instruct,3,0.0018516417741692992,0.00013343944729726775
microsoft/phi-1_5,3,1.584548508071215e-05,5.891853726902596e-06
stabilityai/stablelm-2-1_6b-chat,3,0.00018997675329246455,5.5259969238941054e-05
stabilityai/stablelm-2-zephyr-1_6b,3,0.000204976528809242,8.033625097647601e-05
stabilityai/stablelm-zephyr-3b,3,4.656565530969381e-05,1.0972931916430895e-06
utter-project/EuroLLM-1.7B,3,5.430376148751748e-10,1.8566925774621268e-11
utter-project/EuroLLM-1.7B-Instruct,3,0.00018889046847786473,0.0007451582291230774
ai-forever/mGPT,4,2.622657646611515e-10,9.72022462519817e-12
google/gemma-2-2b,4,0.00011478434910405788,1.4301635012703429e-05
google/gemma-2b,4,3.794170755355708e-09,5.493654864352493e-09
h2oai/h2o-danube-1.8b-chat,4,6.916610604135176e-05,0.00022574172515943403
h2oai/h2o-danube2-1.8b-base,4,0.0014126187226833897,0.00045099690883454446
h2oai/h2o-danube2-1.8b-chat,4,0.0008062157749652021,8.989840992446041e-05
pankajmathur/orca_mini_3b,4,0.0008372926905981792,0.00040410597430928785
pankajmathur/orca_mini_v9_5_3B-Instruct,4,8.106490943848854e-06,5.061793091343247e-07
tiiuae/Falcon3-1B-Instruct,4,0.0001847133004866386,9.925453427328534e-05
tiiuae/Falcon3-3B-Base,4,0.0026471180818530005,0.0010560083779268814
tiiuae/Falcon3-3B-Instruct,4,5.283587030113779e-07,1.2422434192416176e-08
