model,theta_online_rule_eap,online_scenarios,online_criteria,online_SE_ability,online_reached,eap_scenarios,eap_criteria,eap_SE_ability,eap_reached,eap_hit_cap,SE_param_reused,online_SE_total,eap_SE_total
01-ai/Yi-1.5-6B,-0.8879,8,85,0.1224,False,9,96,0.1117,True,False,0.1005,0.1584,0.1503
01-ai/Yi-1.5-6B-Chat,2.498,8,50,0.1018,True,8,50,0.1018,True,False,0.0805,0.1298,0.1298
01-ai/Yi-6B,-1.6031,11,122,0.1262,False,13,136,0.1158,True,False,0.0812,0.15,0.1415
01-ai/Yi-6B-200K,-1.7592,13,139,0.1282,False,16,163,0.1195,True,False,0.1815,0.2222,0.2173
01-ai/Yi-6B-Chat,0.7856,8,67,0.1219,False,9,78,0.1105,True,False,0.0499,0.1317,0.1212
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,-3.0456,9,92,0.4307,False,40,404,0.3526,False,True,0.2984,0.524,0.4619
BEE-spoke-data/smol_llama-220M-openhermes,-2.8689,9,96,0.3875,False,40,393,0.2386,False,True,0.2196,0.4454,0.3242
BSC-LT/salamandra-2b,-2.068,14,134,0.1242,False,16,156,0.1176,True,False,0.0665,0.1409,0.1352
BSC-LT/salamandra-2b-instruct,-0.7315,8,80,0.1163,True,8,80,0.1163,True,False,0.043,0.124,0.124
BSC-LT/salamandra-7b,-1.1576,9,96,0.121,False,10,108,0.1166,True,False,0.116,0.1676,0.1645
BSC-LT/salamandra-7b-instruct,0.056,8,89,0.0679,True,8,89,0.0679,True,False,0.0398,0.0787,0.0787
HuggingFaceTB/SmolLM2-360M,-2.8294,8,87,0.4431,False,34,349,0.1114,True,False,0.2806,0.5244,0.3019
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,2.5917,8,47,0.1054,True,8,47,0.1054,True,False,0.0787,0.1315,0.1315
OpenBMB/MiniCPM4-0.5B,-0.0493,8,88,0.0666,True,8,88,0.0666,True,False,0.0481,0.0822,0.0822
Qwen/Qwen1.5-1.8B,-2.3021,8,79,0.3014,False,22,222,0.1197,True,False,0.0809,0.3121,0.1445
Qwen/Qwen1.5-1.8B-Chat,0.69,8,85,0.1053,True,8,85,0.1053,True,False,0.0515,0.1172,0.1172
Qwen/Qwen2-0.5B,-1.487,10,106,0.131,False,16,161,0.1183,True,False,0.0632,0.1455,0.1342
Qwen/Qwen2.5-0.5B-Instruct,0.0151,8,84,0.0701,True,8,84,0.0701,True,False,0.0377,0.0796,0.0796
ai-forever/mGPT,-3.3549,11,100,0.3305,False,40,379,0.287,False,True,0.2378,0.4071,0.3727
allenai/OLMo-1B-hf,-3.0916,8,81,0.4479,False,40,388,0.3894,False,True,0.2611,0.5184,0.4688
allenai/OLMo-2-0425-1B,-2.6226,8,82,0.3311,False,22,222,0.1183,True,False,0.1095,0.3487,0.1612
allenai/OLMo-2-0425-1B-DPO,1.6746,8,71,0.1091,True,8,71,0.1091,True,False,0.0998,0.1478,0.1478
allenai/OLMo-2-0425-1B-Instruct,1.2728,8,72,0.0979,True,8,72,0.0979,True,False,0.0573,0.1135,0.1135
arcee-ai/raspberry-3B,1.0009,8,73,0.1107,True,8,73,0.1107,True,False,0.0608,0.1263,0.1263
google/gemma-2-2b,-1.7169,14,133,0.1242,False,15,146,0.1192,True,False,0.062,0.1389,0.1344
google/gemma-2b,-2.253,13,126,0.1366,False,16,156,0.1188,True,False,0.1061,0.1729,0.1593
h2oai/h2o-danube-1.8b-chat,0.2041,8,83,0.0732,True,8,83,0.0732,True,False,0.0423,0.0845,0.0845
h2oai/h2o-danube2-1.8b-base,-1.7933,8,90,0.2103,False,16,175,0.1183,True,False,0.0743,0.223,0.1397
h2oai/h2o-danube2-1.8b-chat,-0.3496,8,86,0.0858,True,8,86,0.0858,True,False,0.0575,0.1033,0.1033
ibm-granite/granite-3.0-2b-base,0.1413,8,85,0.0713,True,8,85,0.0713,True,False,0.0467,0.0852,0.0852
ibm-granite/granite-3.1-2b-base,0.1424,8,90,0.0689,True,8,90,0.0689,True,False,0.0462,0.083,0.083
ibm-granite/granite-3.1-2b-instruct,2.4908,8,65,0.0896,True,8,65,0.0896,True,False,0.1115,0.143,0.143
ibm-granite/granite-7b-instruct,0.0283,8,89,0.0717,True,8,89,0.0717,True,False,0.0758,0.1043,0.1043
ibm/PowerLM-3b,-0.1052,8,91,0.0744,True,8,91,0.0744,True,False,0.0427,0.0858,0.0858
meta-llama/Llama-3.2-1B,-2.422,16,147,0.1197,True,16,147,0.1197,True,False,0.0669,0.1371,0.1371
meta-llama/Llama-3.2-1B-Instruct,1.4266,8,76,0.0945,True,8,76,0.0945,True,False,0.0538,0.1087,0.1087
meta-llama/Llama-3.2-3B-Instruct,2.0837,8,60,0.1057,True,8,60,0.1057,True,False,0.0885,0.1379,0.1379
microsoft/phi-1_5,-1.311,10,109,0.1187,True,10,109,0.1187,True,False,0.0482,0.1281,0.1281
nvidia/AceInstruct-1.5B,1.2891,8,69,0.093,True,8,69,0.093,True,False,0.0674,0.1149,0.1149
openbmb/MiniCPM-1B-sft-bf16,-2.0208,8,82,0.2272,False,27,266,0.1141,True,False,0.083,0.2419,0.1411
openbmb/MiniCPM-2B-sft-bf16,-0.0389,8,85,0.0675,True,8,85,0.0675,True,False,0.0498,0.0839,0.0839
openlm-research/open_llama_3b,-2.9737,8,84,0.3923,False,25,256,0.1182,True,False,0.1089,0.4071,0.1607
pankajmathur/orca_mini_3b,-0.5767,8,89,0.1066,True,8,89,0.1066,True,False,0.053,0.119,0.119
pankajmathur/orca_mini_v9_5_3B-Instruct,1.2927,8,75,0.1119,True,8,75,0.1119,True,False,0.0625,0.1282,0.1282
stabilityai/stablelm-2-1_6b-chat,0.8736,8,79,0.1045,True,8,79,0.1045,True,False,0.0624,0.1217,0.1217
stabilityai/stablelm-2-zephyr-1_6b,0.7976,8,80,0.1212,False,9,91,0.1121,True,False,0.0561,0.1335,0.1254
stabilityai/stablelm-zephyr-3b,1.0722,8,75,0.0955,True,8,75,0.0955,True,False,0.0601,0.1128,0.1128
tiiuae/Falcon3-1B-Instruct,0.973,8,68,0.1074,True,8,68,0.1074,True,False,0.0586,0.1224,0.1224
tiiuae/Falcon3-3B-Base,-0.1507,8,88,0.0726,True,8,88,0.0726,True,False,0.0463,0.0861,0.0861
tiiuae/Falcon3-3B-Instruct,2.3659,8,54,0.0786,True,8,54,0.0786,True,False,0.0976,0.1253,0.1253
utter-project/EuroLLM-1.7B,-2.5521,8,86,0.3299,False,22,228,0.1167,True,False,0.183,0.3772,0.2171
utter-project/EuroLLM-1.7B-Instruct,0.1924,8,83,0.0745,True,8,83,0.0745,True,False,0.0453,0.0871,0.0871
