criterion_id,skill,ai_value,adjudicated_value,changed,rationale
tb_0620_c05,content,1,1,0,"Content is needed to craft a correct hint; 2/3 human majority (A,C) and AI agree."
tb_0620_c05,diagnosis,0,1,1,"Hint must target the student's specific StringBuilder->String type error, which requires diagnosing the misconception (A,C=1)."
tb_0125_c01,diagnosis,1,0,1,"Strict rule: acknowledging the student's worry with an empathetic phrase is not identifying a specific misconception; consensus 0 and the record's own rationale says no skill required."
tb_0125_c01,scaffolding,0,0,0,"Empathetic acknowledgement is not structured guidance; consensus 0 = AI."
tb_0016_c04,scaffolding,1,0,1,"Stating ionic dissociation of both reactants is content recall, not scaffolding; unanimous human 0."
tb_0215_c05,scaffolding,0,1,1,"'Explain, not just state' why zero relative velocity is structured guidance; A,C=1."
tb_0091_c06,diagnosis,0,0,0,"Computing the correct probability is content, not diagnosis; consensus 0 = AI."
tb_0091_c06,scaffolding,0,0,0,"No hint/withholding required; consensus 0 = AI."
tb_0120_c02,diagnosis,0,0,0,"Strict rule: acknowledging confusion is not diagnosis; declined the 2-1 human majority to keep the definition consistent."
tb_0576_c05,content,1,0,1,"Criterion only requires a hint (scaffolding); content is not strictly required to satisfy it; unanimous human 0."
tb_0056_c06,scaffolding,1,0,1,"An optional additional conceptual/derivative check is content enrichment, not scaffolding; unanimous human 0."
tb_0020_c07,diagnosis,0,0,0,"Demonstrating the offspring ratio is content computation, not diagnosis; 1-1 split resolved to AI."
tb_0129_c01,diagnosis,0,0,0,"Strict rule: acknowledging expressed confusion is not diagnosis; all-zero item retained."
tb_0113_c01,diagnosis,1,0,1,"Strict rule: acknowledging confusion is not diagnosis; 1-1 split resolved to 0."
tb_0314_c04,scaffolding,0,0,0,"Sign analysis is content; explanation phrasing does not require scaffolding; A agreed with AI. 1-1 split resolved to AI."
tb_0047_c07,content,1,1,0,"Must supply the correct y-intercept formula, which requires content knowledge (C=1). 1-1 split resolved to AI."
tb_0047_c07,diagnosis,1,1,0,"Must pinpoint the student's specific formula error (C=1). 1-1 split resolved to AI."
tb_0047_c07,scaffolding,0,0,0,"Correcting an error is not a hint/withholding (A=1 not upheld). 1-1 split resolved to AI."
tb_0268_c03,diagnosis,0,0,0,"Strict rule: acknowledging confusion is not diagnosis; 1-1 split resolved to 0."
tb_0554_c02,content,1,1,0,"Must know the correct glutamic-acid/valine abbreviations to suggest a recheck (C=1). 1-1 split resolved to AI."
tb_0554_c02,diagnosis,1,1,0,"Must spot that the student's abbreviations are wrong (C=1). 1-1 split resolved to AI."
tb_0546_c07,content,1,1,0,"Must understand the uninitialized-field/super() Java bug (C=1). 1-1 split resolved to AI."
tb_0125_c01,primary_skill,diagnosis,none,1,"After diagnosis->0 the row is all-zero; consensus primary 'none' (B,C)."
tb_0215_c05,primary_skill,content,scaffolding,1,"Primary skill is the explanation/guidance; consensus scaffolding (A,C)."
tb_0162_c06,primary_skill,diagnosis,diagnosis,0,"Error-correction item; keep diagnosis (reviewers split content/diagnosis/scaffolding, no consensus)."
tb_0120_c02,primary_skill,none,none,0,"Strict rule keeps this all-zero; primary none."
tb_0129_c01,primary_skill,none,none,0,"All-zero item; primary none."
tb_0113_c01,primary_skill,diagnosis,none,1,"After diagnosis->0 the row is all-zero; primary none."
tb_0314_c04,primary_skill,content,content,0,"Binary content=1 retained; keep content primary."
tb_0047_c07,primary_skill,diagnosis,diagnosis,0,"Error-correction item with content+diagnosis loaded; keep diagnosis."
tb_0268_c03,primary_skill,none,none,0,"All-zero item; primary none."
tb_0554_c02,primary_skill,diagnosis,diagnosis,0,"Content+diagnosis+scaffolding loaded; keep diagnosis primary."
