"reviewer","criterion_id","content","diagnosis","scaffolding","primary_skill","confidence","notes"
"A","tb_0620_c05","1","1","1","scaffolding","medium",""
"A","tb_0125_c01","0","1","1","diagnosis","medium",""
"A","tb_0016_c04","1","0","0","content","medium",""
"A","tb_0569_c08","0","0","1","scaffolding","medium",""
"A","tb_0240_c07","1","0","0","content","high",""
"A","tb_0215_c05","1","0","1","scaffolding","high",""
"A","tb_0091_c06","1","1","1","content","medium",""
"A","tb_0162_c06","1","1","0","diagnosis","medium",""
"A","tb_0615_c06","1","0","1","scaffolding","medium",""
"A","tb_0120_c02","0","1","0","diagnosis","high",""
"A","tb_0576_c05","0","0","1","scaffolding","high",""
"A","tb_0433_c05","1","0","0","content","high",""
"A","tb_0056_c06","1","0","0","content","high",""
"A","tb_0020_c07","1","1","0","content","medium",""
"A","tb_0129_c01","0","1","0","diagnosis","high",""
"A","tb_0113_c01","0","1","0","diagnosis","medium",""
"A","tb_0219_c09","1","0","0","content","high",""
"A","tb_0314_c04","1","0","0","content","high",""
"A","tb_0047_c07","0","0","1","scaffolding","medium",""
"A","tb_0268_c03","0","1","0","diagnosis","medium",""
