model,latent_group,theta
JayHyeon/Qwen2.5-0.5B-SFT-2e-4-3ep,0,-2.1084
JayHyeon/Qwen_0.5-MDPO_0.5_7e-7-3ep_0alp_0lam,0,-2.1072
TinyLlama/TinyLlama-1.1B-Chat-v0.5,0,-2.1007
bfuzzy1/acheron-c,0,-2.0997
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_5e-7-3ep_0alp_0lam,0,-2.0991
JayHyeon/Qwen_0.5-DPOP_3e-7-3ep_0alp_5lam,0,-2.0968
JayHyeon/Qwen_0.5-MDPO_0.1_3e-6-3ep_0alp_0lam,0,-2.0899
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_1e-6-3ep_0alp_0lam,0,-2.0886
Kimargin/GPT-NEO-1.3B-wiki,0,-2.0765
Corianas/Quokka_2.7b,0,-2.0704
ontocord/starcoder2_3b-AutoRedteam,0,-2.0633
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-5ep-MDPO_5e-7_3ep_0alp_0lam,0,-2.0584
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_5e-6-2ep_0alp_0lam,0,-2.0288
meta-llama/Llama-3.2-1B,0,-1.9933
appvoid/arco-2,0,-1.9597
ymcki/gemma-2-2b-jpn-it-abliterated-17-ORPO-alpaca,0,-1.9486
ymcki/gemma-2-2b-ORPO-jpn-it-abliterated-18,0,-1.6965
Josephgflowers/Tinyllama-STEM-Cinder-Agent-v1,0,-1.6598
Sakalti/SJTPass-5,0,-1.6322
noname0202/gemma-2-2b-it-ties,0,-1.6006
Mxode/NanoLM-0.3B-Instruct-v1.1,0,-1.5313
EpistemeAI/DeepPhi-3.5-mini-instruct,0,-1.4996
MEscriva/ECE-PRYMMAL-0.5B-FT-V5-MUSR-Mathis,0,-1.4171
Alepach/notHumpback-M1-v2,0,-1.3413
ontocord/wide_3b_sft_stage1.1-ss1-with_generics_intr_stories.no_issue,0,-1.3257
ontocord/RedPajama3b_v1-autoredteam_helpfulness-train,0,-1.3094
Goekdeniz-Guelmez/Josiefied-Qwen2.5-0.5B-Instruct-abliterated-v1,0,-1.2751
jpacifico/Lucie-Boosted-7B-Instruct,1,-1.2296
ontocord/wide_3b_sft_stage1.1-ss1-with_generics_intr_math.no_issue,1,-1.1994
mergekit-community/diabolic6045_ELN-AOC-CAIN,1,-1.1857
prithivMLmods/Llama-3.2-6B-AlgoCode,1,-1.1742
pankajmathur/orca_mini_v2_7b,1,-1.1559
SkyOrbis/SKY-Ko-Llama3.2-1B-lora-epoch3,1,-1.0795
KingNish/qwen-1b-continued-v2,1,-0.9409
trthminh1112/autotrain-llama32-1b-finetune,1,-0.8984
Sakalti/SJT-2.4B,1,-0.6805
pszemraj/Llama-3-6.3b-v0.1,1,-0.6532
JayHyeon/Qwen2.5-0.5B-SFT-1e-5,1,-0.6012
ontocord/merged_0.2_expert_0.8-stack_2x,1,-0.2829
pankajmathur/orca_mini_v9_1_1B-Instruct,1,-0.2046
ibm-granite/granite-3.0-1b-a400m-instruct,1,-0.1905
Goekdeniz-Guelmez/Josiefied-Qwen2.5-1.5B-Instruct-abliterated-v1,2,-0.1414
openbmb/MiniCPM-S-1B-sft-llama-format,2,-0.1272
hon9kon9ize/CantoneseLLMChat-v0.5,2,-0.0105
meditsolutions/Llama-3.2-SUN-HDIC-1B-Instruct,2,0.0536
JayHyeon/Qwen2.5-0.5B-Instruct-SFT-MDPO-1epoch_v1,2,0.071
MrRobotoAI/MrRoboto-ProLongBASE-pt8-unaligned-8b,2,0.0895
ymcki/gemma-2-2b-jpn-it-abliterated-18-ORPO,2,0.1069
Sakalti/SJT-0.5B,2,0.1244
meditsolutions/Llama-3.2-SUN-2.4B-v1.0.0,2,0.2338
Nexesenex/Llama_3.2_3b_Kermes_v2.1,2,0.2548
Youlln/ECE.EIFFEIL.ia-0.5B-SLERP,2,0.2622
vonjack/SmolLM2-1.7B-Merged,2,0.2957
cognitivecomputations/dolphin-2.9.4-gemma2-2b,2,0.3041
SkyOrbis/SKY-Ko-Qwen2.5-3B-Instruct,2,0.3474
prithivMLmods/Llama-Express.1-Math,2,0.3575
meditsolutions/Llama-3.2-SUN-2.5B-chat,2,0.3649
