model,latent_group,theta
Josephgflowers/TinyLlama_v1.1_math_code-world-test-1,0,-3.1929
zelk12/Test01012025155054t0.5_gemma-2,0,-3.0721
Xiaojian9992024/Phi-4-mini-UNOFFICAL,0,-3.0056
Pinkstack/Superthoughts-lite-1.8B-experimental-o1,0,-2.7764
ontocord/wide_3b-merge_test,0,-2.7757
instruction-pretrain/InstructLM-500M,0,-2.7329
sumink/bbhqwen6,0,-2.0112
M4-ai/TinyMistral-248M-v3,0,-1.9195
DavieLion/Llama-3.2-1B-SPIN-iter2,0,-1.8678
Sakalti/SJT-2B,0,-1.8259
mergekit-community/diabolic6045_ELN-AOC-CAIN,0,-1.7327
ontocord/wide_3b_sft_stage1.1-ss1-with_generics_intr_math.no_issue,0,-1.7316
Sakalti/SJTPass-4,0,-1.5177
silma-ai/SILMA-Kashif-2B-Instruct-v1.0,0,-1.355
bunnycore/Gemma-2-2B-Smart,0,-1.217
ontocord/wide_3b_sft_stage1.2-ss1-expert_math,0,-1.026
ontocord/wide_3b_sft_stage1.2-ss1-expert_news,0,-0.9719
Youlln/ECE-PRYMMAL-0.5B-FT-V3-MUSR,0,-0.9233
Mxode/NanoLM-0.3B-Instruct-v2,0,-0.7686
HuggingFaceTB/SmolLM-360M-Instruct,0,-0.7574
allenai/OLMoE-1B-7B-0924,0,-0.6154
Qwen/Qwen2.5-Math-1.5B-Instruct,1,-0.5063
netcat420/MFANN3bv0.15,1,-0.4859
JayHyeon/Qwen2.5-0.5B-SFT-2e-5,1,-0.4458
appvoid/arco-2-instruct,1,-0.4323
JayHyeon/Qwen2.5-0.5B-SFT-DPO-1epoch_v1,1,-0.3802
JayHyeon/Qwen2.5-0.5B-SFT-1e-4-2ep,1,-0.3302
JayHyeon/Qwen2.5-0.5B-SFT-1e-4-3ep,1,-0.3041
netcat420/MFANN3bv0.24,1,-0.3001
Josephgflowers/TinyLlama-v1.1-Cinders-World,1,-0.2913
Danielbrdz/Barcenas-R1-Qwen-1.5b,1,-0.261
kyutai/helium-1-preview-2b,1,-0.1605
h2oai/h2o-danube3-4b-base,1,-0.1558
JayHyeon/Qwen_0.5-MDPO_0.1_5e-7-3ep_0alp_0lam,1,-0.1413
uukuguy/speechless-coder-ds-6.7b,1,-0.1332
Sakalti/SJT-0.5B,1,-0.1289
macadeliccc/magistrate-3.2-3b-it,1,-0.1104
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-IRPO_5e-7-3ep_1alp_0lam,1,-0.0933
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-5ep-MDPO_5e-7_3ep_0alp_0lam,1,-0.09
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_5e-7_2ep_0alp_0lam,1,-0.0783
JayHyeon/Qwen_0.5-MDPO_0.1_3e-6-3ep_0alp_0lam,1,-0.0662
Qwen/Qwen2.5-3B,1,-0.0606
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_1e-6_2ep_0alp_0lam,1,-0.0531
JayHyeon/Qwen_0.5-MDPO_0.5_4e-6-3ep_0alp_0lam,1,-0.0494
JayHyeon/Qwen2.5-0.5B-Instruct-SFT-IRPO-1epoch_v1,2,-0.0476
