benchmark,strategy,N,seed,se_target,r,mae,items,n_bank_items,n_pool,n_test,calib_s
ifeval,full_pool,300,0,0.3,0.9499,0.0438,19.87,511,300,110,24.0
ifeval,oracle_greedy,50,0,0.3,0.8852,0.0715,17.38,490,300,110,0.0
ifeval,oracle_greedy,100,0,0.3,0.9504,0.0446,22.59,499,300,110,0.0
ifeval,oracle_greedy,150,0,0.3,0.9597,0.0391,19.33,505,300,110,0.0
ifeval,oracle_stratified,50,0,0.3,0.8757,0.0649,14.31,494,300,110,30.2
ifeval,oracle_stratified,100,0,0.3,0.8922,0.055,18.26,501,300,110,31.1
ifeval,oracle_stratified,150,0,0.3,0.9261,0.0507,20.33,506,300,110,31.2
ifeval,oracle_stratified,200,0,0.3,0.9261,0.0495,19.55,505,300,110,22.7
ifeval,oracle_stratified,250,0,0.3,0.9288,0.0467,20.16,512,300,110,36.5
ifeval,oracle_stratified,300,0,0.3,0.9499,0.0438,19.87,511,300,110,24.5
ifeval,random,50,0,0.3,0.8247,0.0789,18.45,491,300,110,29.1
ifeval,random,50,1,0.3,0.8855,0.0585,17.98,501,300,110,29.6
ifeval,random,50,2,0.3,0.8757,0.0615,14.35,487,300,110,26.0
ifeval,random,100,0,0.3,0.9133,0.0578,18.48,497,300,110,21.2
ifeval,random,100,1,0.3,0.9167,0.0543,33.83,494,300,110,26.8
ifeval,random,100,2,0.3,0.9047,0.0536,18.32,492,300,110,19.5
ifeval,random,150,0,0.3,0.9153,0.051,18.04,501,300,110,28.0
ifeval,random,150,1,0.3,0.9402,0.0451,19.61,505,300,110,30.7
ifeval,random,150,2,0.3,0.93,0.05,18.78,505,300,110,30.2
ifeval,random,200,0,0.3,0.9538,0.042,18.75,506,300,110,24.0
ifeval,random,200,1,0.3,0.9299,0.0474,20.31,505,300,110,33.4
ifeval,random,200,2,0.3,0.9352,0.0458,19.69,512,300,110,39.9
ifeval,random,250,0,0.3,0.9314,0.0499,20.49,507,300,110,36.8
ifeval,random,250,1,0.3,0.9369,0.044,20.15,509,300,110,35.6
ifeval,random,250,2,0.3,0.9469,0.0424,20.13,504,300,110,32.1
ifeval,random,300,0,0.3,0.9499,0.0438,19.87,511,300,110,28.0
ifeval,random,300,1,0.3,0.9499,0.0438,19.87,511,300,110,28.2
ifeval,random,300,2,0.3,0.9499,0.0438,19.87,511,300,110,27.1
math,full_pool,300,0,0.3,0.9327,0.0215,163.69,1032,300,90,21.4
math,oracle_greedy,50,0,0.3,0.8804,0.042,121.86,786,300,90,0.0
math,oracle_greedy,100,0,0.3,0.9435,0.0271,100.08,844,300,90,0.0
math,oracle_stratified,50,0,0.3,0.8661,0.0395,145.27,778,300,90,75.4
math,oracle_stratified,100,0,0.3,0.9213,0.0274,126.03,876,300,90,88.2
math,oracle_stratified,150,0,0.3,0.8767,0.029,150.08,946,300,90,93.0
math,oracle_stratified,200,0,0.3,0.8526,0.0287,163.54,963,300,90,96.5
math,oracle_stratified,250,0,0.3,0.9389,0.02,172.16,1010,300,90,100.9
math,oracle_stratified,300,0,0.3,0.8984,0.0248,163.7,1032,300,90,95.7
math,random,50,0,0.3,0.5852,0.0675,124.21,765,300,90,74.8
math,random,50,1,0.3,0.8736,0.0359,120.3,818,300,90,73.4
math,random,50,2,0.3,0.7768,0.0477,128.78,769,300,90,60.5
math,random,100,0,0.3,0.8616,0.0341,150.32,888,300,90,84.6
math,random,100,1,0.3,0.8831,0.0325,147.54,851,300,90,84.8
math,random,100,2,0.3,0.89,0.0285,146.0,899,300,90,86.2
math,random,150,0,0.3,0.8565,0.0294,139.07,941,300,90,90.2
math,random,150,1,0.3,0.8647,0.0285,158.92,966,300,90,101.6
math,random,150,2,0.3,0.843,0.0286,148.63,961,300,90,101.3
math,random,200,0,0.3,0.8364,0.029,169.82,990,300,90,102.8
math,random,200,1,0.3,0.8939,0.0256,168.77,988,300,90,99.0
math,random,200,2,0.3,0.919,0.0237,164.87,984,300,90,98.8
math,random,250,0,0.3,0.8576,0.026,151.69,1020,300,90,102.4
math,random,250,1,0.3,0.9361,0.0209,171.43,1007,300,90,101.7
math,random,250,2,0.3,0.907,0.024,165.28,1011,300,90,95.3
math,random,300,0,0.3,0.9328,0.0215,163.69,1032,300,90,93.9
math,random,300,1,0.3,0.9327,0.0215,163.69,1032,300,90,78.9
math,random,300,2,0.3,0.8984,0.0248,163.69,1032,300,90,75.2
