benchmark,condition,se_target,seed,corr,mae,mean_items,median_items,pct_items,n_calib,n_test,n_bank_items,low_max_b,high_min_b
gpqa,HIGH->HIGH,0.2,0,0.8281,0.1047,31.4,13.5,4.14,194,30,759,2.0,3.5
gpqa,HIGH->HIGH,0.2,1,0.8576,0.0797,32.57,11.5,4.31,194,30,755,2.0,3.5
gpqa,HIGH->HIGH,0.2,2,0.8877,0.1203,29.83,14.0,3.87,194,30,771,2.0,3.5
gpqa,HIGH->HIGH,0.3,0,0.7853,0.1104,19.57,10.0,2.58,194,30,759,2.0,3.5
gpqa,HIGH->HIGH,0.3,1,0.8523,0.089,14.83,8.0,1.96,194,30,755,2.0,3.5
gpqa,HIGH->HIGH,0.3,2,0.866,0.1319,14.07,8.0,1.82,194,30,771,2.0,3.5
gpqa,HIGH->LOW,0.2,0,0.5773,0.0836,42.47,33.5,5.6,194,30,759,2.0,3.5
gpqa,HIGH->LOW,0.2,1,0.7519,0.077,37.57,12.0,4.98,194,30,755,2.0,3.5
gpqa,HIGH->LOW,0.2,2,0.4787,0.0992,22.97,13.5,2.98,194,30,771,2.0,3.5
gpqa,HIGH->LOW,0.3,0,0.5372,0.0839,19.13,9.5,2.52,194,30,759,2.0,3.5
gpqa,HIGH->LOW,0.3,1,0.6653,0.0922,14.17,8.0,1.88,194,30,755,2.0,3.5
gpqa,HIGH->LOW,0.3,2,0.4185,0.1071,12.5,8.0,1.62,194,30,771,2.0,3.5
gpqa,LOW->HIGH,0.2,0,0.543,0.0481,17.23,9.0,4.05,194,30,426,2.0,3.5
gpqa,LOW->HIGH,0.2,1,0.2685,0.0511,19.47,8.0,4.41,194,30,441,2.0,3.5
gpqa,LOW->HIGH,0.2,2,0.3676,0.0583,18.97,12.0,4.25,194,30,446,2.0,3.5
gpqa,LOW->HIGH,0.3,0,0.6094,0.0463,12.37,8.0,2.9,194,30,426,2.0,3.5
gpqa,LOW->HIGH,0.3,1,0.2725,0.0501,10.93,8.0,2.48,194,30,441,2.0,3.5
gpqa,LOW->HIGH,0.3,2,0.2864,0.0672,11.67,8.0,2.62,194,30,446,2.0,3.5
gpqa,LOW->LOW,0.2,0,0.8924,0.0556,60.23,9.5,14.14,194,30,426,2.0,3.5
gpqa,LOW->LOW,0.2,1,0.8942,0.0515,29.47,8.0,6.68,194,30,441,2.0,3.5
gpqa,LOW->LOW,0.2,2,0.7965,0.0791,47.83,9.0,10.72,194,30,446,2.0,3.5
gpqa,LOW->LOW,0.3,0,0.8807,0.062,43.1,8.0,10.12,194,30,426,2.0,3.5
gpqa,LOW->LOW,0.3,1,0.8859,0.0512,13.0,8.0,2.95,194,30,441,2.0,3.5
gpqa,LOW->LOW,0.3,2,0.795,0.0802,40.0,8.0,8.97,194,30,446,2.0,3.5
ifeval,HIGH->HIGH,0.2,0,0.9448,0.0542,29.03,8.0,5.84,194,30,497,2.0,3.5
ifeval,HIGH->HIGH,0.2,1,0.9472,0.0337,51.4,9.0,10.2,194,30,504,2.0,3.5
ifeval,HIGH->HIGH,0.2,2,0.9742,0.0353,95.73,10.5,18.99,194,30,504,2.0,3.5
ifeval,HIGH->HIGH,0.3,0,0.9412,0.0558,24.93,8.0,5.02,194,30,497,2.0,3.5
ifeval,HIGH->HIGH,0.3,1,0.9477,0.0339,21.73,8.0,4.31,194,30,504,2.0,3.5
ifeval,HIGH->HIGH,0.3,2,0.9764,0.0335,75.5,8.0,14.98,194,30,504,2.0,3.5
ifeval,HIGH->LOW,0.2,0,0.8874,0.04,59.03,10.0,11.88,194,30,497,2.0,3.5
ifeval,HIGH->LOW,0.2,1,0.9544,0.0421,46.33,9.5,9.19,194,30,504,2.0,3.5
ifeval,HIGH->LOW,0.2,2,0.9336,0.0688,28.9,12.0,5.73,194,30,504,2.0,3.5
ifeval,HIGH->LOW,0.3,0,0.8874,0.0403,25.83,8.0,5.2,194,30,497,2.0,3.5
ifeval,HIGH->LOW,0.3,1,0.9384,0.0443,26.93,8.0,5.34,194,30,504,2.0,3.5
ifeval,HIGH->LOW,0.3,2,0.9315,0.0755,25.23,8.0,5.01,194,30,504,2.0,3.5
