model,n_admin,theta_correctness,se_posterior_correctness,se_param_correctness,se_total_correctness,bar_inflation_correctness
01-ai/Yi-6B,48,-0.9157397023812819,0.3233234546061919,0.08290261036586752,0.3337827124102701,1.0323492083703534
01-ai/Yi-6B-Chat,42,-0.6134428010033036,0.31558546009694616,0.06260501433467398,0.32173524899277967,1.0194869208928203
EleutherAI/pythia-1.4b,65,-3.0932634054836585,0.47714676105711823,0.12961795662180414,0.494438920662715,1.036240756548962
EleutherAI/pythia-160m,111,-3.724445864978005,0.48228121908859506,0.16862805914450807,0.5109115350199339,1.059364360041728
EleutherAI/pythia-1b,90,-3.5875975758347503,0.4944598012171687,0.15887138138584744,0.5193559577430198,1.0503502134340676
EleutherAI/pythia-2.8b,66,-2.397334533887603,0.3906229599698819,0.11688924160739927,0.40773691476144874,1.043811953073333
EleutherAI/pythia-410m,163,-3.9139218784150316,0.4685222417694721,0.22834161903216552,0.5212034017683713,1.1124411080249634
EleutherAI/pythia-6.9b,63,-2.2795669185634972,0.3877277135734208,0.14532123022473228,0.4140664678851721,1.0679310593225464
EleutherAI/pythia-70m,65,-3.290131572067912,0.5073011382442768,0.12754778536659292,0.5230897460435077,1.0311227525604887
HuggingFaceH4/zephyr-7b-beta,18,1.4474392182312825,0.24766299521608023,0.11234960517208116,0.2719547627487386,1.0980839608737847
HuggingFaceTB/SmolLM2-1.7B,34,-0.19685528736115449,0.30322568460217975,0.0671478463084527,0.3105714878515479,1.0242255310891806
HuggingFaceTB/SmolLM2-1.7B-Instruct,16,0.3959175154889505,0.33511264199843005,0.07829478261776746,0.34413740833035195,1.0269305457356162
HuggingFaceTB/SmolLM2-135M,97,-3.6730816865811176,0.4939301545947071,0.14030546364950475,0.5134711488952945,1.039562262232444
HuggingFaceTB/SmolLM2-360M,64,-2.6536990346557348,0.4248376105222408,0.10768052159690832,0.43827170801413745,1.031621723593122
HuggingFaceTB/SmolLM2-360M-Instruct,24,-0.4281988484580945,0.40578632652593244,0.09846218054150858,0.417561185687079,1.029017387702427
LLM360/Amber,68,-2.95172654590311,0.4569075069074301,0.1462383378691685,0.47973963910761047,1.0499710156979456
