model,n_obs_items,cat_n_items,obs_acc,pred_acc_cat,pred_acc_full,theta_full_correctness,theta_cat_correctness,final_se_correctness,n_cross_correctness,theta_full_scaffolding,theta_cat_scaffolding,final_se_scaffolding,n_cross_scaffolding
01-ai/Yi-6B,3367,23,0.08731808731808732,0.1014770524071336,0.08692514188317325,-1.0829047976511332,-0.6541169956466185,0.29617435808753995,23.0,-0.18017712676583597,-0.46564154276673875,0.2522038209711302,11
01-ai/Yi-6B-Chat,3343,17,0.12653305414298535,0.12794725885435437,0.12130379497227439,-0.2002897004352283,-0.03954688865047919,0.25861008811970126,13.0,-0.8690092902646803,-1.2043121884572352,0.2947157994686343,17
EleutherAI/pythia-1.4b,3408,96,0.07247652582159625,0.05926345942992753,0.06829977900821645,-2.426595393841075,-3.2997209070290037,0.29680642487065206,96.0,0.8651646518227947,0.9743697842136393,0.14094353870354556,8
EleutherAI/pythia-160m,3406,95,0.04580152671755725,0.05930236701891256,0.0545803713335766,-5.537767332418982,-4.154958625721808,0.29681095173359406,95.0,1.3593560858585256,1.383309254330879,0.14128129590131067,9
EleutherAI/pythia-1b,3403,91,0.06758742286218043,0.0547669294753435,0.06478308802728915,-2.6196150203165356,-4.0679032072958154,0.29768264921846693,91.0,0.9049905279481275,1.1160540788809368,0.14402400454484046,10
EleutherAI/pythia-2.8b,3405,58,0.06343612334801763,0.06727291602587929,0.06345881455314928,-2.6497834770752955,-2.5180787444844364,0.2986111188864657,58.0,0.6899733921247264,0.8380085156263973,0.1550138187106698,9
EleutherAI/pythia-410m,3409,86,0.059548254620123205,0.058248743127979806,0.059040592842696846,-3.6618695021362577,-3.7544151984951704,0.29791875632432263,86.0,1.1565530862389461,1.140603847891748,0.1415281730771236,9
EleutherAI/pythia-6.9b,3399,37,0.06237128567225655,0.06829560064582256,0.06086210065401888,-2.4116908506639603,-2.0196245323245403,0.29383496663612746,37.0,0.29532243671058067,0.31674560769002147,0.193462916466313,10
EleutherAI/pythia-70m,3414,96,0.03485647334504979,0.05152593896744208,0.044703141060656,-5.614263177779688,-4.020025973679162,0.29697069153228955,96.0,0.643297017834586,0.7729820574740912,0.1402561238997263,8
HuggingFaceH4/zephyr-7b-beta,3364,19,0.26010701545778836,0.22715513285187114,0.2485764224722075,1.0684442198323796,0.9830885649787984,0.11906173341493562,6.0,0.4209498132528132,-0.32925200855222014,0.2911254443400453,19
