model_a,model_b,accuracy,theta_a,theta_b,theta_gap,heldoutB_gap,se_a,se_b,z_gap,acc_a,acc_b,acc_diff,n_items,n_correct_a,n_correct_b,mean_disc_correct_a,mean_disc_correct_b,mean_diff_correct_a,mean_diff_correct_b,disc_correct_gap,diff_correct_gap,mechanism_confirmed
Q-bert/MetaMath-1B,llnYou/ECE-PRYMMAL-YL-3B-SLERP-V2,0.3689785624211854,-0.474988015575255,-0.9976284781508461,0.5226404625755912,-0.0010085728693898233,0.04330818718915417,0.015216046432446699,11.385645518498656,0.3704918032786885,0.3674653215636822,0.0030264817150063017,3965,1469,1457,7.257306480509389,6.310282015178529,1.093272526178176,0.16276412742792615,0.9470244653308608,0.9305083987502498,True
qingy2024/Qwarkstar-4B,theprint/ReWiz-Llama-3.2-3B,0.419672131147541,-0.3999997529503389,-0.8999999999995941,0.5000002470492553,-0.007060010085728707,0.00015717794077982217,2.512682040606837e-07,3181.0410962509286,0.41992433795712486,0.4194199243379571,0.000504413619167754,3965,1665,1663,8.075384180654323,6.804365313748071,-0.32645901473258276,0.2196940127416827,1.2710188669062523,-0.5461530274742654,True
allenai/OLMoE-1B-7B-0924-Instruct,Triangle104/Hermes-Llama-3.2-CoT-Summary,0.4068095838587642,-0.40000000000000263,-0.9000000131953304,0.5000000131953277,-0.005042864346949061,1.6574784036078388e-08,3.632537506786011e-05,13759.269020575652,0.4078184110970996,0.40580075662042875,0.0020176544766708493,3965,1617,1609,7.734124544762953,6.87414794634452,-0.07541162950164064,0.2496904072792649,0.8599765984184335,-0.32510203678090555,True
ontocord/wide_3b_sft_stage1.1-ss1-no_redteam_skg_poem.no_issue,pankajmathur/orca_mini_v9_6_1B-Instruct,0.2635561160151324,-0.6000000006435826,-1.0999999999999632,0.4999999993563806,-0.00655572365103374,8.022362161591602e-06,6.019141044547799e-08,61845.42965625999,0.26204287515762925,0.26506935687263555,0.0030264817150063017,3965,1039,1051,8.89635129203549,7.34748842711839,-0.22256858814231456,0.3603705201978192,1.5488628649171003,-0.5829391083401337,True
ibm-granite/granite-3.0-2b-base,prithivMLmods/Codepy-Deepthink-3B,0.41349306431273647,-0.40000000000025926,-0.8999998958522137,0.4999998958519545,-0.007060010085728707,1.6106871413207366e-07,0.0001441246443740632,3469.1329214556663,0.41462799495586383,0.4123581336696091,0.0022698612862547263,3965,1644,1635,7.741595960375391,6.763363481316548,-0.033021790163346436,0.41711534476760487,0.9782324790588426,-0.4501371349309513,True
Sakalti/Phi3.5-Comets-3.8B,Nexesenex/Llama_3.2_1b_OrcaSun_V1,0.28398486759142494,-0.5999999999999996,-1.0999929513356441,0.4999929513356445,-0.00655572365103374,1.2713024822062284e-09,0.0008395336514367377,595.5599228007835,0.28297604035308954,0.2849936948297604,0.0020176544766708493,3965,1122,1130,8.183788319570725,6.944943180703147,0.107405228834797,0.49251479105188367,1.2388451388675783,-0.3851095622170867,True
lt-asset/nova-1.3b,bunnycore/SmolLM2-1.7-Persona,0.3271122320302648,-0.5000000000002741,-0.9999927203433174,0.4999927203430433,0.00806858295511853,1.6558228673045356e-07,0.0008531779854445332,586.0352423694734,0.32484237074401007,0.3293820933165195,0.0045397225725094525,3965,1288,1306,8.173723113704364,6.660863317269571,-0.5403757260932465,-0.33223709070316876,1.5128597964347934,-0.2081386353900777,True
TheDrummer/Gemmasutra-Mini-2B-v1,Novaciano/Cerberus-3.2-1B,0.3496847414880202,-0.49999999999999717,-0.9999380231164943,0.4999380231164971,0.004034291477559293,1.6702730197322536e-08,0.002488744104342581,200.87962513915116,0.35157629255989914,0.34779319041614126,0.003783102143757877,3965,1394,1379,8.579533742479446,8.17790732625596,-0.0939812090526492,0.12165065590324542,0.40162641622348616,-0.21563186495589462,True
Qwen/Qwen2.5-Math-1.5B-Instruct,AicoresSecurity/Cybernet-Sec-3B-R1-V1,0.398234552332913,-0.3999999999999609,-0.8996308813179072,0.49963088131794636,-0.00302571860816947,6.636420799350361e-08,0.00858393504448084,58.20534234283311,0.39974779319041615,0.39672131147540984,0.0030264817150063017,3965,1585,1573,7.385685004942739,6.755669881098674,-0.0640688736317002,0.2540662823271328,0.630015123844065,-0.318135155958833,True
Sakalti/Saba-Passthrough-2,bunnycore/Llama-3.2-3B-ProdigyPlus,0.4132408575031526,-0.400000000000335,-0.8994700324532756,0.49947003245294064,0.004034291477559293,1.8305858173818393e-07,0.01028094135422085,48.58213006010184,0.4126103404791929,0.41387137452711226,0.0012610340479193294,3965,1636,1641,6.952691500823291,6.283081674678896,-0.29556919513300045,0.08138207462921872,0.669609826144395,-0.37695126976221915,True
sumink/llftfl7,djuna-test-lab/TEST-L3.2-ReWish-3B,0.42925598991172764,-0.39999999968058614,-0.8992818145796614,0.49928181489907525,0.0,5.651670673079489e-06,0.011962769850298337,41.73630051261668,0.42849936948297607,0.4300126103404792,0.0015132408575031508,3965,1699,1705,7.369124065700322,6.74017771827211,-0.405308086179114,0.5753683040119457,0.6289463474282115,-0.9806763901910598,True
allenai/OLMoE-1B-7B-0125-Instruct,djuna-test-lab/TEST-L3.2-ReWish-3B-ties-w-base,0.43215636822194203,-0.4000000000021723,-0.8992818145796613,0.499281814577489,-0.0005042864346949116,4.6608241135013103e-07,0.011962769850298335,41.736305111785335,0.4343001261034048,0.4300126103404792,0.004287515762925576,3965,1722,1705,7.543184975114729,6.74017771827211,-0.25129211119503014,0.5753683040119457,0.8030072568426183,-0.8266604152069759,True
