model_a,model_b,accuracy,theta_a,theta_b,theta_gap,heldoutB_gap,se_a,se_b,z_gap,acc_a,acc_b,acc_diff,n_items,n_correct_a,n_correct_b,mean_disc_correct_a,mean_disc_correct_b,mean_diff_correct_a,mean_diff_correct_b,disc_correct_gap,diff_correct_gap,mechanism_confirmed
SkyOrbis/SKY-Ko-Qwen2.5-3B-Instruct,vonjack/Phi-3.5-mini-instruct-hermes-fc-json,0.37037037037037035,0.9701265099137029,-0.6402186061578568,1.6103451160715596,0.06481481481481483,0.048432764326802304,0.05120040238101091,22.84875447507667,0.3726851851851852,0.3680555555555556,0.004629629629629595,432,161,159,3.980173918953392,2.359786407518915,-1.1605114899573707,-0.6433563557771608,1.6203875114344766,-0.51715513418021,True
godlikehhd/alpaca_data_sampled_ifd_new_5200,LLM4Binary/llm4decompile-1.3b-v2,0.3587962962962963,0.4830491741851207,-0.6824485930438705,1.1654977672289912,0.0,0.19765352987056695,0.045863169479110705,5.744062753586386,0.35648148148148145,0.3611111111111111,0.00462962962962965,432,154,156,3.954940947147828,1.8997286430541578,-1.2764884712697977,0.3024409869699806,2.0552123040936703,-1.5789294582397784,True
tinycompany/SigmaBoi-nomic-moe,Sakalti/SJT-1.7B,0.37037037037037035,0.4956736595098199,-0.6332289387650767,1.1289025982748966,-0.009259259259259245,0.17339452849846299,0.049943864010324225,6.256247586200915,0.3726851851851852,0.3680555555555556,0.004629629629629595,432,161,159,3.7341473515077626,1.9538000019104778,-1.1708322232508446,0.30116809607966777,1.7803473495972848,-1.4720003193305122,True
PJMixers-Dev/LLaMa-3.2-Instruct-JankMix-v0.2-SFT-3B,brgx53/LaConfiance-PRYMMAL-ECE-TW3,0.3506944444444444,0.3560292370653988,-0.6638937985858423,1.019923035651241,-0.0092592592592593,0.0789650056719997,0.050809248375990844,10.861897584134617,0.35185185185185186,0.34953703703703703,0.002314814814814825,432,152,151,2.6613281884818103,2.197624364738469,-2.0080755419958023,-0.9452314383485966,0.4637038237433413,-1.0628441036472056,True
piotr25691/thea-3b-25r,Sakalti/Sailor-japanese,0.34837962962962965,0.35623209481221596,-0.6482972040005528,1.0045292988127688,-0.01388888888888884,0.08044357949814082,0.051865723554939326,10.49508321530824,0.34953703703703703,0.3472222222222222,0.002314814814814825,432,151,150,2.085630302411832,1.902966716127907,-1.8227168156215676,1.0475738443355138,0.1826635862839252,-2.8702906599570817,True
iFaz/llama32_3B_en_emo_5000_stp,Amaorynho/BBAI2006,0.33912037037037035,0.31483553261123626,-0.6649264649352119,0.9797619975464482,0.013888888888888895,0.07952587103353762,0.05059976241867336,10.39439468303086,0.33796296296296297,0.3402777777777778,0.002314814814814825,432,146,147,2.364664305843619,1.96829574946666,-2.015011485545808,0.0072565884173151525,0.3963685563769592,-2.022268073963123,True
PJMixers-Dev/LLaMa-3.2-Instruct-JankMix-v0.2-SFT-HailMary-v0.1-KTO-3B,oopere/pruned40-llama-1b,0.34953703703703703,0.33747382787151475,-0.6383407402045855,0.9758145680761003,0.04629629629629628,0.07709383148401294,0.05118078019175492,10.545230383991198,0.35185185185185186,0.3472222222222222,0.00462962962962965,432,152,150,2.6175131688483124,1.6004221199896493,-2.024362346007868,-0.45187101650151107,1.017091048858663,-1.5724913295063572,True
MultivexAI/Gladiator-Mini-Exp-1211-3B,Sakalti/light-1.1-3B,0.35763888888888884,0.4153136457809217,-0.554607351355417,0.9699209971363387,0.009259259259259245,0.07905549765405732,0.18609761644824116,4.797000811918431,0.3587962962962963,0.35648148148148145,0.002314814814814825,432,155,154,2.5823455595952334,2.459692470753174,-2.0551257443278605,-0.6487446575842399,0.12265308884205917,-1.4063810867436206,True
bunnycore/DeepQwen-3B-LCoT-SCE,JayHyeon/Qwen_0.5-DPO_3e-6-3ep_0alp_0lam,0.16203703703703703,-1.9447204504988462,-2.9121391061187683,0.967418655619922,-0.0046296296296296224,0.17993864309771804,0.24106128218223263,3.216013525275683,0.16435185185185186,0.1597222222222222,0.00462962962962965,432,71,69,2.5422801988045736,3.865924487710575,-3.8203159157161974,-3.887728607298827,-1.3236442889060016,0.06741269158262941,True
EpistemeAI/ReasoningCore-3B-RE1-V2A,prithivMLmods/Qwen2.5-1.5B-DeepSeek-R1-Instruct,0.3402777777777778,0.2935743829038593,-0.6735459287027696,0.9671203116066289,0.00462962962962965,0.08673286567702745,0.0485537106251238,9.72973185670551,0.3425925925925926,0.33796296296296297,0.00462962962962965,432,148,146,2.9376564134768426,2.628611679477307,-1.9418811756851007,1.995016653050109,0.30904473399953547,-3.9368978287352094,True
MultivexAI/Gladiator-Mini-Exp-1222-3B-Instruct,Amaorynho/BBAI_375,0.33912037037037035,0.2824322451007353,-0.6649264649352119,0.9473587100359472,0.0092592592592593,0.08112080260177704,0.05059976241867336,9.908763998436193,0.33796296296296297,0.3402777777777778,0.002314814814814825,432,146,147,2.5304832735062606,1.96829574946666,-1.8966006181841868,0.0072565884173151525,0.5621875240396006,-1.903857206601502,True
allura-org/MoE-Girl-1BA-7BT,sumink/bbhqwen6,0.23148148148148148,-0.5848675009573072,-1.5187923359957418,0.9339248350384346,0.013888888888888867,0.07158226579171836,0.18309530749351527,4.750604811781392,0.23148148148148148,0.23148148148148148,0.0,432,100,100,2.6681601582557586,2.5820361647449066,-1.769496357071072,-1.1557704032116662,0.08612399351085198,-0.6137259538594058,True
