model_a,model_b,accuracy,theta_a,theta_b,theta_gap,heldoutB_gap,se_a,se_b,z_gap,acc_a,acc_b,acc_diff,n_items,n_correct_a,n_correct_b,mean_disc_correct_a,mean_disc_correct_b,mean_diff_correct_a,mean_diff_correct_b,disc_correct_gap,diff_correct_gap,mechanism_confirmed
noname0202/gemma-2-2b-it-ties,sumink/bbhqwen6,0.11839530332681017,-1.2556849273518595,-2.233011506264538,0.9773265789126786,0.02734375,0.17378190517823877,0.2755607306709203,2.9999410175287533,0.11937377690802348,0.11741682974559686,0.0019569471624266144,511,61,60,3.637112886404816,4.8949446210102066,0.6962440982585497,0.6488128809515533,-1.2578317346053907,0.0474312173069964,True
bunnycore/Gemma-2-2B-Smart,Sakalti/Phi3.5-Comets-3.8B,0.12915851272015655,-1.0414469971564955,-1.922823051951145,0.8813760547946494,-0.0078125,0.15680708062789764,0.2557598407796995,2.9378947750008346,0.12720156555772993,0.13111545988258316,0.003913894324853229,511,65,67,3.022578884284104,5.02887600280794,0.7804263920486227,0.6240684366674442,-2.006297118523836,0.15635795538117858,True
pankajmathur/orca_mini_v2_7b,sabersaleh/Llama2-7B-DPO,0.11154598825831702,-0.9596816080080808,-1.7012892198706913,0.7416076118626105,0.01953125,0.14417224864509148,0.20797098926008323,2.930601436308328,0.11350293542074363,0.1095890410958904,0.003913894324853229,511,58,56,2.9433713432669903,4.497533804534457,0.5729460762678944,0.5702678852079984,-1.5541624612674663,0.0026781910598959735,True
Nexesenex/Llama_3.2_1b_Syneridol_0.2,HuggingFaceTB/SmolLM-360M,0.1506849315068493,-0.48528020332112154,-1.0233008063022488,0.5380206029811273,0.04296875,0.11213476948044167,0.14401579863536546,2.9476816873346245,0.15264187866927592,0.1487279843444227,0.003913894324853229,511,78,76,2.5274114591498296,3.463824945618872,0.4001198638656955,0.3451754274751564,-0.9364134864690423,0.054944436390539086,True
Pinkstack/Superthoughts-lite-v1,Nexesenex/Llama_3.2_1b_Synopsys_0.1,0.12035225048923678,-0.5225396096867455,-0.9913177379390576,0.46877812825231213,0.0078125,0.12297312596202767,0.14099521113355995,2.5056515000233786,0.12133072407045009,0.11937377690802348,0.0019569471624266144,511,62,61,2.8951331840466263,3.1981753040259977,0.19288231514733192,0.09996412595986429,-0.30304211997937136,0.09291818918746764,True
KingNish/Reasoning-0.5b,someon98/qwen-CoMa-0.5b,0.16144814090019569,-0.2729811084587718,-0.7334795257192102,0.46049841726043833,0.015625,0.09929943093327948,0.12493532803166241,2.8854953424667036,0.162426614481409,0.16046966731898238,0.0019569471624266144,511,83,82,2.479995871685291,3.714271140235553,0.3196794179918154,0.21495328955023124,-1.2342752685502623,0.10472612844158413,True
Sakalti/SJTPass-5,EleutherAI/pythia-1.4b,0.1761252446183953,-0.3899697074893074,-0.8021773217116697,0.41220761422236224,0.0234375,0.11141877789671305,0.13518008038734758,2.3530607781958466,0.1780821917808219,0.17416829745596868,0.003913894324853229,511,91,89,3.2987761633953903,3.1377328006596485,0.09392311576012577,0.4787730296712567,0.1610433627357417,-0.3848499139111309,True
Nexesenex/Llama_3.2_1b_Odyssea_V1,VAGOsolutions/SauerkrautLM-Gemma-2b,0.19373776908023482,-0.06349509355478831,-0.4676119215164725,0.4041168279616842,-0.03125,0.09905336387076141,0.11852791495005123,2.6161807886490207,0.19569471624266144,0.1917808219178082,0.003913894324853229,511,100,98,2.671939678707358,3.4725412049321607,0.43585975963522744,0.29595755625335424,-0.8006015262248027,0.1399022033818732,True
Telugu-LLM-Labs/Indic-gemma-2b-finetuned-sft-Navarasa-2.0,prithivMLmods/Llama-3.2-6B-AlgoCode,0.14677103718199608,-0.43597899159139747,-0.836569118556925,0.4005901269655275,0.0234375,0.11949544859737132,0.13575169988159766,2.2150081563359163,0.1487279843444227,0.14481409001956946,0.003913894324853229,511,76,74,3.372457094048496,2.829482081280347,0.2276489881658201,0.19282901162279864,0.542975012768149,0.034819976543021464,True
LilRg/10PRYMMAL-3B-slerp,HuggingFaceTB/SmolLM-1.7B,0.16829745596868884,-0.3599594515198241,-0.7364819999246429,0.3765225484048188,0.01171875,0.13100980019515657,0.12895537842934934,2.048223037648127,0.16829745596868884,0.16829745596868884,0.0,511,86,86,3.0389785324033185,3.294398924332,0.3886331917681415,0.2703319936276731,-0.2554203919286815,0.11830119814046841,True
Alepach/notHumpback-M0,HuggingFaceTB/SmolLM2-1.7B,0.18003913894324852,-0.1845111901980537,-0.5567109192225027,0.372199729024449,0.03515625,0.10511057723194707,0.11651305074983449,2.371924959360691,0.18003913894324852,0.18003913894324852,0.0,511,92,92,2.9696554600168725,2.888230164476882,0.3006930246231493,0.2802431231957212,0.08142529553999056,0.020449901427428085,True
JayHyeon/Qwen_0.5-DPOP_3e-6-2ep_0alp_5lam,princeton-nlp/Sheared-LLaMA-2.7B,0.18493150684931506,-0.17416664211061914,-0.4920112395850893,0.31784459747447014,0.03515625,0.09169690030277135,0.11149789781008353,2.2017342894499383,0.18590998043052837,0.18395303326810175,0.0019569471624266144,511,95,94,2.6297029020005787,3.1211891899363153,0.32790425667049194,0.2995687109362895,-0.4914862879357367,0.02833554573420244,True
