question_id,model,benchmark,predicted,gold,result,scoring_method
pedagogy_0,ibm/PowerLM-3b,pedagogy,D,D,correct,loglikelihood
pedagogy_1,ibm/PowerLM-3b,pedagogy,D,C,wrong,loglikelihood
pedagogy_2,ibm/PowerLM-3b,pedagogy,D,B,wrong,loglikelihood
pedagogy_3,ibm/PowerLM-3b,pedagogy,B,D,wrong,loglikelihood
pedagogy_4,ibm/PowerLM-3b,pedagogy,B,A,wrong,loglikelihood
pedagogy_5,ibm/PowerLM-3b,pedagogy,B,D,wrong,loglikelihood
pedagogy_6,ibm/PowerLM-3b,pedagogy,A,C,wrong,loglikelihood
pedagogy_7,ibm/PowerLM-3b,pedagogy,A,A,correct,loglikelihood
pedagogy_8,ibm/PowerLM-3b,pedagogy,C,D,wrong,loglikelihood
pedagogy_9,ibm/PowerLM-3b,pedagogy,C,B,wrong,loglikelihood
pedagogy_10,ibm/PowerLM-3b,pedagogy,C,C,correct,loglikelihood
pedagogy_11,ibm/PowerLM-3b,pedagogy,B,A,wrong,loglikelihood
pedagogy_12,ibm/PowerLM-3b,pedagogy,B,B,correct,loglikelihood
pedagogy_13,ibm/PowerLM-3b,pedagogy,A,D,wrong,loglikelihood
pedagogy_14,ibm/PowerLM-3b,pedagogy,A,D,wrong,loglikelihood
pedagogy_15,ibm/PowerLM-3b,pedagogy,D,A,wrong,loglikelihood
pedagogy_16,ibm/PowerLM-3b,pedagogy,A,B,wrong,loglikelihood
pedagogy_17,ibm/PowerLM-3b,pedagogy,B,D,wrong,loglikelihood
pedagogy_18,ibm/PowerLM-3b,pedagogy,C,B,wrong,loglikelihood
pedagogy_19,ibm/PowerLM-3b,pedagogy,D,D,correct,loglikelihood
pedagogy_20,ibm/PowerLM-3b,pedagogy,D,A,wrong,loglikelihood
pedagogy_21,ibm/PowerLM-3b,pedagogy,B,C,wrong,loglikelihood
pedagogy_22,ibm/PowerLM-3b,pedagogy,D,B,wrong,loglikelihood
pedagogy_23,ibm/PowerLM-3b,pedagogy,A,D,wrong,loglikelihood
pedagogy_24,ibm/PowerLM-3b,pedagogy,B,A,wrong,loglikelihood
pedagogy_25,ibm/PowerLM-3b,pedagogy,A,D,wrong,loglikelihood
pedagogy_26,ibm/PowerLM-3b,pedagogy,D,D,correct,loglikelihood
pedagogy_27,ibm/PowerLM-3b,pedagogy,D,C,wrong,loglikelihood
pedagogy_28,ibm/PowerLM-3b,pedagogy,D,D,correct,loglikelihood
pedagogy_29,ibm/PowerLM-3b,pedagogy,D,A,wrong,loglikelihood
pedagogy_30,ibm/PowerLM-3b,pedagogy,B,B,correct,loglikelihood
pedagogy_31,ibm/PowerLM-3b,pedagogy,A,C,wrong,loglikelihood
pedagogy_32,ibm/PowerLM-3b,pedagogy,B,B,correct,loglikelihood
pedagogy_33,ibm/PowerLM-3b,pedagogy,C,B,wrong,loglikelihood
pedagogy_34,ibm/PowerLM-3b,pedagogy,C,B,wrong,loglikelihood
pedagogy_35,ibm/PowerLM-3b,pedagogy,B,D,wrong,loglikelihood
pedagogy_36,ibm/PowerLM-3b,pedagogy,D,C,wrong,loglikelihood
pedagogy_37,ibm/PowerLM-3b,pedagogy,A,A,correct,loglikelihood
pedagogy_38,ibm/PowerLM-3b,pedagogy,C,B,wrong,loglikelihood
pedagogy_39,ibm/PowerLM-3b,pedagogy,B,C,wrong,loglikelihood
pedagogy_40,ibm/PowerLM-3b,pedagogy,D,C,wrong,loglikelihood
pedagogy_41,ibm/PowerLM-3b,pedagogy,B,C,wrong,loglikelihood
pedagogy_42,ibm/PowerLM-3b,pedagogy,B,B,correct,loglikelihood
pedagogy_43,ibm/PowerLM-3b,pedagogy,A,D,wrong,loglikelihood
pedagogy_44,ibm/PowerLM-3b,pedagogy,B,C,wrong,loglikelihood
pedagogy_45,ibm/PowerLM-3b,pedagogy,D,B,wrong,loglikelihood
pedagogy_46,ibm/PowerLM-3b,pedagogy,A,C,wrong,loglikelihood
pedagogy_47,ibm/PowerLM-3b,pedagogy,A,B,wrong,loglikelihood
pedagogy_48,ibm/PowerLM-3b,pedagogy,C,C,correct,loglikelihood
pedagogy_49,ibm/PowerLM-3b,pedagogy,A,C,wrong,loglikelihood
