question_id,model,benchmark,predicted,gold,result,scoring_method
pedagogy_0,deepseek-ai/deepseek-coder-1.3b-base,pedagogy,A,D,wrong,loglikelihood
pedagogy_1,deepseek-ai/deepseek-coder-1.3b-base,pedagogy,D,C,wrong,loglikelihood
pedagogy_2,deepseek-ai/deepseek-coder-1.3b-base,pedagogy,D,B,wrong,loglikelihood
pedagogy_3,deepseek-ai/deepseek-coder-1.3b-base,pedagogy,B,D,wrong,loglikelihood
pedagogy_4,deepseek-ai/deepseek-coder-1.3b-base,pedagogy,A,A,correct,loglikelihood
pedagogy_5,deepseek-ai/deepseek-coder-1.3b-base,pedagogy,D,D,correct,loglikelihood
pedagogy_6,deepseek-ai/deepseek-coder-1.3b-base,pedagogy,A,C,wrong,loglikelihood
pedagogy_7,deepseek-ai/deepseek-coder-1.3b-base,pedagogy,C,A,wrong,loglikelihood
pedagogy_8,deepseek-ai/deepseek-coder-1.3b-base,pedagogy,B,D,wrong,loglikelihood
pedagogy_9,deepseek-ai/deepseek-coder-1.3b-base,pedagogy,C,B,wrong,loglikelihood
pedagogy_10,deepseek-ai/deepseek-coder-1.3b-base,pedagogy,C,C,correct,loglikelihood
pedagogy_11,deepseek-ai/deepseek-coder-1.3b-base,pedagogy,B,A,wrong,loglikelihood
pedagogy_12,deepseek-ai/deepseek-coder-1.3b-base,pedagogy,C,B,wrong,loglikelihood
pedagogy_13,deepseek-ai/deepseek-coder-1.3b-base,pedagogy,A,D,wrong,loglikelihood
pedagogy_14,deepseek-ai/deepseek-coder-1.3b-base,pedagogy,B,D,wrong,loglikelihood
pedagogy_15,deepseek-ai/deepseek-coder-1.3b-base,pedagogy,C,A,wrong,loglikelihood
pedagogy_16,deepseek-ai/deepseek-coder-1.3b-base,pedagogy,B,B,correct,loglikelihood
pedagogy_17,deepseek-ai/deepseek-coder-1.3b-base,pedagogy,D,D,correct,loglikelihood
pedagogy_18,deepseek-ai/deepseek-coder-1.3b-base,pedagogy,C,B,wrong,loglikelihood
pedagogy_19,deepseek-ai/deepseek-coder-1.3b-base,pedagogy,D,D,correct,loglikelihood
pedagogy_20,deepseek-ai/deepseek-coder-1.3b-base,pedagogy,A,A,correct,loglikelihood
pedagogy_21,deepseek-ai/deepseek-coder-1.3b-base,pedagogy,C,C,correct,loglikelihood
pedagogy_22,deepseek-ai/deepseek-coder-1.3b-base,pedagogy,B,B,correct,loglikelihood
pedagogy_23,deepseek-ai/deepseek-coder-1.3b-base,pedagogy,A,D,wrong,loglikelihood
pedagogy_24,deepseek-ai/deepseek-coder-1.3b-base,pedagogy,C,A,wrong,loglikelihood
pedagogy_25,deepseek-ai/deepseek-coder-1.3b-base,pedagogy,B,D,wrong,loglikelihood
pedagogy_26,deepseek-ai/deepseek-coder-1.3b-base,pedagogy,D,D,correct,loglikelihood
pedagogy_27,deepseek-ai/deepseek-coder-1.3b-base,pedagogy,D,C,wrong,loglikelihood
pedagogy_28,deepseek-ai/deepseek-coder-1.3b-base,pedagogy,A,D,wrong,loglikelihood
pedagogy_29,deepseek-ai/deepseek-coder-1.3b-base,pedagogy,C,A,wrong,loglikelihood
pedagogy_30,deepseek-ai/deepseek-coder-1.3b-base,pedagogy,B,B,correct,loglikelihood
pedagogy_31,deepseek-ai/deepseek-coder-1.3b-base,pedagogy,C,C,correct,loglikelihood
pedagogy_32,deepseek-ai/deepseek-coder-1.3b-base,pedagogy,A,B,wrong,loglikelihood
pedagogy_33,deepseek-ai/deepseek-coder-1.3b-base,pedagogy,D,B,wrong,loglikelihood
