question_id,model,benchmark,predicted,gold,result,scoring_method
pedagogy_0,kyutai/helium-1-preview-2b,pedagogy,C,D,wrong,loglikelihood
pedagogy_1,kyutai/helium-1-preview-2b,pedagogy,A,C,wrong,loglikelihood
pedagogy_2,kyutai/helium-1-preview-2b,pedagogy,D,B,wrong,loglikelihood
pedagogy_3,kyutai/helium-1-preview-2b,pedagogy,B,D,wrong,loglikelihood
pedagogy_4,kyutai/helium-1-preview-2b,pedagogy,B,A,wrong,loglikelihood
pedagogy_5,kyutai/helium-1-preview-2b,pedagogy,B,D,wrong,loglikelihood
pedagogy_6,kyutai/helium-1-preview-2b,pedagogy,A,C,wrong,loglikelihood
pedagogy_7,kyutai/helium-1-preview-2b,pedagogy,B,A,wrong,loglikelihood
pedagogy_8,kyutai/helium-1-preview-2b,pedagogy,C,D,wrong,loglikelihood
pedagogy_9,kyutai/helium-1-preview-2b,pedagogy,A,B,wrong,loglikelihood
pedagogy_10,kyutai/helium-1-preview-2b,pedagogy,C,C,correct,loglikelihood
pedagogy_11,kyutai/helium-1-preview-2b,pedagogy,A,A,correct,loglikelihood
pedagogy_12,kyutai/helium-1-preview-2b,pedagogy,B,B,correct,loglikelihood
pedagogy_13,kyutai/helium-1-preview-2b,pedagogy,A,D,wrong,loglikelihood
pedagogy_14,kyutai/helium-1-preview-2b,pedagogy,A,D,wrong,loglikelihood
pedagogy_15,kyutai/helium-1-preview-2b,pedagogy,C,A,wrong,loglikelihood
pedagogy_16,kyutai/helium-1-preview-2b,pedagogy,A,B,wrong,loglikelihood
pedagogy_17,kyutai/helium-1-preview-2b,pedagogy,B,D,wrong,loglikelihood
pedagogy_18,kyutai/helium-1-preview-2b,pedagogy,C,B,wrong,loglikelihood
pedagogy_19,kyutai/helium-1-preview-2b,pedagogy,D,D,correct,loglikelihood
pedagogy_20,kyutai/helium-1-preview-2b,pedagogy,D,A,wrong,loglikelihood
pedagogy_21,kyutai/helium-1-preview-2b,pedagogy,B,C,wrong,loglikelihood
pedagogy_22,kyutai/helium-1-preview-2b,pedagogy,D,B,wrong,loglikelihood
pedagogy_23,kyutai/helium-1-preview-2b,pedagogy,A,D,wrong,loglikelihood
pedagogy_24,kyutai/helium-1-preview-2b,pedagogy,B,A,wrong,loglikelihood
pedagogy_25,kyutai/helium-1-preview-2b,pedagogy,A,D,wrong,loglikelihood
pedagogy_26,kyutai/helium-1-preview-2b,pedagogy,C,D,wrong,loglikelihood
pedagogy_27,kyutai/helium-1-preview-2b,pedagogy,D,C,wrong,loglikelihood
pedagogy_28,kyutai/helium-1-preview-2b,pedagogy,D,D,correct,loglikelihood
pedagogy_29,kyutai/helium-1-preview-2b,pedagogy,D,A,wrong,loglikelihood
pedagogy_30,kyutai/helium-1-preview-2b,pedagogy,B,B,correct,loglikelihood
