model,theta_stop_correctness,theta_stop_scaffolding,sd_correctness,sd_scaffolding,se_total_correctness,se_total_scaffolding,length,stop_reason,reached,weak_calibrated
Qwen/Qwen3-1.7B,2.7516833168772883,-0.8065802585814053,0.1593180556402414,0.2514124191241759,0.2646118000872327,0.8144725971386076,20,precision_reached,True,False
Qwen/Qwen3-4B,2.707270680387746,-0.0170909465725335,0.1217778104757957,0.1548742207982334,0.2571444720612171,0.324107356919909,20,precision_reached,True,False
Qwen/Qwen2.5-7B-Instruct,2.3404224977014696,0.2439604361676985,0.1202735016271489,0.1405976887291118,0.2948924204973258,0.254748759039358,20,precision_reached,True,False
Qwen/Qwen2.5-Coder-7B,2.3259147998233227,-0.6292996054987732,0.1868169935426732,0.3134661873040057,0.3476260185774413,0.513390015879017,20,info_plateau,False,False
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,2.3161552983306923,-0.6988790978273175,0.1630601398913632,0.2520557531032737,0.2247539090716647,0.2973159873324751,20,precision_reached,True,False
tiiuae/Falcon3-7B-Base,2.2386336944368592,0.042941014176992,0.1559316998872759,0.1872462651927229,0.2180655538841789,0.3134413095986443,20,precision_reached,True,False
Qwen/Qwen2.5-Math-7B,2.154676247887981,-1.5989202407375565,0.1409453512766816,0.2955586587814324,0.2187967566138214,0.3796515623593965,25,info_plateau,False,False
01-ai/Yi-1.5-6B-Chat,2.147855089654063,-0.5666577854082322,0.1568892636207634,0.262049379294627,0.180003168830757,0.3570939853582601,22,precision_reached,True,False
tiiuae/Falcon3-3B-Instruct,2.0328441822088585,-0.9858475436135116,0.1824564238066451,0.2535936504190966,0.2258066549783748,0.2905545364533705,20,precision_reached,True,False
tiiuae/Falcon3-3B-Base,2.0107373667574864,-0.782120458971521,0.1871339760458767,0.2555060158685037,0.2177183507123818,0.2906745479326132,20,precision_reached,True,False
Qwen/Qwen3-0.6B,1.80753166275612,-0.7872496680753912,0.2578743080134317,0.2946479421145038,0.316687247299779,0.3675312373382283,21,info_plateau,False,False
Qwen/Qwen2-7B,1.7241925026993288,-0.276498640500507,0.1884619772352099,0.256402056520027,0.2171628362905172,0.3243164734017718,20,precision_reached,True,False
microsoft/Phi-3-mini-4k-instruct,1.5396349711994055,-0.0281480225862602,0.1769281320827924,0.2582190419574331,0.2072038016093426,0.282353683665844,20,precision_reached,True,False
Qwen/Qwen2.5-1.5B-Instruct,1.3902698838676857,-0.4845591048713911,0.1797051413800412,0.2876016470633681,0.2377669211491346,0.3809835356080288,24,info_plateau,False,False
allenai/OLMo-2-1124-7B,1.342338518231393,-0.6661932113552239,0.2264737281689378,0.2640998393282475,0.2709063218387044,0.2902810598171368,22,precision_reached,True,False
Qwen/Qwen2.5-3B,1.299823506496152,-0.4292854112237608,0.2485129979719982,0.2684690055428639,0.5114018075916732,0.702375233241278,23,precision_reached,True,False
ibm-granite/granite-3.1-2b-instruct,1.2843356108474837,0.0697668784154328,0.2312928685148375,0.2642837538983634,0.2672581681044681,0.2900644183558576,22,precision_reached,True,False
Qwen/Qwen2.5-7B,1.2836408646434714,0.8651581429914927,0.1861495410242182,0.1874310757289602,0.2685581789308074,0.2524987468140713,20,precision_reached,True,False
arcee-ai/raspberry-3B,1.2256946976802885,0.0236596540155907,0.2091833094284986,0.2431650958137717,0.2436337322772018,0.3147702551817425,20,precision_reached,True,False
HuggingFaceH4/zephyr-7b-beta,1.1647639078305263,-0.0442371658094479,0.1836420650372042,0.2616956123617627,0.2372654120665852,0.3234204579716628,21,precision_reached,True,False
Qwen/Qwen2.5-3B-Instruct,1.1554932904207793,0.7409030858412683,0.1933743381032302,0.2023502704595682,0.2351820974223654,0.2415700792434173,20,precision_reached,True,False
nvidia/AceInstruct-1.5B,1.122997984861275,-0.676264617896364,0.1787325775192524,0.2625071596331568,0.2156604208631568,0.3256184171657413,27,precision_reached,True,False
microsoft/Phi-3.5-mini-instruct,1.1017685798147354,-1.3098500604663106,0.208098459462033,0.265926155857703,0.2907143124825401,0.3509666305661167,23,precision_reached,True,False
Qwen/Qwen2.5-1.5B,0.977629109402024,-1.7654458256144008,0.2569732024612086,0.3743392121268084,0.2698085607119324,0.3922360701342963,24,info_plateau,False,False
meta-llama/Llama-3.2-3B-Instruct,0.928951040052294,0.9068316279288432,0.189570816982451,0.2226359932817776,0.2544956840416009,0.3162994629859329,20,precision_reached,True,False
mistralai/Mistral-7B-Instruct-v0.3,0.8751493729710157,0.7091115509788958,0.2278170397395105,0.2343221891370324,0.2656879144561921,0.2588427533165652,20,precision_reached,True,False
ibm-granite/granite-3.0-2b-base,0.8624158766188633,-0.2131403569520036,0.2471641345336841,0.2659911017367409,0.2680889056143221,0.3153380569906959,25,precision_reached,True,False
ibm/PowerLM-3b,0.8050527888861132,-0.0356165316155091,0.2132315615801034,0.2532533570146238,0.4272048204341126,0.6648464874814185,25,precision_reached,True,False
tiiuae/Falcon3-1B-Instruct,0.803253618319109,-1.179915529418052,0.2431646023267846,0.2536269911817574,0.2749379251030216,0.3816537988761673,20,precision_reached,True,False
01-ai/Yi-1.5-6B,0.7995375260977492,-0.4913091791852646,0.2404832249791456,0.2694738831951895,0.2612587307904971,0.3079857462931004,29,precision_reached,True,False
pankajmathur/orca_mini_v9_5_3B-Instruct,0.7526655630042028,-0.2519236226189641,0.1963794380074374,0.2657742120162169,0.226331445417676,0.3082040612195499,24,precision_reached,True,False
ibm-granite/granite-3.1-2b-base,0.5788749424914867,-0.0236838832630785,0.2321118870414877,0.2597893924476044,0.2585166140666095,0.2941022677508201,23,precision_reached,True,False
microsoft/phi-2,0.5350090367299647,0.3631552251680079,0.2372806446408694,0.2411588823576233,0.2791189746540645,0.2602768435332622,20,precision_reached,True,False
tiiuae/Falcon3-1B-Base,0.4250242732953469,-1.110244467065446,0.2081676446773673,0.2741861255491422,0.2906549807968225,0.3172716157664021,23,info_plateau,False,False
