model,scenarios,criteria,precision_reached,mwle_ok,theta_online_correctness,theta_batch_correctness,theta_mwle_correctness,final_se_correctness,scorable_evals_correctness,theta_online_scaffolding,theta_batch_scaffolding,theta_mwle_scaffolding,final_se_scaffolding,scorable_evals_scaffolding,theta_full_correctness,theta_full_scaffolding
01-ai/Yi-6B,16,62,True,True,-0.780455,-0.8586148752093793,-0.8780932872753359,0.289001,48,-0.294905,-0.32890588369278156,-0.3057537865456642,0.287148,23,-1.0764379849474093,-0.18070957793689096
01-ai/Yi-6B-Chat,16,64,True,True,-0.854637,-0.9435817731610732,-0.9806302122077908,0.297995,51,-0.471241,-0.5944383199513237,-0.5523960966939042,0.294942,23,-0.2006865821249641,-0.8688124670178587
EleutherAI/pythia-1.4b,18,68,True,True,-2.040075,-2.6430259271774523,-3.1948373197333475,0.298411,56,0.866608,0.9434772776812632,1.0595059035448928,0.296041,23,-2.4266290843658433,0.8648959591697851
EleutherAI/pythia-160m,13,61,True,True,-1.867864,-2.7665211538581898,-4.564357517493422,0.292994,50,1.337637,1.8494113386844602,3.6139513125496796,0.287914,24,-5.567074474400885,1.3596834143935057
EleutherAI/pythia-1b,18,70,True,True,-2.150918,-2.9597309706905217,-4.2975666896340785,0.29485,57,0.766115,0.6685295630627345,0.7308712301790918,0.288594,24,-2.619644933789572,0.9050248611911991
EleutherAI/pythia-2.8b,15,64,True,True,-1.538089,-1.7895599365743402,-1.9323146052119546,0.298269,52,0.814932,0.9164918403079676,1.0709549954449653,0.298365,27,-2.649788304691011,0.689832173792401
EleutherAI/pythia-410m,19,81,True,True,-1.967384,-2.752280060637133,-3.9135431738707647,0.296696,67,0.589001,0.6118732734877157,0.6483405484511975,0.290631,23,-3.6618811009281433,1.1568238084019313
EleutherAI/pythia-6.9b,15,63,True,True,-1.680345,-2.2187758470646597,-2.5869351954362703,0.296043,51,0.606204,0.5218819721300575,0.5618603002625174,0.298661,27,-2.4117680338294223,0.29530280501442807
EleutherAI/pythia-70m,14,70,True,True,-2.130349,-2.976882424068816,-4.396237573798657,0.294289,63,0.411715,0.15158899069997783,0.16856531100445837,0.294351,19,-5.650241870042652,0.643147571426001
HuggingFaceH4/zephyr-7b-beta,7,45,True,True,1.021603,0.9789641191404211,1.0662841357050785,0.209401,37,-0.253528,-0.39124867786116374,-0.3818629173027482,0.254048,15,1.0054888195497507,0.434329081234487
HuggingFaceTB/SmolLM2-1.7B,15,54,True,True,-0.265124,-0.37084343349757076,-0.33149448181380703,0.297881,39,-0.693235,-0.8769394761104263,-0.8760020284221948,0.288303,24,-0.7090900181197279,-0.30006507754071055
HuggingFaceTB/SmolLM2-1.7B-Instruct,9,37,True,True,0.353301,0.36349275466220127,0.45912368548401555,0.280365,28,-0.833993,-0.9859598257061644,-0.9891599806731556,0.290688,17,0.2739268953909822,-0.8218635436399548
HuggingFaceTB/SmolLM2-135M,14,57,True,True,-1.48087,-2.3301611485558245,-3.2228752929991846,0.288484,47,-0.002277,-0.14898179569242648,-0.1480831256685027,0.291694,17,-3.8974349459747986,0.17008940706442643
HuggingFaceTB/SmolLM2-360M,16,72,True,True,-1.891091,-2.452078420076232,-2.888109479772988,0.291756,61,0.378501,0.14181202565613849,0.19833046846067903,0.299339,26,-3.2899582750731042,0.3037204422489006
HuggingFaceTB/SmolLM2-360M-Instruct,19,74,True,True,-1.569363,-1.711200608463926,-1.872595186662814,0.297754,59,-0.82891,-0.9661274027030023,-1.0008040856273985,0.295733,27,-1.4269824737447632,-0.9029442230334417
LLM360/Amber,16,73,True,True,-1.972122,-2.7758373857931944,-3.8233428930416213,0.297283,61,0.456498,0.23803091594310102,0.2727487182103179,0.299814,28,-4.705663354494697,0.4327544840197725
Qwen/Qwen2-0.5B,15,68,True,True,-1.525813,-1.8533597414685032,-2.071946231283885,0.294003,56,0.175805,0.023716635391603746,0.0420201276968476,0.288246,27,-2.5476262489143364,-0.47955533931453165
Qwen/Qwen2-1.5B,18,70,True,True,-0.730733,-0.7894776925038854,-0.8071750427915326,0.289503,54,-1.45002,-1.634511755954657,-1.6655013464597055,0.289999,25,-0.6066263585154013,-1.2357212751279838
Qwen/Qwen2-7B,10,49,True,True,1.467067,1.472255247353743,1.5303823406745782,0.196514,30,-0.291293,-0.32417859022195705,-0.27666650259559206,0.25382,29,1.400002974628372,0.06705082725537043
Qwen/Qwen2.5-0.5B,15,58,True,True,-0.827799,-0.9092017650013262,-0.9363067069130816,0.295857,44,-1.15816,-1.133379746882804,-1.3434899721485511,0.283317,22,-1.3148494976067986,-1.0230083034815325
Qwen/Qwen2.5-0.5B-Instruct,14,60,True,True,-0.301816,-0.4242602418609955,-0.41525848071360455,0.28955,45,-0.763822,-0.9989625837011572,-0.9933663175753273,0.275331,30,-0.7141714557949151,-1.1537197071759064
Qwen/Qwen2.5-1.5B,8,39,True,True,0.979168,0.7625557262512402,0.9399880949920704,0.243612,28,-1.09527,-0.9396032048006433,-1.2069662249976538,0.272576,20,0.7985370722805765,-1.5522275644508725
Qwen/Qwen2.5-1.5B-Instruct,4,27,True,True,1.132849,0.9005704340689505,1.2220398690940637,0.2609,19,-0.494317,-1.1799365419230732,-1.3790128403047308,0.292153,15,1.200002646476694,-1.333977748629789
Qwen/Qwen2.5-3B,11,51,True,True,1.506314,1.51613933672926,1.5544362989564913,0.201749,36,-1.003049,-0.9578870941981974,-1.0999782465771508,0.289549,27,1.400399130449382,-0.7637485935505463
Qwen/Qwen2.5-3B-Instruct,8,52,True,True,1.504316,1.7967680848551666,1.8563916926020791,0.235208,45,0.592708,0.4514529510474534,0.4946749955463754,0.225548,18,2.1999967083102914,0.43929731658706417
Qwen/Qwen2.5-7B,13,51,True,True,1.727874,1.8285715435602807,1.774765227608118,0.164206,42,1.587826,1.5423619328537619,1.610969942075684,0.169553,16,2.0010729980160478,1.0364979165136339
Qwen/Qwen2.5-7B-Instruct,13,59,True,True,2.53311,2.5126351890455516,2.5540968913587534,0.172374,56,1.110781,1.203061387315278,1.169326384218102,0.226798,17,2.5999998341535764,1.3817210578355201
Qwen/Qwen2.5-Coder-7B,8,45,True,True,1.311148,0.9844294641216291,1.3193825739642095,0.265891,34,-0.14855,-0.0685143279463421,-0.033689137360567833,0.281715,17,1.7991927467298447,-0.023858743345807634
Qwen/Qwen2.5-Math-7B,8,48,True,True,1.977848,1.90296031139374,2.3412989396218937,0.240813,34,-1.020909,-1.2518443751554085,-1.3276875865615758,0.28858,21,2.2000011814180405,-1.5720505155777764
