floor,se_target,n_models,median_len_scenarios,mean_len_scenarios,median_len_criteria,mean_len_criteria,pct_reach,pct_precision,pct_plateau,pct_cap,pct_bank_exhausted,recovery_r,median_sd,median_se_total
10,0.15,48,17.5,18.791666666666668,27.0,31.104166666666668,43.8,43.8,56.2,0.0,0.0,0.9599,0.152,0.1956
10,0.2,48,11.0,13.125,18.0,21.0625,85.4,85.4,14.6,0.0,0.0,0.9408,0.1931,0.2208
10,0.22,48,10.0,11.75,17.0,18.729166666666668,91.7,91.7,8.3,0.0,0.0,0.9347,0.206,0.2377
10,0.25,48,10.0,11.0,16.0,17.25,97.9,97.9,2.1,0.0,0.0,0.929,0.2101,0.2461
10,0.27,48,10.0,10.729166666666666,16.0,16.645833333333332,100.0,100.0,0.0,0.0,0.0,0.9317,0.2127,0.2481
10,0.3,48,10.0,10.479166666666666,15.5,16.083333333333332,100.0,100.0,0.0,0.0,0.0,0.9308,0.2145,0.2481
10,0.32,48,10.0,10.458333333333334,15.5,16.0625,100.0,100.0,0.0,0.0,0.0,0.9302,0.2145,0.2481
12,0.15,48,17.5,19.041666666666668,27.0,31.416666666666668,43.8,43.8,56.2,0.0,0.0,0.9616,0.152,0.1943
12,0.2,48,12.0,14.0625,20.0,22.645833333333332,85.4,85.4,14.6,0.0,0.0,0.9473,0.186,0.2202
12,0.22,48,12.0,13.041666666666666,19.0,20.895833333333332,91.7,91.7,8.3,0.0,0.0,0.9403,0.1901,0.23
12,0.25,48,12.0,12.625,19.0,20.104166666666668,95.8,95.8,4.2,0.0,0.0,0.9378,0.1901,0.2359
12,0.27,48,12.0,12.416666666666666,19.0,19.645833333333332,100.0,100.0,0.0,0.0,0.0,0.9402,0.1901,0.2359
12,0.3,48,12.0,12.25,18.5,19.25,100.0,100.0,0.0,0.0,0.0,0.9385,0.1901,0.2359
12,0.32,48,12.0,12.25,18.5,19.25,100.0,100.0,0.0,0.0,0.0,0.9385,0.1901,0.2359
15,0.15,48,18.0,20.25,28.5,33.270833333333336,50.0,50.0,50.0,0.0,0.0,0.9646,0.1507,0.1908
15,0.2,48,15.0,16.3125,25.0,26.145833333333332,87.5,87.5,12.5,0.0,0.0,0.9542,0.1774,0.2142
15,0.22,48,15.0,15.666666666666666,24.0,25.020833333333332,97.9,97.9,2.1,0.0,0.0,0.95,0.1774,0.2171
15,0.25,48,15.0,15.270833333333334,24.0,24.291666666666668,100.0,100.0,0.0,0.0,0.0,0.9485,0.1774,0.2171
15,0.27,48,15.0,15.125,24.0,24.0,100.0,100.0,0.0,0.0,0.0,0.9501,0.1774,0.2171
15,0.3,48,15.0,15.104166666666666,24.0,23.9375,100.0,100.0,0.0,0.0,0.0,0.9495,0.1774,0.2171
15,0.32,48,15.0,15.104166666666666,24.0,23.9375,100.0,100.0,0.0,0.0,0.0,0.9495,0.1774,0.2171
20,0.15,48,21.0,22.895833333333332,35.0,37.833333333333336,52.1,52.1,47.9,0.0,0.0,0.9638,0.1496,0.1883
20,0.2,48,20.0,20.416666666666668,33.0,33.375,91.7,91.7,8.3,0.0,0.0,0.9611,0.1611,0.2025
20,0.22,48,20.0,20.104166666666668,33.0,32.833333333333336,95.8,95.8,4.2,0.0,0.0,0.9606,0.1611,0.2025
20,0.25,48,20.0,20.0,33.0,32.583333333333336,100.0,100.0,0.0,0.0,0.0,0.9594,0.1611,0.2025
20,0.27,48,20.0,20.0,33.0,32.583333333333336,100.0,100.0,0.0,0.0,0.0,0.9594,0.1611,0.2025
20,0.3,48,20.0,20.0,33.0,32.583333333333336,100.0,100.0,0.0,0.0,0.0,0.9594,0.1611,0.2025
20,0.32,48,20.0,20.0,33.0,32.583333333333336,100.0,100.0,0.0,0.0,0.0,0.9594,0.1611,0.2025
25,0.15,48,25.0,26.625,43.0,44.708333333333336,58.3,58.3,41.7,0.0,0.0,0.969,0.1484,0.1864
25,0.2,48,25.0,25.041666666666668,42.0,41.875,93.8,93.8,6.2,0.0,0.0,0.9701,0.1488,0.1905
25,0.22,48,25.0,25.0,42.0,41.8125,97.9,97.9,2.1,0.0,0.0,0.9697,0.1488,0.1905
25,0.25,48,25.0,25.0,42.0,41.8125,100.0,100.0,0.0,0.0,0.0,0.9697,0.1488,0.1905
25,0.27,48,25.0,25.0,42.0,41.8125,100.0,100.0,0.0,0.0,0.0,0.9697,0.1488,0.1905
25,0.3,48,25.0,25.0,42.0,41.8125,100.0,100.0,0.0,0.0,0.0,0.9697,0.1488,0.1905
25,0.32,48,25.0,25.0,42.0,41.8125,100.0,100.0,0.0,0.0,0.0,0.9697,0.1488,0.1905
