floor,se_target,n_models,recovery_r,recovery_slope,theta_mae,pct_reach,len_scen_mean,len_scen_sd,len_scen_max,len_scen_median,len_crit_mean,len_crit_sd,len_crit_max,se_ability_mean,se_ability_sd,se_ability_max,se_ability_median,se_param_mean,se_param_sd,se_param_max,se_total_mean,se_total_sd,se_total_max,se_total_median,pct_precision,pct_plateau,pct_cap,pct_bank_exhausted
10,0.15,49,0.9585,0.8917,0.2859,40.8,15.98,5.78,34.0,15.0,26.73,9.69,54.0,0.1783,0.0568,0.4127,0.1605,0.109,0.041,0.258,0.2111,0.0634,0.4428,0.1914,40.8,59.2,0.0,0.0
10,0.18,49,0.9515,0.8887,0.3038,71.4,13.71,4.79,28.0,11.0,23.16,8.17,43.0,0.1851,0.0544,0.4127,0.1738,0.109,0.041,0.258,0.217,0.0607,0.4428,0.1966,71.4,28.6,0.0,0.0
10,0.2,49,0.9512,0.8766,0.3092,81.6,12.39,3.1,22.0,11.0,20.86,5.5,38.0,0.1918,0.0537,0.4127,0.1903,0.109,0.041,0.258,0.2228,0.0596,0.4428,0.2077,81.6,18.4,0.0,0.0
10,0.22,49,0.9514,0.8668,0.3083,89.8,11.27,1.89,17.0,10.0,18.96,3.65,29.0,0.1983,0.0549,0.4127,0.1951,0.109,0.041,0.258,0.2286,0.0599,0.4428,0.2249,89.8,10.2,0.0,0.0
10,0.25,49,0.9519,0.8658,0.3077,93.9,10.63,1.51,16.0,10.0,17.82,2.93,28.0,0.2055,0.0569,0.4127,0.2069,0.109,0.041,0.258,0.2349,0.0616,0.4428,0.2294,93.9,6.1,0.0,0.0
10,0.27,49,0.9459,0.8685,0.3247,93.9,10.39,1.1,15.0,10.0,17.41,2.34,23.0,0.21,0.0595,0.4127,0.2074,0.109,0.041,0.258,0.239,0.0639,0.4428,0.2332,93.9,6.1,0.0,0.0
10,0.3,49,0.9455,0.8696,0.3248,93.9,10.29,0.89,14.0,10.0,17.18,2.13,22.0,0.2134,0.0622,0.4127,0.2119,0.109,0.041,0.258,0.242,0.0662,0.4428,0.2332,93.9,6.1,0.0,0.0
10,0.32,49,0.9454,0.8667,0.3279,95.9,10.22,0.8,14.0,10.0,17.1,2.05,22.0,0.2133,0.062,0.4127,0.2119,0.109,0.041,0.258,0.2419,0.066,0.4428,0.2332,95.9,4.1,0.0,0.0
12,0.15,49,0.9545,0.8725,0.2879,40.8,16.57,5.24,34.0,15.0,27.73,8.81,54.0,0.1727,0.0493,0.3838,0.1605,0.109,0.041,0.258,0.2062,0.0573,0.4166,0.1914,40.8,59.2,0.0,0.0
12,0.18,49,0.9495,0.8741,0.299,71.4,14.76,4.07,28.0,13.0,24.88,6.98,43.0,0.1768,0.0482,0.3838,0.1703,0.109,0.041,0.258,0.2098,0.0558,0.4166,0.1933,71.4,28.6,0.0,0.0
