pool,seed,se_stop,n_cal,pct_7b,bank_items,n_held,r,mae,mean_items
balanced_3band,7,0.2,72,33.3,589,60,0.4268,0.1094,8.9
balanced_3band,7,0.3,72,33.3,589,60,0.3709,0.1141,8.65
skewed_3band,7,0.2,72,93.1,558,60,0.5065,0.1432,8.03
skewed_3band,7,0.3,72,93.1,558,60,0.5065,0.1432,8.03
balanced_2band,7,0.2,174,50.0,620,60,0.6612,0.0993,14.77
balanced_2band,7,0.3,174,50.0,620,60,0.6493,0.1019,8.18
skewed_2band,7,0.2,174,94.8,616,60,0.6852,0.1446,8.28
skewed_2band,7,0.3,174,94.8,616,60,0.6954,0.1448,8.03
balanced_3band,8,0.2,72,33.3,619,60,0.6098,0.083,9.45
balanced_3band,8,0.3,72,33.3,619,60,0.613,0.0842,8.58
skewed_3band,8,0.2,72,100.0,570,60,0.6978,0.1377,8.88
skewed_3band,8,0.3,72,100.0,570,60,0.7007,0.1398,8.25
balanced_2band,8,0.2,174,50.0,591,60,0.6443,0.1271,12.08
balanced_2band,8,0.3,174,50.0,591,60,0.6649,0.1351,9.72
skewed_2band,8,0.2,174,92.5,620,60,0.6912,0.125,18.67
skewed_2band,8,0.3,174,92.5,620,60,0.4979,0.1575,9.42
balanced_3band,9,0.2,72,33.3,592,60,0.6886,0.1034,8.72
balanced_3band,9,0.3,72,33.3,592,60,0.6716,0.1065,8.08
skewed_3band,9,0.2,72,93.1,600,60,0.7081,0.122,9.15
skewed_3band,9,0.3,72,93.1,600,60,0.7105,0.1231,8.43
balanced_2band,9,0.2,174,50.0,595,60,0.5127,0.1081,9.27
balanced_2band,9,0.3,174,50.0,595,60,0.5155,0.1105,8.2
skewed_2band,9,0.2,174,92.5,598,60,0.5227,0.1368,9.02
skewed_2band,9,0.3,174,92.5,598,60,0.5206,0.1369,8.07
balanced_3band,10,0.2,72,33.3,583,60,0.6394,0.116,8.35
balanced_3band,10,0.3,72,33.3,583,60,0.6227,0.1171,8.07
skewed_3band,10,0.2,72,95.8,570,60,0.7329,0.1091,9.2
skewed_3band,10,0.3,72,95.8,570,60,0.7293,0.1096,8.38
balanced_2band,10,0.2,174,50.0,594,60,0.2369,0.1327,9.37
balanced_2band,10,0.3,174,50.0,594,60,0.2086,0.1354,8.88
skewed_2band,10,0.2,174,93.1,615,60,0.6544,0.1631,8.83
skewed_2band,10,0.3,174,93.1,615,60,0.6616,0.1624,8.3
balanced_3band,11,0.2,72,33.3,598,60,0.6057,0.1158,9.12
balanced_3band,11,0.3,72,33.3,598,60,0.596,0.116,8.25
skewed_3band,11,0.2,72,91.7,566,60,0.6166,0.1387,8.73
skewed_3band,11,0.3,72,91.7,566,60,0.551,0.1461,8.22
balanced_2band,11,0.2,174,50.0,618,60,0.7428,0.1006,11.5
balanced_2band,11,0.3,174,50.0,618,60,0.7583,0.1043,9.28
skewed_2band,11,0.2,174,97.7,589,60,0.7006,0.1272,11.85
skewed_2band,11,0.3,174,97.7,589,60,0.6998,0.1331,8.7
