model,theta,SE_posterior,SE_total,n_admin_criteria,hit_cap,weakly_identified,precision_reached
arcee-ai/raspberry-3B,1.2342881687268874,0.081379,0.102459,211,False,False,True
tiiuae/Falcon3-1B-Instruct,0.4435192497816657,0.082331,0.087011,218,False,False,True
ibm/PowerLM-3b,-0.074762684096024,0.083783,0.096738,219,False,False,True
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,1.3690559718207016,0.083883,0.09098,211,False,False,True
openbmb/MiniCPM-2B-sft-bf16,-0.278811889036156,0.084041,0.097499,218,False,False,True
allenai/OLMo-2-0425-1B-DPO,0.0071359259392907,0.084212,0.097731,212,False,False,True
ibm-granite/granite-3.1-2b-base,-0.1058863220998417,0.084847,0.096708,213,False,False,True
BSC-LT/salamandra-7b-instruct,0.4710241900382182,0.085232,0.098015,214,False,False,True
meta-llama/Llama-3.2-1B-Instruct,1.1767804691792176,0.0855,0.101116,210,False,False,True
tiiuae/Falcon3-3B-Base,0.4280639883623256,0.085634,0.098837,212,False,False,True
Qwen/Qwen2.5-0.5B-Instruct,0.6532269641809226,0.086307,0.090588,212,False,False,True
01-ai/Yi-1.5-6B-Chat,1.37137802946723,0.086347,0.103811,205,False,False,True
tiiuae/Falcon3-3B-Instruct,2.176258090878229,0.086368,0.12264,194,False,False,True
ibm-granite/granite-3.0-2b-base,-0.1259726482172026,0.086425,0.092212,219,False,False,True
01-ai/Yi-1.5-6B,0.7027033759524612,0.086752,0.093004,210,False,False,True
allenai/OLMo-2-0425-1B-Instruct,0.153277145217261,0.086765,0.094617,213,False,False,True
google/gemma-2-2b,-0.1048890500362043,0.08691,0.092506,218,False,False,True
OpenBMB/MiniCPM4-0.5B,0.2738905852679772,0.08751,0.093025,210,False,False,True
pankajmathur/orca_mini_v9_5_3B-Instruct,1.6540390464737489,0.087642,0.10594,210,False,False,True
ibm-granite/granite-7b-instruct,0.3128649381874916,0.087832,0.092583,214,False,False,True
ibm-granite/granite-3.1-2b-instruct,0.7427523873470541,0.0887,0.104254,213,False,False,True
meta-llama/Llama-3.2-3B-Instruct,2.497433504549996,0.092372,0.127444,196,False,False,True
BSC-LT/salamandra-2b-instruct,0.1611792968219672,0.094534,0.098347,218,False,False,True
01-ai/Yi-6B-Chat,0.2442563974361217,0.094715,0.102433,219,False,False,True
BSC-LT/salamandra-7b,-0.0020143276950884,0.096032,0.107995,219,False,False,True
nvidia/AceInstruct-1.5B,1.5779063119033132,0.099373,0.131967,208,False,False,True
stabilityai/stablelm-2-zephyr-1_6b,-0.4125513536554792,0.100331,0.105961,212,False,False,True
pankajmathur/orca_mini_3b,-0.4643477277639064,0.100966,0.11403,217,False,False,True
stabilityai/stablelm-zephyr-3b,-0.2754157149485378,0.103089,0.11704,218,False,False,True
01-ai/Yi-6B,0.0119241195872556,0.108451,0.117431,217,False,False,True
01-ai/Yi-6B-200K,-0.3547821994439074,0.108759,0.124356,215,False,False,True
stabilityai/stablelm-2-1_6b-chat,-0.5299160023589067,0.111388,0.119054,217,False,False,True
utter-project/EuroLLM-1.7B-Instruct,-0.8627290210135024,0.114775,0.125203,250,False,False,True
allenai/OLMo-2-0425-1B,-1.1412445278049337,0.117215,0.123375,234,False,False,True
ai-forever/mGPT,-2.9123071558157294,0.118012,0.144577,568,False,False,True
BEE-spoke-data/smol_llama-220M-openhermes,-2.3722536884410785,0.118582,0.139609,472,False,False,True
Qwen/Qwen1.5-1.8B-Chat,-0.8048428789440814,0.118583,0.127662,299,False,False,True
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,-2.127892875063,0.118617,0.140138,419,False,False,True
openbmb/MiniCPM-1B-sft-bf16,-1.2401245622848902,0.118864,0.130597,389,False,False,True
h2oai/h2o-danube2-1.8b-chat,-1.0899539207017122,0.118923,0.131762,217,False,False,True
openlm-research/open_llama_3b,-1.543675400160025,0.119041,0.132724,528,False,False,True
HuggingFaceTB/SmolLM2-360M,-1.9620879075075928,0.119127,0.137506,529,False,False,True
utter-project/EuroLLM-1.7B,-2.05590772618738,0.119518,0.145007,494,False,False,True
Qwen/Qwen2-0.5B,-2.527405131301406,0.119521,0.141174,402,False,False,True
BSC-LT/salamandra-2b,-2.4739994054163903,0.119531,0.146154,436,False,False,True
meta-llama/Llama-3.2-1B,-1.4167629392737673,0.119733,0.133673,424,False,False,True
google/gemma-2b,-0.9656468649759192,0.119743,0.131384,320,False,False,True
h2oai/h2o-danube-1.8b-chat,-0.508338606664172,0.119776,0.1288,253,False,False,True
h2oai/h2o-danube2-1.8b-base,-1.0698795795040277,0.11991,0.128873,245,False,False,True
allenai/OLMo-1B-hf,-3.839338607404692,0.137993,0.184971,1047,True,True,False
Qwen/Qwen1.5-1.8B,-4.418749358431425,0.147776,0.195399,1052,True,True,False
