model,actual_full,diagnostic_pred,theta,se,n_items
01-ai/Yi-6B,0.48293515358361777,0.5689887627454813,0.56522287032719,0.1496219039783965,42
HuggingFaceTB/SmolLM2-1.7B-Instruct,0.4104095563139932,0.4618231279246906,-0.17307113024906354,0.1490010969960884,27
HuggingFaceTB/SmolLM2-360M,0.3796928327645051,0.37011286653133163,-0.7723324335534729,0.14961840675367863,18
Qwen/Qwen2-7B,0.4991467576791809,0.5895297872939267,0.7182180858639968,0.14974387067312447,46
Qwen/Qwen2.5-0.5B-Instruct,0.3242320819112628,0.4072603845273845,-0.5296737281983037,0.14855120509970524,22
Qwen/Qwen2.5-3B-Instruct,0.41552901023890787,0.5025068991926107,0.09834267942733987,0.14858366234422848,31
bigscience/bloom-1b7,0.2619453924914676,0.2670270540620383,-1.5048176312650514,0.14918725713260342,21
google/gemma-2-2b,0.5093856655290102,0.6230810371110967,0.9791031293203144,0.14899764564559762,47
meta-llama/Llama-3.2-1B-Instruct,0.35409556313993173,0.4618046854590191,-0.1731926927754219,0.14899865999520762,27
microsoft/Phi-3.5-mini-instruct,0.47952218430034127,0.6095774047214091,0.8724182056515604,0.14953284618527696,47
nvidia/Nemotron-Mini-4B-Instruct,0.4402730375426621,0.5280317694836973,0.27327856722574695,0.1487746211125628,40
openbmb/MiniCPM-2B-sft-bf16,0.4812286689419795,0.49578586258362806,0.05296973216567407,0.1496725946787972,30
stabilityai/stablelm-3b-4e1t,0.39334470989761094,0.48761444117380676,-0.0018718445979022391,0.14965835267904098,29
