model,actual_full,diagnostic_pred,theta,se,n_items
01-ai/Yi-6B,0.48293515358361777,0.5848865020669587,0.683203349971618,0.2817703746532259,8
HuggingFaceTB/SmolLM2-1.7B-Instruct,0.4104095563139932,0.4757347238037501,-0.08104851488500614,0.22490540865471578,8
HuggingFaceTB/SmolLM2-360M,0.3796928327645051,0.3833278684814165,-0.6857053669834899,0.19860451012493932,8
Qwen/Qwen2-7B,0.4991467576791809,0.6196742980771575,0.9519736548978245,0.28396334779234633,8
Qwen/Qwen2.5-0.5B-Instruct,0.3242320819112628,0.44965177012710555,-0.2530863762693172,0.2171804465490565,8
Qwen/Qwen2.5-3B-Instruct,0.41552901023890787,0.5099257857134157,0.14873557980438862,0.22935601237408143,8
bigscience/bloom-1b7,0.2619453924914676,0.29148466645651466,-1.3155704476585903,0.20905763213902026,8
google/gemma-2-2b,0.5093856655290102,0.5835130682482,0.6728955610320299,0.2761140681734159,8
meta-llama/Llama-3.2-1B-Instruct,0.35409556313993173,0.4757347238037501,-0.08104851488500614,0.22490540865471578,8
microsoft/Phi-3.5-mini-instruct,0.47952218430034127,0.5624309808949021,0.5173756637588989,0.2658397648512192,8
nvidia/Nemotron-Mini-4B-Instruct,0.4402730375426621,0.6180803325469889,0.9393298068373471,0.2837309382056693,8
openbmb/MiniCPM-2B-sft-bf16,0.4812286689419795,0.4958142568676521,0.053160894631501476,0.23096565442926817,8
stabilityai/stablelm-3b-4e1t,0.39334470989761094,0.45418636390340716,-0.22332277296246267,0.21577165984711796,8
