model,pirt_accuracy,theta,n_subset_items,n_all_items,actual_accuracy,se_reached,error,abs_error,squared_error
01-ai/Yi-1.5-6B,0.2706551715448342,0.3408507826629424,8,511,0.2172211350293542,0.19465367319411334,0.05343403651548001,0.05343403651548001,0.002855196258337651
AicoresSecurity/Cybernet-Sec-3B-R1-V0-Coder,0.7401135686944667,1.5777265399325233,8,511,0.6986301369863014,0.13897665683402194,0.041483431708165264,0.041483431708165264,0.0017208751062860112
AicoresSecurity/Cybernet-Sec-3B-R1-V1.1,0.615329973168592,1.2436218281424576,8,511,0.6555772994129159,0.12770465738890244,-0.04024732624432392,0.04024732624432392,0.0016198472698170452
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,0.11044417109219591,-1.1546455715553925,15,511,0.13111545988258316,0.2843656550197803,-0.02067128879038725,0.02067128879038725,0.00042730218025558965
BlackBeenie/Neos-Llama-3.1-base,0.05305901696250756,-3.1813749509210183,400,511,0.0958904109589041,0.3926008965032579,-0.042831393996396544,0.042831393996396544,0.001834528311674554
BramVanroy/fietje-2-chat,0.23199779452499178,0.11973934709540236,8,511,0.2328767123287671,0.24729478534588484,-0.0008789178037753309,0.0008789178037753309,7.724965057932511e-07
BramVanroy/fietje-2-instruct,0.23199779452499178,0.11973934709540236,8,511,0.2191780821917808,0.24729478534588484,0.01281971233321097,0.01281971233321097,0.00016434502430628145
Daemontatox/Zirel_1.5,0.43667774637669243,0.8575568048934583,8,511,0.37181996086105673,0.15959027588988656,0.0648577855156357,0.0648577855156357,0.004206532341992204
DavieLion/Llama-3.2-1B-SPIN-iter3,0.08473787910655811,-1.7821795662495754,33,511,0.07240704500978473,0.2940501688579253,0.01233083409677338,0.01233083409677338,0.00015204946952214896
DeepMount00/Lexora-Lite-3B,0.5028308489527287,0.9976827729535488,8,511,0.5459882583170255,0.11966414857855413,-0.043157409364296795,0.043157409364296795,0.0018625619830374928
EpistemeAI/Athena-gemma-2-2b-it,0.43667774637669243,0.8575568048934583,8,511,0.2837573385518591,0.15959027588988656,0.15292040782483335,0.15292040782483335,0.02338465112931335
EpistemeAI/Athene-codegemma-2-7b-it-alpaca-v1.3,0.4526246787820563,0.8921408924774179,8,511,0.350293542074364,0.15707953395061572,0.10233113670769234,0.10233113670769234,0.010471661539888419
EpistemeAI/Reasoning-Llama-3.2-1B-Instruct-v1.2,0.4526246787820563,0.8921408924774179,8,511,0.3561643835616438,0.15707953395061572,0.0964602952204125,0.0964602952204125,0.009304588554009134
EpistemeAI/ReasoningCore-3B-Instruct-r01-Reflect,0.7161230511050057,1.5007403115814797,8,511,0.726027397260274,0.10341420808085745,-0.009904346155268251,0.009904346155268251,9.809607276337698e-05
J-LAB/Thynk_orpo,0.20799564506052834,-0.05046901373007737,8,511,0.1643835616438356,0.29371964362508163,0.04361208341669273,0.04361208341669273,0.001902013819944565
JayHyeon/Qwen-0.5B-DPO-5epoch,0.20061076865455438,-0.11173917519590093,8,511,0.1898238747553816,0.26152241131408027,0.010786893899172784,0.010786893899172784,0.00011635707999201102
