model,theta_stop_correctness,sd_correctness,se_total_correctness,length,stop_reason,weak_calibrated,reached_se_ability
Qwen/Qwen3-1.7B,2.598580625584051,0.1100675288040344,0.2752583550671971,20,precision_reached,False,True
Qwen/Qwen3-4B,2.5127013777916365,0.0926035967598649,0.33474311850022,20,precision_reached,False,True
Qwen/Qwen2.5-7B-Instruct,2.392861380141528,0.097225541912581,0.1789523204883061,20,precision_reached,False,True
tiiuae/Falcon3-7B-Base,2.17393269700507,0.115068571179156,0.2238747285561121,20,precision_reached,False,True
Qwen/Qwen2.5-Coder-7B,1.9068780229154136,0.1153282373067871,0.2289416922302504,20,precision_reached,False,True
tiiuae/Falcon3-3B-Instruct,1.8011133430561272,0.1164616661337511,0.2494273042520088,20,precision_reached,False,True
Qwen/Qwen2.5-3B-Instruct,1.634397842197433,0.0962929369234949,0.1595918994828365,20,precision_reached,False,True
Qwen/Qwen2.5-7B,1.5821490981416453,0.0871431455779093,0.2266087625741371,20,precision_reached,False,True
Qwen/Qwen2.5-Math-7B,1.5481688829271032,0.0976476148413789,0.1870809290193398,20,precision_reached,False,True
Qwen/Qwen2.5-3B,1.5049564280041756,0.1163909829541,0.165580819714493,20,precision_reached,False,True
microsoft/Phi-3.5-mini-instruct,1.4310520658793573,0.1242409362915425,0.1520306372881418,20,precision_reached,False,True
01-ai/Yi-1.5-6B-Chat,1.382670012190894,0.091335298309213,0.1512011359493699,20,precision_reached,False,True
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,1.3783540135922203,0.0850398261605066,0.2242245421896508,20,precision_reached,False,True
Qwen/Qwen2-7B,1.314094873132052,0.0904139029751525,0.1680716923544331,20,precision_reached,False,True
tiiuae/Falcon3-3B-Base,1.2708609848819088,0.0904545906925659,0.13248704250669,20,precision_reached,False,True
ibm-granite/granite-3.1-2b-instruct,1.250582550083888,0.1154353949331179,0.1659507129883584,20,precision_reached,False,True
mistralai/Mistral-7B-Instruct-v0.3,1.242265324130584,0.1166645038214553,0.1609266083379447,20,precision_reached,False,True
Qwen/Qwen2.5-1.5B-Instruct,1.2355815833637316,0.0947168654549764,0.1131955298242974,20,precision_reached,False,True
HuggingFaceH4/zephyr-7b-beta,1.226815113169894,0.0903275836043856,0.1441579208442248,20,precision_reached,False,True
Qwen/Qwen3-0.6B,1.1279040215530207,0.1379966655688246,0.179281490190735,20,precision_reached,False,True
nvidia/AceInstruct-1.5B,1.1164485770015753,0.1004135843269668,0.1654727038235511,20,precision_reached,False,True
meta-llama/Llama-3.2-3B-Instruct,1.103397604632005,0.1194698005342925,0.1501088207540084,20,precision_reached,False,True
ibm-granite/granite-3.1-2b-base,1.0598165329676803,0.1363326002462398,0.1607058538850598,20,precision_reached,False,True
microsoft/Phi-3-mini-4k-instruct,1.053714593562102,0.098426983789139,0.1544130160515882,20,precision_reached,False,True
01-ai/Yi-1.5-6B,1.021276560062121,0.1369986171798163,0.1578935464596262,20,precision_reached,False,True
ibm-granite/granite-3.0-2b-base,1.011504232914374,0.1121793889428534,0.1491470283826764,20,precision_reached,False,True
tiiuae/Falcon3-1B-Instruct,0.9834663707773404,0.0996313330788742,0.1331536602809268,20,precision_reached,False,True
