model,theta_sd,theta_range
01-ai/Yi-1.5-6B,0.1317887199379421,0.3967621863894222
01-ai/Yi-1.5-6B-Chat,0.10927673431807408,0.29047726323673295
01-ai/Yi-6B,0.12335189744645549,0.38567345806673203
01-ai/Yi-6B-200K,0.24911888708664934,0.6544301153578629
01-ai/Yi-6B-Chat,0.15807370860192707,0.4821500467608162
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,0.3813959292803948,0.8676054780725782
BEE-spoke-data/smol_llama-220M-openhermes,0.21457672467816488,0.6531168145300041
BSC-LT/salamandra-2b,0.10248038230622888,0.2556300341867268
BSC-LT/salamandra-2b-instruct,0.06110612524462016,0.1936480972713831
BSC-LT/salamandra-7b,0.05243483846325685,0.17778739532821075
BSC-LT/salamandra-7b-instruct,0.09299085226823692,0.25097042097314737
HuggingFaceTB/SmolLM2-360M,0.10779370929180648,0.25888742137529874
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,0.11647387100455454,0.3554909007825233
OpenBMB/MiniCPM4-0.5B,0.33254200501194786,1.0275283948537366
Qwen/Qwen1.5-1.8B,0.2657477944279042,0.6389087963127404
Qwen/Qwen1.5-1.8B-Chat,0.09618041134541969,0.29628345549620966
Qwen/Qwen2-0.5B,0.2227255142318594,0.6972753580218563
Qwen/Qwen2.5-0.5B-Instruct,0.23939407699905882,0.7426701854675082
ai-forever/mGPT,0.21801650649743445,0.5655818661507483
allenai/OLMo-1B-hf,0.6125467770109277,1.8063036578048113
allenai/OLMo-2-0425-1B,0.10555762827683514,0.3063843789030227
allenai/OLMo-2-0425-1B-DPO,0.1590855825160224,0.481977147425541
allenai/OLMo-2-0425-1B-Instruct,0.05232588106895524,0.15861324256412135
arcee-ai/raspberry-3B,0.1471785914581581,0.4633211499594114
google/gemma-2-2b,0.06285771959224823,0.1483749493840849
google/gemma-2b,0.08852525013462656,0.24980406010432477
h2oai/h2o-danube-1.8b-chat,0.06310084605699977,0.1616396370547762
h2oai/h2o-danube2-1.8b-base,0.12755292758057804,0.3183432601488947
h2oai/h2o-danube2-1.8b-chat,0.09267061475904882,0.2460024323751874
ibm-granite/granite-3.0-2b-base,0.03729551220763897,0.11617866784413955
ibm-granite/granite-3.1-2b-base,0.07499648506353379,0.2501129343245716
ibm-granite/granite-3.1-2b-instruct,0.16793238124379226,0.5722537587527752
ibm-granite/granite-7b-instruct,0.27516805141838047,0.8570494275597483
ibm/PowerLM-3b,0.04959256039750536,0.13542250213493007
meta-llama/Llama-3.2-1B,0.09511083550150043,0.25863254344920694
meta-llama/Llama-3.2-1B-Instruct,0.07724537627136631,0.2657296630687951
meta-llama/Llama-3.2-3B-Instruct,0.13609648759161072,0.3457220256488569
microsoft/phi-1_5,0.05816427259159271,0.18289095940896827
nvidia/AceInstruct-1.5B,0.08804690424560499,0.2343731909221849
openbmb/MiniCPM-1B-sft-bf16,0.06875707808058619,0.19435547631718908
openbmb/MiniCPM-2B-sft-bf16,0.049297148724193995,0.13337719365002504
openlm-research/open_llama_3b,0.05371601080153233,0.16264959922298772
pankajmathur/orca_mini_3b,0.0786096898612783,0.21894436186483168
pankajmathur/orca_mini_v9_5_3B-Instruct,0.11956560146771256,0.35464944337455706
stabilityai/stablelm-2-1_6b-chat,0.04697270909423796,0.1570673720340452
stabilityai/stablelm-2-zephyr-1_6b,0.10743601891839433,0.3512569045320153
stabilityai/stablelm-zephyr-3b,0.07118463836794864,0.19576225147379533
tiiuae/Falcon3-1B-Instruct,0.08136724908551908,0.2775402217342554
tiiuae/Falcon3-3B-Base,0.05274977174949613,0.1526362181607901
tiiuae/Falcon3-3B-Instruct,0.28564210316550354,0.9265937661273176
utter-project/EuroLLM-1.7B,0.04310289303729447,0.13272697251587529
utter-project/EuroLLM-1.7B-Instruct,0.07183973836774787,0.2103027931847331
