model,pirt,actual,items,fold
Xiaojian9992024/Qwen2.5-Ultra-1.5B-25.02-Exp,0.08140037810769801,0.0929054054054054,8,0
hotmailuser/QwenModelStock-1.8B,0.09558878374015232,0.08868243243243243,8,0
pankajmathur/orca_mini_v9_5_1B-Instruct,0.03558851576038014,0.030405405405405407,8,0
Goekdeniz-Guelmez/Josiefied-Qwen2.5-1.5B-Instruct-abliterated-v3,0.006748749011291833,0.006756756756756757,119,0
CoolSpring/Qwen2-0.5B-Abyme-merge3,0.020997216795663166,0.02364864864864865,9,0
Sakalti/SJT-1.5B-Alpha-1.1,0.09558878374015232,0.09543918918918919,8,0
ymcki/gemma-2-2b-jpn-it-abliterated-17-ORPO,0.0643063408036032,0.0472972972972973,8,0
JayHyeon/Qwen_0.5-VDPO_5e-7-3ep_1vpo_const,0.028899557709860316,0.06418918918918919,8,0
open-atlas/Atlas-Flash-1.5B-Preview,0.047430504298431826,0.03462837837837838,8,0
weathermanj/Menda-3b-Optim-200,0.20600504852734633,0.41385135135135137,8,0
Lil-R/2_PRYMMAL-ECE-2B-SLERP-V2,0.06632374421013476,0.10304054054054054,8,0
Novaciano/Cultist-3.2-1B,0.040179957693143094,0.06587837837837837,8,0
brgx53/Barracuda-PRYMMAL-ECE-TW3,0.004619310898203225,0.002533783783783784,400,0
qingy2024/Qwen2.5-4B,0.04153739356551019,0.037162162162162164,8,0
Telugu-LLM-Labs/Indic-gemma-2b-finetuned-sft-Navarasa-2.0,0.01682330673306258,0.013513513513513514,13,0
jlzhou/Qwen2.5-3B-Infinity-Instruct-0625,0.013602467910436785,0.022804054054054054,22,0
ibm-granite/granite-7b-instruct,0.006352741282911754,0.006756756756756757,400,0
EpistemeAI/ReasoningCore-1.0-3B-Instruct-r01-Reflect-Math,0.13024752854952337,0.16554054054054054,8,0
Sakalti/Saka-1.5B,0.08337483300800645,0.07347972972972973,8,0
tinycompany/Tamed-Shawty,0.0643063408036032,0.07939189189189189,8,0
JayHyeon/Qwen2.5-0.5B-SFT-5e-5-3ep,0.004643600935206108,0.002533783783783784,400,0
jpacifico/Lucie-7B-Instruct-DPO-v1.1,0.025960239292575273,0.026182432432432432,8,0
google/recurrentgemma-2b,0.01805165287042302,0.017736486486486486,11,0
AicoresSecurity/Cybernet-Sec-3B-R1-V0-Coder,0.10473360704273785,0.16638513513513514,8,0
bunnycore/Llama-3.2-3B-Booval,0.08337483300800645,0.12331081081081081,8,0
meta-llama/Llama-3.2-3B,0.012745042612596017,0.01266891891891892,21,0
ibm-granite/granite-3.1-1b-a400m-base,0.019843546416993874,0.02364864864864865,10,0
Nexesenex/Qwen_2.5_3b_Smarteaz_0.01a,0.136792853071987,0.19932432432432431,8,0
Youlln/3PRYMMAL-PHI3-3B-SLERP,0.17497235859556642,0.15287162162162163,8,0
RezVortex/JAJUKA-WEWILLNEVERFORGETYOU-3B,0.1362310113702448,0.17314189189189189,8,0
meditsolutions/MedIT-Mesh-3B-Instruct,0.02153864497580609,0.17652027027027026,9,0
DreadPoor/UNTESTED-VENN_1.2-8B-Model_Stock,0.13024752854952337,0.17060810810810811,8,0
VAGOsolutions/SauerkrautLM-Gemma-2b,0.019260308199101052,0.021114864864864864,12,0
SultanR/SmolTulu-1.7b-Reinforced,0.015395777512359408,0.02533783783783784,17,0
JayHyeon/Qwen_0.5-DPOP_3e-6-1ep_0alp_5lam,0.008473779286685065,0.004222972972972973,91,0
EpistemeAI/ReasoningCore-3B-T1-V1,0.136792853071987,0.16300675675675674,8,0
matouLeLoup/ECE-PRYMMAL-0.5B-FT-V4-MUSR-ENSEMBLE-Mathis,0.017066109161830836,0.033783783783783786,12,0
ai4bharat/Airavata,0.00944218319004675,0.014358108108108109,126,0
dwikitheduck/gemma-2-2b-id-inst,0.01140932738868266,0.0059121621621621625,21,0
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_1e-6_2ep_0alp_0lam,0.0029794502678891603,0.0008445945945945946,400,0
Daemontatox/ReasonTest,0.09500141066390547,0.17483108108108109,8,0
HuggingFaceTB/SmolLM2-360M,0.003794704161976073,0.002533783783783784,400,0
JayHyeon/Qwen-0.5B-DPO-1epoch,0.031237560073737396,0.018581081081081082,8,0
monsterapi/gemma-2-2b-LoRA-MonsterInstruct,0.030296839129337495,0.01097972972972973,8,0
ibm-granite/granite-3.0-3b-a800m-instruct,0.047430504298431826,0.0633445945945946,8,0
netcat420/MFANN3bv0.18,0.025789315797641196,0.021114864864864864,8,0
lunahr/thea-3b-50r-u1,0.07741678933109084,0.11317567567567567,8,0
viettelsecurity-ai/security-llama3.2-3b,0.11167291107119187,0.14020270270270271,8,0
jpacifico/Distilucie-7B-Math-Instruct-DPO-v0.1,0.021796853483743002,0.02702702702702703,9,0
EpistemeAI/Athena-gemma-2-2b-it-Philos,0.0046494617286014644,0.0033783783783783786,400,0
Nexesenex/pankajmathur_orca_mini_v9_6_1B-instruct-Abliterated-LPL,0.05932396753918385,0.08361486486486487,8,0
JayHyeon/Qwen_0.5-MDPO_0.1_5e-7-3ep_0alp_0lam,0.0029794502678891603,0.0008445945945945946,400,0
pankajmathur/orca_mini_v9_6_3B-Instruct,0.047430504298431826,0.08445945945945946,8,0
mergekit-community/mergekit-dare_ties-ajgjgea,0.04468294846487039,0.03885135135135135,8,0
jpacifico/Chocolatine-3B-Instruct-DPO-v1.2,0.19963829688682724,0.14273648648648649,8,0
prithivMLmods/Llama-Deepsync-1B,0.03117664320098254,0.03800675675675676,8,0
yuchenxie/ArlowGPT-3B-Multilingual,0.04421013877970302,0.10472972972972973,8,0
vonjack/Phi-3-mini-4k-instruct-LLaMAfied,0.18313602345129157,0.14358108108108109,8,0
Lil-R/PRYMMAL-ECE-1B-SLERP-V1,0.08337483300800645,0.08361486486486487,8,0
lesubra/ECE-PRYMMAL-3B-SLERP-V1,0.18740289859099005,0.1097972972972973,8,0
OpenLLM-France/Lucie-7B-Instruct-v1.1,0.025960239292575273,0.03547297297297297,8,0
godlikehhd/alpaca_data_ins_min_2600,0.08337483300800645,0.10726351351351351,8,0
CortexLM/btlm-7b-base-v0.2,0.008992283452160571,0.011824324324324325,46,0
netcat420/MFANN-abliterated-phi2-merge-unretrained,0.022987687561828465,0.02533783783783784,9,0
