stop_rule,op_point,min_scenarios,se_target,n_models,recovery_r,recovery_r_source,scen_mean,scen_max,se_total_mean,se_total_sd,se_total_median,se_total_q3,se_total_max,se_ability_mean,se_ability_sd,se_ability_median,se_ability_q3,se_ability_max,se_param_median,n_se_total_gt_0.15,n_se_total_gt_0.20
eap,f0_se0.08,0,0.08,51,0.9729,13_eap_stop_grid/recovery_grid.csv,31.49,60,0.0977,0.0203,0.0913,0.1028,0.1894,0.0841,0.0132,0.0795,0.0805,0.1478,0.0458,2,0
eap,f0_se0.10,0,0.1,51,0.9499,13_eap_stop_grid/recovery_grid.csv,21.08,60,0.1145,0.0167,0.1092,0.1175,0.1871,0.1001,0.0089,0.0991,0.0998,0.1478,0.0488,2,0
eap,f0_se0.12,0,0.12,51,0.9309,13_eap_stop_grid/recovery_grid.csv,14.0,60,0.1329,0.0136,0.1299,0.135,0.1845,0.117,0.0065,0.1172,0.1193,0.1478,0.0542,4,0
eap,f0_se0.15,0,0.15,51,0.886,13_eap_stop_grid/recovery_grid.csv,9.25,47,0.1594,0.0168,0.1554,0.168,0.202,0.1402,0.0075,0.1425,0.1459,0.15,0.0636,38,2
eap,f0_se0.20,0,0.2,51,0.8526,13_eap_stop_grid/recovery_grid.csv,5.57,29,0.2062,0.0247,0.2035,0.2134,0.2773,0.1828,0.0122,0.1828,0.1944,0.1997,0.0783,51,28
eap,f0_se0.25,0,0.25,51,0.8358,13_eap_stop_grid/recovery_grid.csv,3.86,19,0.2431,0.0339,0.247,0.2654,0.3189,0.2168,0.0238,0.2214,0.2337,0.2483,0.0933,51,44
eap,f0_se0.30,0,0.3,51,0.8082,13_eap_stop_grid/recovery_grid.csv,3.04,16,0.2814,0.0434,0.2897,0.3086,0.3761,0.2527,0.0321,0.2634,0.2795,0.2939,0.1083,51,50
eap,f4_se0.08,4,0.08,51,0.9729,13_eap_stop_grid/recovery_grid.csv,31.49,60,0.0977,0.0207,0.092,0.1023,0.1916,0.0841,0.0132,0.0795,0.0805,0.1478,0.0467,2,0
eap,f4_se0.10,4,0.1,51,0.9499,13_eap_stop_grid/recovery_grid.csv,21.08,60,0.1143,0.0162,0.1095,0.1173,0.1879,0.1001,0.0089,0.0991,0.0998,0.1478,0.0466,2,0
eap,f4_se0.12,4,0.12,51,0.9335,13_eap_stop_grid/recovery_grid.csv,14.0,60,0.1332,0.0143,0.1308,0.1372,0.1988,0.117,0.0065,0.1172,0.1193,0.1478,0.0553,3,0
eap,f4_se0.15,4,0.15,51,0.9029,13_eap_stop_grid/recovery_grid.csv,9.29,47,0.1588,0.0164,0.1556,0.168,0.2026,0.1396,0.0077,0.1423,0.1459,0.15,0.0663,35,1
eap,f4_se0.20,4,0.2,51,0.8946,13_eap_stop_grid/recovery_grid.csv,6.18,29,0.1916,0.0337,0.1894,0.2124,0.2752,0.1688,0.0226,0.1734,0.1891,0.1997,0.0764,46,21
eap,f4_se0.25,4,0.25,51,0.8781,13_eap_stop_grid/recovery_grid.csv,5.06,19,0.2038,0.0481,0.1884,0.2481,0.3076,0.1809,0.0374,0.1734,0.2159,0.2479,0.0765,45,21
eap,f4_se0.30,4,0.3,51,0.8676,13_eap_stop_grid/recovery_grid.csv,4.63,16,0.2175,0.0671,0.1923,0.2766,0.3785,0.193,0.0546,0.1734,0.2464,0.2936,0.0741,46,22
