op_point,min_scenarios,se_target,scenarios_mean,scenarios_median,criteria_mean,criteria_median,convergence_rate,capped_frac,recovery_r,recovery_r_lo,recovery_r_hi,recovery_slope,theta_mae,pass_r,pass_mae,ability_se_median,se_param_median,se_total_median
f0_se0.08,0,0.08,30.35,19,534.8,322,0.784,0.216,0.9693,0.9446,0.985,0.9069,0.2375,0.9322,0.0446,0.0868,0.0428,0.0997
f0_se0.10,0,0.1,18.78,11,332.0,200,0.98,0.02,0.9412,0.8965,0.9699,0.8344,0.3252,0.895,0.0577,0.1034,0.0495,0.1164
f0_se0.12,0,0.12,11.1,7,196.8,128,1.0,0.0,0.9129,0.8523,0.9532,0.7877,0.3869,0.8668,0.063,0.1189,0.0577,0.1345
f0_se0.15,0,0.15,6.37,5,113.4,91,1.0,0.0,0.8903,0.8208,0.9393,0.798,0.4097,0.842,0.062,0.1521,0.0685,0.1671
f0_se0.20,0,0.2,3.57,3,63.7,54,1.0,0.0,0.8347,0.7465,0.9027,0.7757,0.528,0.8072,0.0733,0.2031,0.0806,0.2174
f0_se0.25,0,0.25,2.37,2,42.4,37,1.0,0.0,0.7877,0.6881,0.8693,0.7701,0.5841,0.7735,0.0751,0.2433,0.1116,0.2732
f0_se0.30,0,0.3,1.76,2,31.6,36,1.0,0.0,0.812,0.6757,0.9071,0.9196,0.6442,0.7818,0.0751,0.3211,0.1259,0.3473
f4_se0.08,4,0.08,30.35,19,534.8,322,0.784,0.216,0.9693,0.9446,0.985,0.9069,0.2375,0.9322,0.0446,0.0868,0.0427,0.1006
f4_se0.10,4,0.1,18.78,11,332.0,200,0.98,0.02,0.9412,0.8965,0.9699,0.8344,0.3252,0.895,0.0577,0.1034,0.0511,0.1168
f4_se0.12,4,0.12,11.1,7,196.8,128,1.0,0.0,0.9134,0.8543,0.9531,0.7895,0.3874,0.8665,0.0631,0.1189,0.0579,0.1323
f4_se0.15,4,0.15,6.45,5,114.7,91,1.0,0.0,0.9002,0.8383,0.9433,0.7931,0.4078,0.8512,0.063,0.1509,0.0654,0.1662
f4_se0.20,4,0.2,4.41,4,78.8,72,1.0,0.0,0.8791,0.8105,0.9283,0.7697,0.4466,0.8458,0.0648,0.1699,0.0744,0.1844
f4_se0.25,4,0.25,4.0,4,71.5,72,1.0,0.0,0.8686,0.8024,0.9181,0.7525,0.4618,0.8428,0.0655,0.1699,0.0727,0.1862
f4_se0.30,4,0.3,4.0,4,71.5,72,1.0,0.0,0.8686,0.8024,0.9181,0.7525,0.4618,0.8428,0.0655,0.1699,0.0747,0.1853
f6_se0.08,6,0.08,30.35,19,534.8,322,0.784,0.216,0.9693,0.9446,0.985,0.9069,0.2375,0.9322,0.0446,0.0868,0.0412,0.1001
f6_se0.10,6,0.1,18.78,11,332.0,200,0.98,0.02,0.9415,0.8983,0.9697,0.834,0.3265,0.8954,0.0579,0.1034,0.0505,0.116
f6_se0.12,6,0.12,11.14,7,197.5,128,1.0,0.0,0.9262,0.8793,0.9597,0.81,0.3723,0.89,0.06,0.1189,0.0571,0.1311
f6_se0.15,6,0.15,7.37,6,131.3,109,1.0,0.0,0.923,0.8738,0.9576,0.8188,0.3825,0.8896,0.0599,0.1349,0.0643,0.1579
f6_se0.20,6,0.2,6.02,6,107.3,107,1.0,0.0,0.9115,0.8608,0.9498,0.807,0.4144,0.887,0.0613,0.1349,0.0679,0.1614
f6_se0.25,6,0.25,6.0,6,106.9,107,1.0,0.0,0.9115,0.8608,0.9498,0.807,0.4144,0.887,0.0613,0.1349,0.0618,0.164
f6_se0.30,6,0.3,6.0,6,106.9,107,1.0,0.0,0.9115,0.8608,0.9498,0.807,0.4144,0.887,0.0613,0.1349,0.0645,0.1604
f8_se0.08,8,0.08,30.35,19,534.8,322,0.784,0.216,0.9693,0.9446,0.985,0.9069,0.2375,0.9322,0.0446,0.0868,0.0417,0.0999
f8_se0.10,8,0.1,18.78,11,332.0,200,0.98,0.02,0.9525,0.9202,0.9733,0.8454,0.3033,0.9167,0.0541,0.1034,0.0491,0.116
f8_se0.12,8,0.12,12.02,8,213.1,146,1.0,0.0,0.9378,0.9018,0.9647,0.824,0.3426,0.9125,0.0561,0.1133,0.0552,0.1267
f8_se0.15,8,0.15,8.73,8,155.3,145,1.0,0.0,0.9401,0.9044,0.9671,0.8374,0.3329,0.9141,0.0552,0.1232,0.0585,0.144
f8_se0.20,8,0.2,8.0,8,142.4,143,1.0,0.0,0.937,0.902,0.9651,0.8363,0.345,0.9138,0.0552,0.1232,0.0616,0.1477
f8_se0.25,8,0.25,8.0,8,142.4,143,1.0,0.0,0.937,0.902,0.9651,0.8363,0.345,0.9138,0.0552,0.1232,0.057,0.1458
f8_se0.30,8,0.3,8.0,8,142.4,143,1.0,0.0,0.937,0.902,0.9651,0.8363,0.345,0.9138,0.0552,0.1232,0.0628,0.1485
f12_se0.08,12,0.08,30.35,19,534.8,322,0.784,0.216,0.9728,0.9516,0.9861,0.9166,0.2262,0.9417,0.0431,0.0868,0.0409,0.1004
f12_se0.10,12,0.1,20.2,12,356.2,216,0.98,0.02,0.961,0.9335,0.978,0.8819,0.2683,0.9357,0.0466,0.1009,0.0495,0.1126
f12_se0.12,12,0.12,14.47,12,255.5,216,1.0,0.0,0.9532,0.9251,0.9737,0.8727,0.2898,0.9345,0.0473,0.1022,0.0513,0.1161
f12_se0.15,12,0.15,12.06,12,213.4,213,1.0,0.0,0.9519,0.9239,0.9735,0.8763,0.2878,0.9349,0.047,0.1022,0.0537,0.118
f12_se0.20,12,0.2,12.0,12,212.3,213,1.0,0.0,0.9519,0.9239,0.9735,0.8763,0.2878,0.9349,0.047,0.1022,0.0528,0.1181
f12_se0.25,12,0.25,12.0,12,212.3,213,1.0,0.0,0.9519,0.9239,0.9735,0.8763,0.2878,0.9349,0.047,0.1022,0.0524,0.1161
