model,skill,se_ability,se_param,se_total
01-ai/Yi-6B,correctness,0.285716,0.1475080119577282,0.3215466470789601
01-ai/Yi-6B,scaffolding,0.299946,0.1524777091941802,0.33647742081320253
01-ai/Yi-6B-Chat,correctness,0.298567,0.130476032729614,0.3258316261596767
01-ai/Yi-6B-Chat,scaffolding,0.297462,0.1369489820802829,0.32747315178015074
EleutherAI/pythia-1.4b,correctness,0.297156,0.3730677734314144,0.4769499469641161
EleutherAI/pythia-1.4b,scaffolding,0.288265,0.1611774758037095,0.33026487692677126
EleutherAI/pythia-160m,correctness,0.295863,0.3196889535300106,0.43558689348752594
EleutherAI/pythia-160m,scaffolding,0.291211,0.1168179547165339,0.31376787768213965
EleutherAI/pythia-1b,correctness,0.294923,0.2636074807134951,0.395560968520803
EleutherAI/pythia-1b,scaffolding,0.283693,0.1586974382904673,0.32506398626879085
EleutherAI/pythia-2.8b,correctness,0.298125,0.2686720774573553,0.40132680053822856
EleutherAI/pythia-2.8b,scaffolding,0.283945,0.1337909355602658,0.3138865678283975
EleutherAI/pythia-410m,correctness,0.298809,0.2132022278450292,0.3670722114776379
EleutherAI/pythia-410m,scaffolding,0.299197,0.0864266943023348,0.3114296361893473
EleutherAI/pythia-6.9b,correctness,0.296088,0.2146533977850377,0.365710520664448
EleutherAI/pythia-6.9b,scaffolding,0.298302,0.1130240433575352,0.3189961090372201
EleutherAI/pythia-70m,correctness,0.294877,0.3047659626792646,0.4240692598347809
EleutherAI/pythia-70m,scaffolding,0.273906,0.1535101215991915,0.31399021365227064
HuggingFaceH4/zephyr-7b-beta,correctness,0.212596,0.1502347087460077,0.26032196781677447
HuggingFaceH4/zephyr-7b-beta,scaffolding,0.200172,0.1900426244430499,0.2760163558363926
HuggingFaceTB/SmolLM2-1.7B,correctness,0.279094,0.1501695169598515,0.31692955788306515
HuggingFaceTB/SmolLM2-1.7B,scaffolding,0.297956,0.132548987927103,0.32610889613210386
HuggingFaceTB/SmolLM2-1.7B-Instruct,correctness,0.276615,0.1692768527284859,0.3243000325233741
HuggingFaceTB/SmolLM2-1.7B-Instruct,scaffolding,0.294306,0.1932844558708712,0.352100699399048
HuggingFaceTB/SmolLM2-135M,correctness,0.298466,0.4368401414620346,0.5290664063693427
HuggingFaceTB/SmolLM2-135M,scaffolding,0.297553,0.2256134373305987,0.3734156007896938
HuggingFaceTB/SmolLM2-360M,correctness,0.297896,0.2002209553061475,0.3589296000049401
HuggingFaceTB/SmolLM2-360M,scaffolding,0.294709,0.1111479476008391,0.31497184149837726
HuggingFaceTB/SmolLM2-360M-Instruct,correctness,0.296572,0.2276053977542023,0.3738437752201428
HuggingFaceTB/SmolLM2-360M-Instruct,scaffolding,0.298644,0.1819741293298986,0.3497182043894408
LLM360/Amber,correctness,0.299893,0.2582116160539687,0.3957386133727693
LLM360/Amber,scaffolding,0.299349,0.1288337926842264,0.3258956427115929
Qwen/Qwen2-0.5B,correctness,0.295576,0.2330934435839342,0.3764275829662549
Qwen/Qwen2-0.5B,scaffolding,0.298076,0.1861166437737343,0.3514095998483808
Qwen/Qwen2-1.5B,correctness,0.297039,0.5893724288754664,0.6599939601538537
Qwen/Qwen2-1.5B,scaffolding,0.29442,0.5721852597281258,0.6434897884583273
Qwen/Qwen2-7B,correctness,0.186446,0.1078970833819766,0.21541562505616255
Qwen/Qwen2-7B,scaffolding,0.200334,0.198592951365508,0.28208663897473596
Qwen/Qwen2.5-0.5B,correctness,0.285009,0.1573103744688534,0.32554060268502744
Qwen/Qwen2.5-0.5B,scaffolding,0.296553,0.196266756618124,0.35561822445200686
Qwen/Qwen2.5-0.5B-Instruct,correctness,0.289539,0.1256320097360946,0.31562039603189485
Qwen/Qwen2.5-0.5B-Instruct,scaffolding,0.298687,0.1329509962172598,0.3269401953938393
Qwen/Qwen2.5-1.5B,correctness,0.260428,0.0822279310835147,0.27310103594507884
Qwen/Qwen2.5-1.5B,scaffolding,0.270156,0.117129368557493,0.29445467106955026
Qwen/Qwen2.5-1.5B-Instruct,correctness,0.246884,0.1556893411711868,0.29187476836876153
Qwen/Qwen2.5-1.5B-Instruct,scaffolding,0.285928,0.2498674588873708,0.37972169834608077
