model,fold,criteria_administered,scenarios_administered,precision_reached,theta_ref_general,theta_online_general,theta_batch_general,theta_mwle_general,theta_mle_general,obs_pass_rate,pred_pass_rate
01-ai/Yi-1.5-6B,3,43,12,True,-0.08096942201121006,-0.21127247308937372,-0.2112724730893741,-0.22010956341380022,-0.21719481372821178,0.41712127570289553,0.3829561305925321
01-ai/Yi-1.5-6B-Chat,2,45,13,True,1.6998813656544876,1.387679726985408,1.387679726985409,1.3952603739033356,1.4012639886188185,0.7042670046472328,0.6374575730509963
01-ai/Yi-6B,1,37,9,True,-0.9531818466405777,-1.157771854085403,-1.1577718540854043,-1.159857559135656,-1.1648006165029188,0.27318718381112983,0.21787824289612437
01-ai/Yi-6B-200K,3,76,20,True,-1.91446622147502,-2.1294473020293987,-2.1294473020293982,-2.1521423277038436,-2.1561512352583874,0.12337389844733529,0.11368145810721948
01-ai/Yi-6B-Chat,3,70,17,True,0.8984996526889433,0.9715533073081484,0.9715533073081482,0.9788457456133905,0.9820566328956069,0.5866554762903903,0.5933958977743602
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,4,153,40,False,-4.386611654524862,-3.7309390133863403,-3.7309390133863185,-3.9394433346169206,-3.9973650407631216,0.0283657917019475,0.041941954005493255
BEE-spoke-data/smol_llama-220M-openhermes,0,91,24,True,-2.612483598039904,-2.4174801611281707,-2.417480161128169,-2.4387558310224087,-2.4454702480979487,0.06231578947368421,0.09508254882769043
BSC-LT/salamandra-2b,0,31,8,True,-1.4344163965675658,-1.0673374580938293,-1.0673374580938293,-1.0762820842676786,-1.0770515547463695,0.17768421052631578,0.2433413457781399
BSC-LT/salamandra-2b-instruct,0,35,8,True,-0.3066463648922897,-0.07326799923288185,-0.07326799923288169,-0.07808694673601585,-0.07611433944799526,0.34709351305812974,0.4070526971319474
BSC-LT/salamandra-7b,3,29,8,True,-0.6685183670767328,-0.8381025902212359,-0.8381025902212366,-0.8758373666135847,-0.8633032447709632,0.3033990767939572,0.26800789557657145
BSC-LT/salamandra-7b-instruct,2,61,15,True,0.6842429854277273,0.5645364646455063,0.5645364646455064,0.5628921437044829,0.5678907842547817,0.5204900718208703,0.4941965957684333
HuggingFaceTB/SmolLM2-360M,1,126,32,True,-2.21292099281116,-2.1864850567276566,-2.186485056727657,-2.200509834524486,-2.2095050403387124,0.10198061525495154,0.10821279870765727
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,4,56,14,True,2.3367265583665007,1.787838677910352,1.7878386779103477,1.7912805816987207,1.8023575899439515,0.8018628281117697,0.6781148510147151
OpenBMB/MiniCPM4-0.5B,4,32,8,True,0.1638280578922313,-0.09444673945495154,-0.09444673945495158,-0.09622724425508093,-0.09582531303244682,0.3903471634208298,0.3567106895931539
