model,adaptive_items_se0.3,random_items_se0.3,adaptive_items_se0.2,random_items_se0.2,adaptive_items_se0.1,random_items_se0.1
AicoresSecurity/Cybernet-Sec-3B-R1-V0-Coder,8,17,8,32,27,163
CoolSpring/Qwen2-0.5B-Abyme-merge3,9,88,25,390,400,400
CortexLM/btlm-7b-base-v0.2,44,400,400,400,400,400
Daemontatox/ReasonTest,8,21,8,54,38,209
Daemontatox/mini-Cogito-R1,8,15,8,39,19,90
DeepMount00/Qwen2-1.5B-Ita_v3,8,38,8,76,32,245
DreadPoor/UNTESTED-VENN_1.2-8B-Model_Stock,8,22,8,58,25,210
EpistemeAI/Athena-gemma-2-2b-it-Philos,400,400,400,400,400,400
EpistemeAI/ReasoningCore-1.0-3B-Instruct-r01-Reflect-Math,8,25,8,38,23,147
EpistemeAI/ReasoningCore-3B-T1-V1,8,20,8,39,21,197
Goekdeniz-Guelmez/Josiefied-Qwen2.5-1.5B-Instruct-abliterated-v3,121,400,400,400,400,400
HuggingFaceTB/SmolLM2-360M,400,400,400,400,400,400
JayHyeon/Qwen-0.5B-DPO-1epoch,8,121,24,261,400,400
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-IRPO_5e-6-3ep_1alp_0lam,400,400,400,400,400,400
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_1e-6_2ep_0alp_0lam,400,400,400,400,400,400
JayHyeon/Qwen2.5-0.5B-SFT-5e-5-3ep,400,400,400,400,400,400
JayHyeon/Qwen_0.5-DPOP_3e-6-1ep_0alp_5lam,400,400,400,400,400,400
JayHyeon/Qwen_0.5-MDPO_0.1_5e-7-3ep_0alp_0lam,400,400,400,400,400,400
JayHyeon/Qwen_0.5-VDPO_5e-7-3ep_1vpo_const,8,48,14,120,67,400
JayHyeon/Qwen_0.5-rDPO_5e-7-3ep_0vpo_const_0.3,8,66,12,105,72,400
Lil-R/2_PRYMMAL-ECE-2B-SLERP-V2,8,56,9,90,46,311
Lil-R/PRYMMAL-ECE-1B-SLERP-V1,8,71,9,93,44,400
Nexesenex/Qwen_2.5_3b_Smarteaz_0.01a,8,12,8,31,26,131
Nexesenex/pankajmathur_orca_mini_v9_6_1B-instruct-Abliterated-LPL,8,33,11,101,51,400
Novaciano/Cultist-3.2-1B,8,98,11,180,53,400
OpenLLM-France/Lucie-7B-Instruct-v1.1,8,106,16,190,204,400
Qwen/Qwen2-0.5B,12,246,32,400,400,400
RezVortex/JAJUKA-WEWILLNEVERFORGETYOU-3B,8,30,8,58,25,171
Sakalti/SJT-1.5B-Alpha-1.1,8,25,8,88,36,249
Sakalti/Saba1.5-Pro-3B,15,393,400,400,400,400
Sakalti/Saka-1.5B,8,41,10,153,45,400
SultanR/SmolTulu-1.7b-Reinforced,17,70,45,153,247,400
T145/ZEUS-8B-V2-ORPO,8,31,8,49,23,140
Telugu-LLM-Labs/Indic-gemma-2b-finetuned-sft-Navarasa-2.0,13,400,66,400,400,400
TheDrummer/Gemmasutra-Mini-2B-v1,8,61,17,342,366,400
VAGOsolutions/SauerkrautLM-Gemma-2b,12,211,21,400,400,400
Xiaojian9992024/Qwen2.5-Ultra-1.5B-25.02-Exp,8,42,9,92,35,378
Youlln/3PRYMMAL-PHI3-3B-SLERP,8,32,8,60,17,231
ai4bharat/Airavata,128,400,400,400,400,400
allknowingroger/Gemma2Slerp2-2.6B,8,42,9,141,41,332
bamec66557/VICIOUS_MESH-12B_Razor,8,24,8,73,34,279
brgx53/Barracuda-PRYMMAL-ECE-TW3,400,400,400,400,400,400
bunnycore/Llama-3.2-3B-Booval,8,26,9,60,32,285
cckm/tinymistral_950m,400,400,400,400,400,400
dwikitheduck/gemma-2-2b-id-inst,21,400,212,400,400,400
godlikehhd/alpaca_data_ins_min_2600,8,34,10,75,38,256
godlikehhd/qwen-2.5-1.5b-cherry,8,46,9,81,37,258
godlikehhd/qwen_2.5-1.5b-cherry_new,8,26,10,62,39,272
google/gemma-2-2b-it,400,400,400,400,400,400
google/recurrentgemma-2b,11,177,28,288,400,400
hotmailuser/QwenModelStock-1.8B,8,27,8,47,42,376
ibm-granite/granite-3.0-2b-base,8,87,19,137,88,400
ibm-granite/granite-3.0-3b-a800m-instruct,8,35,11,116,55,376
ibm-granite/granite-3.1-1b-a400m-base,10,44,31,165,400,400
ibm-granite/granite-7b-instruct,400,400,400,400,400,400
