strategy,N,seed,se_target,r,mae,items,n_bank_items,n_pool,n_test,calib_s
full_pool,500,0,0.3,0.9124,0.034,8.76,669,500,417,24.3
oracle_greedy,100,0,0.3,0.93,0.0362,9.14,588,500,417,0.0
random,50,0,0.3,0.9107,0.0416,8.26,576,500,417,75.3
random,50,1,0.3,0.9117,0.0438,8.48,527,500,417,61.9
random,50,2,0.3,0.8948,0.0436,8.34,569,500,417,48.9
random,50,3,0.3,0.8955,0.0448,8.56,563,500,417,45.0
random,50,4,0.3,0.8886,0.0455,8.59,569,500,417,149.3
random,100,0,0.3,0.9021,0.0412,8.45,608,500,417,74.7
random,100,1,0.3,0.9082,0.0397,8.6,601,500,417,71.9
random,100,2,0.3,0.9058,0.0374,8.18,616,500,417,71.1
random,100,3,0.3,0.89,0.0447,8.76,595,500,417,91.2
random,100,4,0.3,0.9156,0.0372,8.66,618,500,417,96.7
random,150,0,0.3,0.9215,0.0351,8.26,647,500,417,80.7
random,150,1,0.3,0.9239,0.0357,8.54,614,500,417,133.5
random,150,2,0.3,0.9068,0.0398,8.54,610,500,417,74.8
random,150,3,0.3,0.91,0.0387,8.84,614,500,417,47.8
random,150,4,0.3,0.9053,0.0398,8.34,608,500,417,40.9
random,200,0,0.3,0.9231,0.0367,8.71,605,500,417,169.5
random,200,1,0.3,0.9155,0.0386,8.39,632,500,417,77.2
random,200,2,0.3,0.9254,0.0342,8.52,640,500,417,72.3
random,200,3,0.3,0.9247,0.0349,8.42,627,500,417,71.7
random,200,4,0.3,0.9151,0.0366,8.91,631,500,417,88.9
random,250,0,0.3,0.9282,0.0345,9.0,623,500,417,172.3
random,250,1,0.3,0.9191,0.0381,8.88,652,500,417,93.4
random,250,2,0.3,0.9264,0.0331,8.37,651,500,417,86.4
random,250,3,0.3,0.9078,0.037,8.77,642,500,417,91.7
random,250,4,0.3,0.9341,0.0315,8.46,662,500,417,77.0
random,300,0,0.3,0.9267,0.0342,8.34,644,500,417,69.2
random,300,1,0.3,0.9308,0.0331,8.99,642,500,417,86.3
random,300,2,0.3,0.9263,0.0346,8.43,645,500,417,58.1
random,300,3,0.3,0.9208,0.0344,8.3,645,500,417,66.1
random,300,4,0.3,0.9259,0.0336,8.56,643,500,417,119.3
random,350,0,0.3,0.9317,0.0311,8.71,656,500,417,112.8
random,350,1,0.3,0.9377,0.0307,9.23,656,500,417,91.3
random,350,2,0.3,0.9232,0.035,8.24,635,500,417,53.3
random,350,3,0.3,0.9026,0.0418,9.29,643,500,417,84.6
random,350,4,0.3,0.9246,0.0331,8.72,651,500,417,130.2
random,400,0,0.3,0.9209,0.0345,8.89,652,500,417,87.0
random,400,1,0.3,0.93,0.0352,8.98,645,500,417,71.3
random,400,2,0.3,0.9196,0.0352,8.57,640,500,417,122.8
random,400,3,0.3,0.9152,0.0354,8.47,652,500,417,60.4
random,400,4,0.3,0.9169,0.0453,8.45,627,500,417,139.5
random,450,0,0.3,0.9232,0.0334,8.71,661,500,417,158.9
random,450,2,0.3,0.9266,0.0324,8.81,659,500,417,142.2
random,450,3,0.3,0.9199,0.0343,8.63,663,500,417,125.7
random,450,4,0.3,0.9218,0.0327,9.27,657,500,417,140.7
random,500,0,0.3,0.9124,0.034,8.76,669,500,417,142.6
random,500,1,0.3,0.9124,0.034,8.76,669,500,417,140.2
random,500,2,0.3,0.9124,0.034,8.76,669,500,417,133.8
random,500,3,0.3,0.9124,0.034,8.76,669,500,417,131.6
random,500,4,0.3,0.9124,0.034,8.76,669,500,417,100.6
