strategy,N,model,latent_group,theta
oracle_greedy,100,DeepMount00/Mistral-RAG,0,-3.9044
oracle_greedy,100,pansophic/gemma-2b-sft-preview,0,-2.0933
oracle_greedy,100,tianyil1/denas-llama2,0,-1.9182
oracle_greedy,100,AdaptLLM/law-chat,0,-1.8898
oracle_greedy,100,stabilityai/japanese-stablelm-base-gamma-7b,0,-1.8609
oracle_greedy,100,ericpolewski/Palworld-SME-13b,0,-1.7061
oracle_greedy,100,Charlie911/zephyr-7b-beta-lora-mmlu-merged,0,-1.5839
oracle_greedy,100,YeungNLP/LongQLoRA-Vicuna-13b-8k,0,-1.5279
oracle_greedy,100,ZHLiu627/zephyr-gemma-rpo,0,-1.4758
oracle_greedy,100,Locutusque/Orca-2-13b-SFT-v4,0,-1.2394
oracle_greedy,100,OpenBuddy/openbuddy-llama3-8b-v21.1-8k,0,-1.226
oracle_greedy,100,OpenBuddy/openbuddy-mistral-7b-v17.1-32k,0,-1.1872
oracle_greedy,100,dfurman/Llama-2-13B-Instruct-v0.2,0,-1.1149
oracle_greedy,100,NurtureAI/MistralLite-11B,1,-1.1053
oracle_greedy,100,ChavyvAkvar/llama-3-lumimaid-habib,1,-1.0978
oracle_greedy,100,SrikanthChellappa/Collaiborator-MEDLLM-Llama-3-8B,1,-1.0677
oracle_greedy,100,Orenguteng/Lexi-Llama-3-8B-Uncensored,1,-1.0393
oracle_greedy,100,databricks/dbrx-base,1,-0.9985
oracle_greedy,100,yeontaek/Platypus2xOpenOrca-13B-IA3-ensemble,1,-0.9688
oracle_greedy,100,cloudyu/mistral_28B_instruct_v0.2,1,-0.9582
oracle_greedy,100,diffnamehard/Psyfighter2-Noromaid-ties-13B,1,-0.8607
oracle_greedy,100,csujeong/Gemma-7B-Finetuning-JCS-Ko-Ins,1,-0.8351
oracle_greedy,100,AA051611/limb,1,-0.8042
oracle_greedy,100,Changgil/K2S3-v0.1,1,-0.8011
oracle_greedy,100,maywell/koOpenChat-sft,1,-0.7753
oracle_greedy,100,Faradaylab/Aria-70B,1,-0.7534
oracle_greedy,100,Qwen/Qwen1.5-32B-Chat,1,-0.7127
oracle_greedy,100,AA051610/A0105,1,-0.7126
oracle_greedy,100,nvidia/OpenMath-Mistral-7B-v0.1-hf,1,-0.6857
oracle_greedy,100,Kquant03/Hippolyta-7B-bf16,1,-0.6477
oracle_greedy,100,jilp00/Nous-Hermes-2-SOLAR-10.7B-v1.1,1,-0.6269
oracle_greedy,100,ValiantLabs/ShiningValiant,1,-0.58
oracle_greedy,100,alignment-handbook/zephyr-7b-sft-qlora,1,-0.5502
oracle_greedy,100,sethuiyer/Dr_Samantha_7b_mistral,1,-0.5075
oracle_greedy,100,ArianAskari/SOLID-SFT-WoDPO-MixQV2-Zephyr-7b-beta,1,-0.507
oracle_greedy,100,abhishek/autotrain-llama3-oh-sft-v0-2,1,-0.4968
oracle_greedy,100,mrfakename/WizardChatML-7B-v0,2,-0.4947
oracle_greedy,100,aari1995/germeo-7b-laser,2,-0.4758
oracle_greedy,100,KoboldAI/Mixtral-8x7B-Holodeck-v1,2,-0.4595
oracle_greedy,100,vistagi/Mixtral-8x7b-v0.1-dpo,2,-0.4515
oracle_greedy,100,vicgalle/test-merge,2,-0.4448
oracle_greedy,100,cloudyu/mistral_18B_v0.1,2,-0.4365
oracle_greedy,100,LeroyDyer/Mixtral_AI_CyberTron,2,-0.3965
oracle_greedy,100,azarafrooz/mistral-v2-7b-selfplay-low-tmp,2,-0.3917
oracle_greedy,100,juhwanlee/experiment2-cause-v1,2,-0.3883
oracle_greedy,100,01-ai/Yi-1.5-34B-Chat,2,-0.3128
oracle_greedy,100,jondurbin/bagel-34b-v0.2,2,-0.2912
oracle_greedy,100,juhwanlee/llmdo-Mistral-7B-case-c-v1,2,-0.2714
oracle_greedy,100,rombodawg/Open_Gpt4_8x7B,2,-0.2206
oracle_greedy,100,cloudyu/Yi-34Bx2-MOE-200K,2,-0.1992
oracle_greedy,100,TeeZee/Xwin-LM-70B-V0.1_Jannie,2,-0.1973
oracle_greedy,100,amu/r-zephyr-7b-beta-qlora,2,-0.1972
oracle_greedy,100,Liangmingxin/ThetaWave-7B-sft,2,-0.1956
oracle_greedy,100,mahiatlinux/MasherAI-v6.1-7B-checkpoint3,2,-0.1258
oracle_greedy,100,Chickaboo/Chicka-Mistral-4x7b,2,-0.1174
oracle_greedy,100,vicgalle/Worldsim-Hermes-7B,2,-0.1112
oracle_greedy,100,bn22/Nous-Hermes-2-SOLAR-10.7B-MISALIGNED,2,-0.1034
oracle_greedy,100,ABX-AI/Quantum-Citrus-9B,2,-0.0974
oracle_greedy,100,chlee10/T3Q-Platypus-MistralM7-7B,3,-0.0513
oracle_greedy,100,cloudyu/Mixtral_7Bx2_MoE_13B,3,-0.0186
oracle_greedy,100,ichigoberry/pandafish-7b,3,-0.0124
oracle_greedy,100,LeroyDyer/Mixtral_BioMedical,3,0.0698
oracle_greedy,100,Q-bert/Optimus-7B,3,0.0747
oracle_greedy,100,shahzebnaveed/NeuralHermes-2.5-Mistral-7B,3,0.0888
oracle_greedy,100,Yuma42/KangalKhan-Alpha-Sapphiroid-7B-Fixed,3,0.1151
oracle_greedy,100,gagan3012/MetaModel_moe,3,0.1398
oracle_greedy,100,MisterRid/saulgoodman-2x7b-alpha1,3,0.1829
oracle_greedy,100,gmonsoon/MiaAffogato-Indo-Mistral-7b,3,0.1936
oracle_greedy,100,splm/openchat-spin-slimorca-iter3,3,0.2075
oracle_greedy,100,Eric111/MarcoHermes,3,0.2459
oracle_greedy,100,Neuronovo/neuronovo-7B-v0.1,3,0.2713
oracle_greedy,100,Intel/neural-chat-7b-v3-3-Slerp,3,0.3668
oracle_greedy,100,DreadPoor/Cerberus-7B-Model_Stock,3,0.3724
oracle_greedy,100,Weyaxi/Newton-OpenHermes-2.5-neural-chat-v3-3-Slerp,3,0.3988
oracle_greedy,100,antiven0m/reverie-7b,3,0.4062
oracle_greedy,100,janhq/supermario-v2,3,0.486
oracle_greedy,100,nbeerbower/flammen,3,0.4989
oracle_greedy,100,ConvexAI/Harmony-4x7B-bf16,3,0.5005
oracle_greedy,100,nbeerbower/bruphin-iota,3,0.5016
oracle_greedy,100,Inv/Konstanta-Alpha-V2-7B,3,0.5025
oracle_greedy,100,RatanRohith/NeuralPizza-7B-V0.2,3,0.5631
oracle_greedy,100,eren23/Experiment26-12B,4,0.6063
oracle_greedy,100,grimjim/kuno-kunoichi-v1-DPO-v2-SLERP-7B,4,0.6414
oracle_greedy,100,Azazelle/Bianca-7b,4,0.6579
oracle_greedy,100,rwitz2/go-bruins-v2.1,4,0.8859
oracle_greedy,100,h2m/mhm-8x7B-FrankenMoE-v1.0,4,0.8892
oracle_greedy,100,FelixChao/WestSeverus-10.7B,4,0.8994
oracle_greedy,100,allknowingroger/NeuralWestSeverus-7B-slerp,4,0.9056
oracle_greedy,100,FelixChao/Scorpio-7B,4,0.9734
oracle_greedy,100,222gate/Blurred-Beagle-7b-slerp,4,1.1009
oracle_greedy,100,nbeerbower/bruphin-lambda,4,1.1292
oracle_greedy,100,jsfs11/WONMSeverusDevil-TIES-7B,4,1.2032
oracle_greedy,100,alnrg2arg/test3_sft_16bit_dpo2,4,1.3442
oracle_greedy,100,Gille/StrangeMerges_42-7B-dare_ties,4,1.5036
oracle_greedy,100,YouKnowMee/Mistral-7b-instruct-v0.2-summ-sft-dpo-ed2,4,1.5126
oracle_greedy,100,eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO-v2,4,1.6876
oracle_greedy,100,bobofrut/ladybird-base-7B-v8,4,1.8896
oracle_greedy,100,yam-peleg/Experiment24-7B,4,1.9036
oracle_greedy,100,mahiatlinux/ShadowM7EXP-7B,4,2.0183
oracle_greedy,100,rwitz/experiment26-truthy-iter-0,4,2.1042
