rank,model,theta,theta_se,se_ability,se_param,observed_pass_rate
1,meta-llama/Llama-3.2-3B-Instruct,2.4131,0.7931,0.0402,0.7921,0.7765
2,tiiuae/Falcon3-3B-Instruct,2.0085,0.3970,0.0357,0.3954,0.7198
3,nvidia/AceInstruct-1.5B,1.6052,0.1468,0.0364,0.1422,0.6520
4,pankajmathur/orca_mini_v9_5_3B-Instruct,1.6052,0.0364,0.0364,0.0000,0.6524
5,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,1.5700,0.7224,0.0365,0.7215,0.6282
6,01-ai/Yi-1.5-6B-Chat,1.2030,0.0359,0.0359,0.0000,0.5969
7,arcee-ai/raspberry-3B,1.2030,0.0359,0.0359,0.0000,0.6181
8,meta-llama/Llama-3.2-1B-Instruct,1.2030,0.0359,0.0359,0.0000,0.5492
9,ibm-granite/granite-3.1-2b-instruct,0.8015,0.0459,0.0348,0.0298,0.4892
10,Qwen/Qwen2.5-0.5B-Instruct,0.7750,1.0796,0.0348,1.0790,0.4966
11,tiiuae/Falcon3-1B-Instruct,0.7582,1.0351,0.0348,1.0345,0.4739
12,01-ai/Yi-1.5-6B,0.4018,0.1929,0.0349,0.1897,0.4758
13,BSC-LT/salamandra-7b-instruct,0.4006,0.0349,0.0349,0.0000,0.4754
14,tiiuae/Falcon3-3B-Base,0.4006,0.0349,0.0349,0.0000,0.4862
15,01-ai/Yi-6B-Chat,0.4006,0.0349,0.0349,0.0000,0.4352
16,BSC-LT/salamandra-2b-instruct,0.4006,0.7671,0.0349,0.7663,0.4311
17,OpenBMB/MiniCPM4-0.5B,0.4006,0.0349,0.0349,0.0000,0.4426
18,allenai/OLMo-2-0425-1B-Instruct,0.4006,0.6385,0.0349,0.6376,0.4281
19,ibm-granite/granite-7b-instruct,0.4006,0.0349,0.0349,0.0000,0.4296
20,01-ai/Yi-6B,0.0000,0.0384,0.0377,0.0076,0.4158
21,allenai/OLMo-2-0425-1B-DPO,0.0000,0.0377,0.0377,0.0000,0.3756
22,ibm-granite/granite-3.1-2b-base,0.0000,0.0377,0.0377,0.0000,0.3770
23,ibm/PowerLM-3b,0.0000,0.0377,0.0377,0.0000,0.3852
24,BSC-LT/salamandra-7b,0.0000,0.0377,0.0377,0.0000,0.4065
25,google/gemma-2-2b,0.0000,0.0377,0.0377,0.0000,0.3920
26,ibm-granite/granite-3.0-2b-base,-0.0000,0.0377,0.0377,0.0000,0.3808
27,stabilityai/stablelm-zephyr-3b,-0.0000,0.3328,0.0377,0.3306,0.3499
28,openbmb/MiniCPM-2B-sft-bf16,-0.0000,0.7625,0.0377,0.7616,0.3521
29,01-ai/Yi-6B-200K,-0.0000,0.7615,0.0377,0.7606,0.3610
30,stabilityai/stablelm-2-zephyr-1_6b,-0.0000,0.9089,0.0377,0.9081,0.3376
31,pankajmathur/orca_mini_3b,-0.4006,0.8435,0.0432,0.8424,0.3312
32,stabilityai/stablelm-2-1_6b-chat,-0.4006,0.3776,0.0432,0.3751,0.3182
33,h2oai/h2o-danube-1.8b-chat,-0.4006,0.0452,0.0433,0.0132,0.3272
34,Qwen/Qwen1.5-1.8B-Chat,-0.4006,0.0432,0.0432,0.0000,0.3182
35,utter-project/EuroLLM-1.7B-Instruct,-0.4006,0.7625,0.0432,0.7613,0.2981
36,google/gemma-2b,-0.4018,0.9124,0.0433,0.9114,0.2955
37,h2oai/h2o-danube2-1.8b-base,-0.6858,0.8305,0.0483,0.8291,0.2977
38,h2oai/h2o-danube2-1.8b-chat,-0.8015,0.3536,0.0503,0.3500,0.2809
39,allenai/OLMo-2-0425-1B,-0.8015,0.5914,0.0503,0.5892,0.2865
40,openbmb/MiniCPM-1B-sft-bf16,-0.8015,0.5493,0.0503,0.5469,0.2902
41,meta-llama/Llama-3.2-1B,-0.8025,0.9193,0.0503,0.9180,0.2526
42,openlm-research/open_llama_3b,-1.0738,0.8293,0.0540,0.8276,0.2653
43,HuggingFaceTB/SmolLM2-360M,-1.2030,0.7664,0.0548,0.7645,0.2403
44,BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,-1.2030,0.9177,0.0548,0.9161,0.2526
45,utter-project/EuroLLM-1.7B,-1.2044,1.3816,0.0548,1.3805,0.2314
46,BEE-spoke-data/smol_llama-220M-openhermes,-1.6052,1.0185,0.0581,1.0168,0.2057
47,BSC-LT/salamandra-2b,-1.6052,0.8584,0.0581,0.8565,0.1960
48,Qwen/Qwen2-0.5B,-1.6052,0.9212,0.0581,0.9194,0.1893
49,ai-forever/mGPT,-2.0085,0.9282,0.0663,0.9258,0.1710
50,allenai/OLMo-1B-hf,-2.4427,1.5789,0.0764,1.5770,0.1703
51,Qwen/Qwen1.5-1.8B,-3.0291,1.6206,0.0999,1.6175,0.1330
