source,tag,se_target,mean_items,median_items,pct_items,corr,mae,n_bank_items
local,local_arc_2pl,0.5,8.0,8.0,1.05,0.8615,0.0825,759
local,local_arc_2pl,0.49,8.0,8.0,1.05,0.8615,0.0825,759
local,local_arc_2pl,0.48,8.0,8.0,1.05,0.8615,0.0825,759
local,local_arc_2pl,0.47,8.0,8.0,1.05,0.8615,0.0825,759
local,local_arc_2pl,0.46,8.0,8.0,1.05,0.8615,0.0825,759
local,local_arc_2pl,0.45,8.0,8.0,1.05,0.8615,0.0825,759
local,local_arc_2pl,0.44,8.0,8.0,1.05,0.8615,0.0825,759
local,local_arc_2pl,0.43,8.0,8.0,1.05,0.8615,0.0825,759
local,local_arc_2pl,0.42,8.0,8.0,1.05,0.8615,0.0825,759
local,local_arc_2pl,0.41,8.0,8.0,1.05,0.8615,0.0825,759
local,local_arc_2pl,0.4,8.0,8.0,1.05,0.8615,0.0825,759
local,local_arc_2pl,0.39,8.0,8.0,1.05,0.8615,0.0825,759
local,local_arc_2pl,0.38,8.0,8.0,1.05,0.8615,0.0825,759
local,local_arc_2pl,0.37,8.0,8.0,1.05,0.8615,0.0825,759
local,local_arc_2pl,0.36,8.0,8.0,1.05,0.8615,0.0825,759
local,local_arc_2pl,0.35,8.0,8.0,1.05,0.8615,0.0825,759
local,local_arc_2pl,0.34,8.0,8.0,1.05,0.8615,0.0825,759
local,local_arc_2pl,0.33,8.0,8.0,1.05,0.8615,0.0825,759
local,local_arc_2pl,0.32,8.0,8.0,1.05,0.8615,0.0825,759
local,local_arc_2pl,0.31,8.0,8.0,1.05,0.8615,0.0825,759
local,local_arc_2pl,0.3,8.0,8.0,1.05,0.8615,0.0825,759
local,local_arc_2pl,0.29,8.0,8.0,1.05,0.8615,0.0825,759
local,local_arc_2pl,0.28,8.23,8.0,1.08,0.8645,0.0811,759
local,local_arc_2pl,0.27,8.31,8.0,1.09,0.8606,0.0804,759
local,local_arc_2pl,0.26,8.69,8.0,1.15,0.8537,0.0795,759
local,local_arc_2pl,0.25,8.92,8.0,1.18,0.8604,0.0805,759
local,local_arc_2pl,0.24,9.46,8.0,1.25,0.8637,0.0801,759
local,local_arc_2pl,0.23,10.23,8.0,1.35,0.8437,0.0811,759
local,local_arc_2pl,0.22,11.31,10.0,1.49,0.8385,0.0817,759
local,local_arc_2pl,0.21,13.08,11.0,1.72,0.85,0.0843,759
local,local_arc_2pl,0.2,14.62,12.0,1.93,0.8416,0.087,759
local,local_arc_2pl,0.19,16.77,14.0,2.21,0.8449,0.0845,759
local,local_arc_2pl,0.18,19.38,16.0,2.55,0.8687,0.0817,759
local,local_arc_2pl,0.17,23.0,20.0,3.03,0.8992,0.0786,759
local,local_arc_2pl,0.16,27.0,25.0,3.56,0.9038,0.0757,759
local,local_arc_2pl,0.15,32.85,30.0,4.33,0.9196,0.0739,759
local,local_arc_2pl,0.14,41.0,38.0,5.4,0.9375,0.0722,759
local,local_arc_2pl,0.13,52.69,49.0,6.94,0.9536,0.072,759
local,local_arc_2pl,0.12,71.08,64.0,9.36,0.965,0.072,759
