benchmark,se_target,mean_adaptive_items,mean_random_items,savings_ratio,n_all_items
ifeval,0.3,18.181818181818183,62.14545454545455,3.4179999999999997,511
ifeval,0.28,22.3,69.58181818181818,3.120260905014268,511
ifeval,0.26,25.60909090909091,78.64545454545454,3.070997515086972,511
ifeval,0.24,31.009090909090908,88.17272727272727,2.8434476693051893,511
ifeval,0.22,37.054545454545455,99.54545454545455,2.686457311089303,511
ifeval,0.2,43.836363636363636,113.38181818181818,2.5864786395686434,511
ifeval,0.18,53.21818181818182,128.6818181818182,2.418004783054322,511
ifeval,0.16,62.17272727272727,150.6909090909091,2.4237461617195497,511
ifeval,0.14,81.27272727272727,182.48181818181817,2.245302013422819,511
ifeval,0.12,114.72727272727273,213.75454545454545,1.8631537242472265,511
gpqa,0.3,12.963636363636363,45.67272727272727,3.5231416549789625,579
gpqa,0.28,14.409090909090908,52.345454545454544,3.632807570977918,579
gpqa,0.26,15.654545454545454,60.99090909090909,3.8960511033681766,579
gpqa,0.24,18.036363636363635,71.31818181818181,3.954133064516129,579
gpqa,0.22,21.490909090909092,82.80909090909091,3.8532148900169205,579
gpqa,0.2,26.10909090909091,100.03636363636363,3.831476323119777,579
gpqa,0.18,32.836363636363636,124.52727272727273,3.792358803986711,579
gpqa,0.16,42.21818181818182,156.45454545454547,3.7058570198105083,579
gpqa,0.14,58.20909090909091,200.95454545454547,3.4522879900046854,579
gpqa,0.12,86.38181818181818,264.0181818181818,3.0564091770153654,579
math,0.3,77.28888888888889,147.63333333333333,1.9101495112133409,1183
math,0.28,78.58888888888889,157.94444444444446,2.009755407889156,1183
math,0.26,83.41111111111111,167.37777777777777,2.0066604502464367,1183
math,0.24,89.05555555555556,176.33333333333334,1.9800374298190893,1183
math,0.22,94.73333333333333,190.54444444444445,2.0113769645789352,1183
math,0.2,100.88888888888889,203.2888888888889,2.014977973568282,1183
math,0.18,110.03333333333333,222.26666666666668,2.0199939412299304,1183
math,0.16,118.94444444444444,239.13333333333333,2.0104624007473144,1183
math,0.14,129.23333333333332,260.44444444444446,2.015303929154845,1183
math,0.12,160.33333333333334,290.0,1.8087318087318087,1183
bbh,0.3,8.236363636363636,13.3,1.6147902869757176,3965
bbh,0.28,8.50909090909091,14.281818181818181,1.6784188034188032,3965
bbh,0.26,8.581818181818182,15.981818181818182,1.8622881355932204,3965
bbh,0.24,8.654545454545454,17.772727272727273,2.053571428571429,3965
bbh,0.22,8.7,20.581818181818182,2.3657262277951934,3965
bbh,0.2,8.845454545454546,23.354545454545455,2.6402877697841727,3965
bbh,0.18,9.018181818181818,28.01818181818182,3.106854838709678,3965
bbh,0.16,9.3,36.95454545454545,3.9736070381231667,3965
bbh,0.14,9.709090909090909,44.31818181818182,4.564606741573034,3965
bbh,0.12,10.618181818181819,56.90909090909091,5.35958904109589,3965
musr,0.3,13.554545454545455,76.2090909090909,5.622401073105298,432
musr,0.28,14.581818181818182,86.91818181818182,5.96072319201995,432
musr,0.26,17.936363636363637,97.27272727272727,5.423213380638621,432
musr,0.24,22.263636363636362,111.58181818181818,5.0118415679869335,432
musr,0.22,24.8,128.96363636363637,5.2001466275659824,432
musr,0.2,29.572727272727274,152.3909090909091,5.153089455886874,432
musr,0.18,43.60909090909091,176.98181818181817,4.058369814467375,432
musr,0.16,62.945454545454545,210.1727272727273,3.338965915655691,432
musr,0.14,78.5,237.92727272727274,3.0309206716850032,432
musr,0.12,106.5909090909091,266.08181818181816,2.496289978678038,432
