benchmark,se_target,mae,sd,se,n,n_subset_items,n_all_items,r,rmse
ifeval,0.3,0.05030452580153535,0.05020582913791148,0.004786937984505488,110,18.181818181818183,511,0.9212787089336864,0.07107158782201575
ifeval,0.2,0.04645694181287125,0.0509588554001366,0.0048587362214805975,110,43.836363636363636,511,0.9266402772299693,0.06895688788146212
ifeval,0.1,0.03445802055044814,0.04117611015389977,0.0039259880602399,110,160.9909090909091,511,0.9549436432981286,0.05369196613704134
gpqa,0.3,0.0701501645653523,0.04515931776910471,0.004305772004869506,110,12.963636363636363,579,0.7372981175439824,0.0834290690941532
gpqa,0.2,0.06610658219793629,0.042342704487696385,0.0040372184656499955,110,26.10909090909091,579,0.7573980999764687,0.07850468032687537
gpqa,0.1,0.034483365683801864,0.030709207070979305,0.002928008008757498,110,154.22727272727272,579,0.7104314296024149,0.046175295427437056
math,0.3,0.02454518565995197,0.03503960511844041,0.0036934986829055237,90,77.28888888888889,1183,0.8777850669660276,0.04278130509857953
math,0.2,0.022745148309042687,0.0336191980724821,0.003543774633912866,90,100.88888888888889,1183,0.8919421755010303,0.04059054385737066
math,0.1,0.015790402006399383,0.02684807982847922,0.002830036102000571,90,188.9111111111111,1183,0.9479905118145203,0.031147330318987122
musr,0.3,0.09506219555755789,0.0561042856454669,0.005349333745930118,110,13.554545454545455,432,0.7459554082631178,0.11038347653526558
musr,0.2,0.0909281350555826,0.05936521831996274,0.005660251477048155,110,29.572727272727274,432,0.769744613011882,0.10859168886642806
musr,0.1,0.07518846353737554,0.059506348933952506,0.005673707753111805,110,156.16363636363636,432,0.8931539252672799,0.09588696789741848
bbh,0.3,0.11447949486788071,0.076469856907476,0.007291114776624201,110,8.236363636363636,3965,0.6739074212192347,0.13767059875171234
bbh,0.2,0.11176606028279926,0.07882871204418182,0.00751602278925408,110,8.845454545454546,3965,0.6773956287799023,0.13676848348096446
bbh,0.1,0.10906615926180574,0.07564715588408327,0.007212673311830298,110,15.445454545454545,3965,0.6945649983793023,0.13273251029597974
