benchmark,se_target,mae,sd,se,n,n_subset_items,n_all_items,r,rmse
ifeval,0.3,0.05030452580153535,0.05020582913791148,0.004786937984505488,110,18.181818181818183,511,0.9212787089336864,0.07107158782201575
ifeval,0.28,0.05004584387605174,0.04992319346416737,0.004759989730375365,110,22.3,511,0.9222282365379468,0.07068883741388614
ifeval,0.26,0.049818853880931484,0.049700010077777024,0.004738710029428932,110,25.60909090909091,511,0.9226275028165377,0.07037051373793388
ifeval,0.24,0.04852924057068008,0.049252405709856104,0.0046960326274693796,110,31.009090909090908,511,0.9255757698725727,0.06914395605239267
ifeval,0.22,0.0468394154679823,0.05100858148305154,0.00486347741745751,110,37.054545454545455,511,0.9257760737455917,0.06925175973428667
ifeval,0.2,0.04645694181287125,0.0509588554001366,0.0048587362214805975,110,43.836363636363636,511,0.9266402772299693,0.06895688788146212
ifeval,0.18,0.04580265992718708,0.05069891552405097,0.00483395192675052,110,53.21818181818182,511,0.9279729033911105,0.06832469313301308
ifeval,0.16,0.04542907252210881,0.049388316069104765,0.004708991171772832,110,62.17272727272727,511,0.9304137661056932,0.06710444392408607
ifeval,0.14,0.042970209774600934,0.047949465980458336,0.004571802198667125,110,81.27272727272727,511,0.9360945904442189,0.06438625797392127
ifeval,0.12,0.0399982257444902,0.04533769478663471,0.004322779586169112,110,114.72727272727273,511,0.9430040866170015,0.060459611570644764
gpqa,0.3,0.0701501645653523,0.04515931776910471,0.004305772004869506,110,12.963636363636363,579,0.7372981175439824,0.0834290690941532
gpqa,0.28,0.06879325797790907,0.044212813923596536,0.004215526404142593,110,14.409090909090908,579,0.7434922271313367,0.08177582318911698
gpqa,0.26,0.06837499286880788,0.04350972105371219,0.004148489129322588,110,15.654545454545454,579,0.7485741478171942,0.08104465112505188
gpqa,0.24,0.06742232781828592,0.042576370073320574,0.004059497605078679,110,18.036363636363635,579,0.7544379035339444,0.07974031337445797
gpqa,0.22,0.06682884505047837,0.04271014773055152,0.004072252804223341,110,21.490909090909092,579,0.7571524690625085,0.07931110420329793
gpqa,0.2,0.06610658219793629,0.042342704487696385,0.0040372184656499955,110,26.10909090909091,579,0.7573980999764687,0.07850468032687537
gpqa,0.18,0.06638067399895743,0.03976676077235676,0.0037916118691921326,110,32.836363636363636,579,0.751059526183852,0.07738080603665043
gpqa,0.16,0.06253942693317767,0.038413615458776806,0.0036625945257609846,110,42.21818181818182,579,0.7498503821237802,0.07339472578969856
gpqa,0.14,0.05883155288344541,0.035877084355377994,0.0034207457744061236,110,58.20909090909091,579,0.7320524466827328,0.06890803143698522
gpqa,0.12,0.050226122640610535,0.033079743143897666,0.00315402975495598,110,86.38181818181818,579,0.7199437004950071,0.06014094114640953
math,0.3,0.02454518565995197,0.03503960511844041,0.0036934986829055237,90,77.28888888888889,1183,0.8777850669660276,0.04278130509857953
math,0.28,0.0243049874531246,0.03467077783864189,0.0036546208739932726,90,78.58888888888889,1183,0.8810923217053016,0.0423414129550846
math,0.26,0.024056046173362183,0.03479179058319283,0.003667376737282909,90,83.41111111111111,1183,0.8812324206590324,0.04229848755546324
math,0.24,0.02368724863279461,0.034363515685903234,0.0036222325992792495,90,89.05555555555556,1183,0.8856384657591463,0.041736518279405485
math,0.22,0.023505601633412903,0.034065918817142556,0.003590863134951984,90,94.73333333333333,1183,0.8875092749424092,0.04138840577993855
math,0.2,0.022745148309042687,0.0336191980724821,0.003543774633912866,90,100.88888888888889,1183,0.8919421755010303,0.04059054385737066
math,0.18,0.022614189421815173,0.03349399862441882,0.0035305774533236686,90,110.03333333333333,1183,0.8934879908063126,0.040413481748771754
math,0.16,0.02204619953978287,0.03377599186861558,0.003560302151205063,90,118.94444444444444,1183,0.8968163043715077,0.04033426013771305
math,0.14,0.01969452662534862,0.03181594977670877,0.003353695573864176,90,129.23333333333332,1183,0.9137985534529224,0.037418298186724375
math,0.12,0.01779324582495631,0.029195087680959856,0.003077432452005214,90,160.33333333333334,1183,0.9312011455598795,0.03418995088745024
bbh,0.3,0.11447949486788071,0.076469856907476,0.007291114776624201,110,8.236363636363636,3965,0.6739074212192347,0.13767059875171234
bbh,0.28,0.11213036818084145,0.07774773507568385,0.007412955679324188,110,8.50909090909091,3965,0.6695719501147432,0.1364475348907769
bbh,0.26,0.11199584099319815,0.0781146568414076,0.0074479402970039415,110,8.581818181818182,3965,0.6714974316871563,0.1365465781820423
bbh,0.24,0.11098754192994599,0.0793861669287995,0.007569174027021599,110,8.654545454545454,3965,0.6750665314280943,0.13645657903999622
bbh,0.22,0.11104487689060345,0.079350452897891,0.007565768827783357,110,8.7,3965,0.6753065768955359,0.13648244963638986
bbh,0.2,0.11176606028279926,0.07882871204418182,0.00751602278925408,110,8.845454545454546,3965,0.6773956287799023,0.13676848348096446
bbh,0.18,0.11266822560192231,0.07673798335118406,0.0073166796299505114,110,9.018181818181818,3965,0.6822498707016754,0.13631891706249824
bbh,0.16,0.1115922775413404,0.0772236781101313,0.007362988808195395,110,9.3,3965,0.6820456515324549,0.1357067900575381
bbh,0.14,0.11136064996729479,0.0762367226349312,0.007268886295909956,110,9.709090909090909,3965,0.6897032395186223,0.13495640866314496
bbh,0.12,0.11072831126788489,0.07540693374758328,0.0071897690298041595,110,10.618181818181819,3965,0.6924669527540748,0.1339662814795201
musr,0.3,0.09506219555755789,0.0561042856454669,0.005349333745930118,110,13.554545454545455,432,0.7459554082631178,0.11038347653526558
musr,0.28,0.0944345525349793,0.056938996109551006,0.005428920265965721,110,14.581818181818182,432,0.747421229154181,0.11027209071403894
musr,0.26,0.0942969041261801,0.05738220100194225,0.005471178194392288,110,17.936363636363637,432,0.7496212680812997,0.11038398035770094
musr,0.24,0.09267682199748753,0.05825328736021485,0.005554233019853799,110,22.263636363636362,432,0.7584356939760013,0.10946432671800323
musr,0.22,0.09089119264653198,0.05871609487873044,0.005598359985346419,110,24.8,432,0.7668827807978753,0.10820715641082647
musr,0.2,0.0909281350555826,0.05936521831996274,0.005660251477048155,110,29.572727272727274,432,0.769744613011882,0.10859168886642806
musr,0.18,0.08880986097839705,0.06109853348035198,0.005825516593128491,110,43.60909090909091,432,0.7851399411961277,0.10779713447235924
musr,0.16,0.08750637630561603,0.06277673501090399,0.005985526830788094,110,62.945454545454545,432,0.8163235891603824,0.10769533115585529
musr,0.14,0.08616898271066536,0.06195513047907749,0.0059071899123629736,110,78.5,432,0.8374169287619225,0.10612978740236156
musr,0.12,0.08365613755430883,0.06066335119416223,0.005784023590190062,110,106.5909090909091,432,0.8698754681751736,0.10333630305275929
