benchmark,se_target,mae,sd,se,n,n_subset_items,n_all_items
ifeval,0.3,0.20663148663280784,0.22196757981200235,0.021163778337612942,110,18.181818181818183,511
ifeval,0.28,0.19929117587938405,0.21794081397151144,0.020779841279156927,110,22.3,511
ifeval,0.26,0.1938206794542596,0.21726857041912548,0.02071574537135077,110,25.60909090909091,511
ifeval,0.24,0.18172249794303846,0.20015945951532826,0.01908445565314832,110,31.009090909090908,511
ifeval,0.22,0.16623324448018814,0.19315208285132976,0.018416328503360804,110,37.054545454545455,511
ifeval,0.2,0.15993052974578825,0.18571714048301563,0.01770743456322235,110,43.836363636363636,511
ifeval,0.18,0.14571063716357557,0.17041563272319796,0.01624849304241862,110,53.21818181818182,511
ifeval,0.16,0.14154045102267646,0.16756616086749793,0.015976806561066804,110,62.17272727272727,511
ifeval,0.14,0.12265897865813397,0.16008083599034695,0.01526310883719552,110,81.27272727272727,511
ifeval,0.12,0.10104655343062377,0.14901284689472177,0.014207817483109845,110,114.72727272727273,511
gpqa,0.3,0.4073188058838863,0.3350164596224327,0.03194256610314961,110,12.963636363636363,579
gpqa,0.28,0.39289635346043283,0.3256224325211743,0.0310468807628087,110,14.409090909090908,579
gpqa,0.26,0.3868725231064757,0.3121477116510577,0.0297621165377904,110,15.654545454545454,579
gpqa,0.24,0.37616476563291373,0.2947280623107146,0.02810121814141102,110,18.036363636363635,579
gpqa,0.22,0.3686665101446809,0.2920049083727028,0.02784157560094592,110,21.490909090909092,579
gpqa,0.2,0.3566371665338482,0.28105057931093386,0.02679712130587767,110,26.10909090909091,579
gpqa,0.18,0.346201459675126,0.2517439946314496,0.02400284809483304,110,32.836363636363636,579
gpqa,0.16,0.3085127209772249,0.2217158817984501,0.021139779873641993,110,42.21818181818182,579
gpqa,0.14,0.26817072907315803,0.1852654435077833,0.017664366946466406,110,58.20909090909091,579
gpqa,0.12,0.1979475244504893,0.153230611361669,0.0146099655460582,110,86.38181818181818,579
math,0.3,0.20833182097323238,0.21561147881312848,0.0227274454242208,90,77.28888888888889,1183
math,0.28,0.200465525097676,0.19936688018863932,0.021015114379933333,90,78.58888888888889,1183
math,0.26,0.19605028732716376,0.20055819162463645,0.02114068963127856,90,83.41111111111111,1183
math,0.24,0.1852725795188185,0.17189229712497928,0.01811903903844491,90,89.05555555555556,1183
math,0.22,0.173902323473327,0.16131510167427832,0.017004104742412034,90,94.73333333333333,1183
math,0.2,0.16778700187752948,0.14822572400121195,0.015624363189043883,90,100.88888888888889,1183
math,0.18,0.15727399240256887,0.14024604848730687,0.014783231535276728,90,110.03333333333333,1183
math,0.16,0.14962065809936795,0.14389803061920267,0.015168184252311001,90,118.94444444444444,1183
math,0.14,0.1265637772341185,0.12468886475675861,0.01314336038306847,90,129.23333333333332,1183
math,0.12,0.11424534518854162,0.11692413808657268,0.012324886326853718,90,160.33333333333334,1183
bbh,0.3,0.6840043617159034,0.5495542771101731,0.05239794439844554,110,8.236363636363636,3965
bbh,0.28,0.6813947365720825,0.6160256019610726,0.05873573654873789,110,8.50909090909091,3965
bbh,0.26,0.6941372724039503,0.6520339879137941,0.062169001439241534,110,8.581818181818182,3965
bbh,0.24,0.7002076754138475,0.6501737261656453,0.061991632440935085,110,8.654545454545454,3965
bbh,0.22,0.7038980433618839,0.6570176291237324,0.06264417298443142,110,8.7,3965
bbh,0.2,0.7189856330054883,0.6723735325532249,0.06410830092884033,110,8.845454545454546,3965
bbh,0.18,0.7178544741117231,0.6645102153512088,0.06335856305089096,110,9.018181818181818,3965
bbh,0.16,0.7115491162263581,0.6670151426863095,0.06359739850117069,110,9.3,3965
bbh,0.14,0.7124140746992845,0.6722190599134901,0.06409357254053542,110,9.709090909090909,3965
bbh,0.12,0.7096669155679523,0.6831238665677838,0.06513330505931797,110,10.618181818181819,3965
musr,0.3,0.7065661456609679,0.5940781174360343,0.05664312600647084,110,13.554545454545455,432
musr,0.28,0.6983075395737941,0.6118998832786569,0.05834236470699439,110,14.581818181818182,432
musr,0.26,0.6952728796910932,0.6249082417521588,0.05958266302219239,110,17.936363636363637,432
musr,0.24,0.6652340282041395,0.6041541299541014,0.057603836104945565,110,22.263636363636362,432
musr,0.22,0.6369195422729745,0.5931614130048108,0.05655572166841411,110,24.8,432
musr,0.2,0.6287710413095732,0.5956001596852122,0.05678824704085506,110,29.572727272727274,432
musr,0.18,0.5661785605542522,0.5280907882571669,0.05035148103284242,110,43.60909090909091,432
musr,0.16,0.5132738665375937,0.5057481898519965,0.0482211978602556,110,62.945454545454545,432
musr,0.14,0.49420931241730726,0.4971689825029089,0.047403202534982015,110,78.5,432
musr,0.12,0.43278176559170667,0.41591684449061767,0.03965611514588807,110,106.5909090909091,432
