benchmark,se_target,mean_adaptive_items,mean_random_items,savings_ratio,n_all_items
ifeval,0.3,18.181818181818183,62.14545454545455,3.4179999999999997,511
ifeval,0.2,43.836363636363636,113.38181818181818,2.5864786395686434,511
ifeval,0.1,160.9909090909091,250.97272727272727,1.5589248404765936,511
gpqa,0.3,12.963636363636363,45.67272727272727,3.5231416549789625,579
gpqa,0.2,26.10909090909091,100.03636363636363,3.831476323119777,579
gpqa,0.1,154.22727272727272,314.53636363636366,2.039434129089302,579
math,0.3,77.28888888888889,147.63333333333333,1.9101495112133409,1183
math,0.2,100.88888888888889,203.2888888888889,2.014977973568282,1183
math,0.1,188.9111111111111,328.75555555555553,1.740265851076344,1183
bbh,0.3,8.236363636363636,13.3,1.6147902869757176,3965
bbh,0.2,8.845454545454546,23.354545454545455,2.6402877697841727,3965
bbh,0.1,15.445454545454545,72.35454545454546,4.68452030606239,3965
musr,0.3,13.554545454545455,76.2090909090909,5.622401073105298,432
musr,0.2,29.572727272727274,152.3909090909091,5.153089455886874,432
musr,0.1,156.16363636363636,309.1181818181818,1.9794504598905578,432
