length,arm,mean_se,se_lo,se_hi,median_se,recovery_r
1,adaptive,0.3431,0.2576,0.4037,0.3447,0.8194
2,adaptive,0.2342,0.1804,0.2918,0.2199,0.8823
3,adaptive,0.1954,0.1515,0.248,0.184,0.9365
4,adaptive,0.1713,0.1354,0.2216,0.159,0.9489
5,adaptive,0.1539,0.1219,0.2039,0.144,0.9547
6,adaptive,0.1423,0.1122,0.188,0.1295,0.9674
7,adaptive,0.1325,0.1054,0.1781,0.1179,0.9713
8,adaptive,0.1256,0.0994,0.1675,0.1121,0.9769
9,adaptive,0.1198,0.0951,0.1624,0.1075,0.9751
10,adaptive,0.1147,0.0889,0.1536,0.1027,0.9766
11,adaptive,0.1104,0.086,0.1495,0.0985,0.9792
12,adaptive,0.1069,0.0837,0.1465,0.0948,0.9823
13,adaptive,0.1036,0.0809,0.141,0.0917,0.9847
14,adaptive,0.1004,0.0787,0.1373,0.0883,0.9866
15,adaptive,0.0978,0.0767,0.1359,0.0859,0.9856
16,adaptive,0.0956,0.0741,0.1341,0.0839,0.9865
17,adaptive,0.0937,0.0724,0.1323,0.0824,0.986
18,adaptive,0.0917,0.0708,0.128,0.08,0.9859
19,adaptive,0.09,0.0694,0.1268,0.0785,0.987
20,adaptive,0.0885,0.0681,0.1251,0.077,0.9877
1,random,0.5429,0.3661,0.681,0.5705,0.7453
2,random,0.4147,0.2883,0.563,0.3989,0.8524
3,random,0.3524,0.2613,0.4587,0.3378,0.8921
4,random,0.3099,0.2269,0.4134,0.297,0.9276
5,random,0.2817,0.2005,0.389,0.2708,0.9502
6,random,0.2569,0.1886,0.3536,0.2433,0.9478
7,random,0.2351,0.1772,0.3342,0.2193,0.9513
8,random,0.2222,0.1637,0.3175,0.2056,0.9592
9,random,0.2107,0.1578,0.2994,0.1949,0.9666
10,random,0.2014,0.1509,0.2879,0.187,0.9653
11,random,0.1926,0.1474,0.2665,0.1817,0.9706
12,random,0.1862,0.1409,0.2539,0.1762,0.9747
13,random,0.1804,0.1342,0.2472,0.1695,0.9796
14,random,0.1746,0.1295,0.2395,0.1633,0.9824
15,random,0.1694,0.1254,0.2329,0.1586,0.9851
16,random,0.1642,0.1235,0.229,0.152,0.9846
17,random,0.159,0.1201,0.2245,0.1483,0.9864
18,random,0.155,0.1169,0.2173,0.1412,0.9874
19,random,0.1508,0.1138,0.2141,0.1366,0.9868
20,random,0.1471,0.1101,0.2089,0.1323,0.9865
