model,params_b,n_items,mean_latency_s,median_latency_s,cost_per_inference_usd,cost_per_1k_usd
google/gemma-3-270m-it,0.27,25,0.046,0.046,1.028e-05,0.01028
HuggingFaceTB/SmolLM2-360M-Instruct,0.36,25,0.05,0.05,1.118e-05,0.01118
openbmb/MiniCPM4-0.5B,0.5,25,0.026,0.026,5.81e-06,0.00581
tiiuae/Falcon-H1-0.5B-Instruct,0.5,25,0.043,0.043,9.61e-06,0.00961
h2oai/h2o-danube3-500m-chat,0.5,25,0.023,0.023,5.14e-06,0.00514
bigscience/bloomz-560m,0.56,25,0.015,0.015,3.35e-06,0.00335
Qwen/Qwen3.5-0.8B,0.8,25,0.057,0.057,1.274e-05,0.01274
google/gemma-3-1b-it,1.0,25,0.025,0.025,5.59e-06,0.00559
meta-llama/Llama-3.2-1B-Instruct,1.0,25,0.046,0.046,1.028e-05,0.01028
ibm-granite/granite-4.0-h-1b,1.0,25,0.044,0.044,9.84e-06,0.00984
allenai/OLMo-2-0425-1B-Instruct,1.0,25,0.053,0.053,1.185e-05,0.01185
TinyLlama/TinyLlama-1.1B-Chat-v1.0,1.1,25,0.047,0.047,1.051e-05,0.01051
LiquidAI/LFM2.5-1.2B-Instruct,1.2,25,0.053,0.053,1.185e-05,0.01185
Qwen/Qwen2.5-Math-1.5B-Instruct,1.5,25,0.02,0.02,4.47e-06,0.00447
Qwen/Qwen2.5-Coder-1.5B-Instruct,1.5,25,0.037,0.037,8.27e-06,0.00827
tiiuae/Falcon-H1-1.5B-Instruct,1.5,25,0.026,0.026,5.81e-06,0.00581
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,1.5,25,0.057,0.057,1.274e-05,0.01274
HuggingFaceTB/SmolLM2-1.7B-Instruct,1.7,25,0.041,0.041,9.17e-06,0.00917
internlm/internlm2_5-1_8b-chat,1.8,25,0.034,0.034,7.6e-06,0.0076
Qwen/Qwen3.5-2B,2.0,25,0.02,0.02,4.47e-06,0.00447
ibm-granite/granite-3.3-2b-instruct,2.0,25,0.031,0.031,6.93e-06,0.00693
google/gemma-2-2b-it,2.0,25,0.051,0.051,1.14e-05,0.0114
LiquidAI/LFM2-2.6B,2.6,25,0.034,0.034,7.6e-06,0.0076
google/flan-t5-xl,3.0,25,0.054,0.054,1.207e-05,0.01207
