model,params_b
amazingvince/Not-WizardLM-2-7B,7.0
Azazelle/Bianca-7b,7.0
Josephgflowers/Cinder-Phi-2-Test-1,2.7
gmonsoon/MiaAffogato-Indo-Mistral-7b,7.0
YKM11/Mistral-7B-adaptv0.9,7.0
l3utterfly/mistral-7b-v0.1-layla-v2,7.0
Gille/StrangeMerges_27-7B-dare_ties,7.0
shadowml/DareBeagle-7B,7.0
silvercoder67/Mistral-7b-instruct-v0.2-summ-sft-dpo-e2,7.0
macadeliccc/WestLake-7B-v2-laser-truthy-dpo,7.0
PetroGPT/Severus-7B-DPO,7.0
DeepKarkhanis/NeuralPipe-7B-slerp,7.0
leveldevai/MBA-7B,7.0
aloobun/bun_mistral_7b_v2,7.0
silvercoder67/Mistral-7b-instruct-v0.2-summ-sft-dpo-e1,7.0
nbeerbower/flammen11X-mistral-7B,7.0
NovoCode/Metabird-7b-DPO,7.0
yihan6324/llama2-7b-instructmining-orca-40k,7.0
splm/zephyr-7b-sft-full-spin-peft-iter2,7.0
lemon-mint/gemma-7b-openhermes-v0.80,7.0
Isaak-Carter/J.O.S.I.E.3-Beta10-7B-slerp,7.0
perlthoughts/Chupacabra-7B-v2.02,7.0
jpquiroga/Mistral_7B_slerp_merge_instruct_open_orca,7.0
0ai/0ai-7B-v4,7.0
JunchengXie/zephyr-7b-beta-gpt-4-80k,7.0
hon9kon9ize/CantoneseLLM-6B-preview202402,6.0
allknowingroger/NeuralWestSeverus-7B-slerp,7.0
INSAIT-Institute/BgGPT-7B-Instruct-v0.1,7.0
feeltheAGI/mistral-maths7B,7.0
Yuma42/KangalKhan-RawRuby-7B,7.0
NeuralNovel/Gecko-7B-v0.1,7.0
allknowingroger/LimmyAutomerge-7B-slerp,7.0
Epiculous/Mika-7B,7.0
kwchoi/DPO_mistral_v01_7b_ultra_0130_1k,7.0
YeungNLP/firefly-qwen1.5-en-7b-dpo-v0.1,7.0
wang7776/Llama-2-7b-chat-hf-20-attention-sparsity,7.0
argilla/distilabeled-Marcoro14-7B-slerp-full,7.0
weezywitasneezy/BenchmarkEngineering-7B-slerp,7.0
nbeerbower/flammen15-gutenberg-DPO-v1-7B,7.0
Unbabel/TowerBase-7B-v0.1,7.0
Korabbit/Llama-2-7b-chat-hf-afr-441step-flan-v2,7.0
decapoda-research/Adrastea-7b-v1.0-dpo,7.0
Gille/StrangeMerges_3-7B-slerp,7.0
CultriX/AlphaCeption-7B-v1,7.0
Ichsan2895/Merak-7B-v5-PROTOTYPE1,7.0
huseyinatahaninan/phi-2-dpo,2.7
azarafrooz/mistral-v2-7b-selfplay-v0-test,7.0
mlabonne/OmniBeagle-7B,7.0
OpenBuddy/openbuddy-mistral-7b-v17.1-32k,7.0
Weyaxi/zephyr-alpha-Nebula-v2-7B,7.0
flammenai/flammen23-mistral-7B,7.0
Weyaxi/OpenHermes-2.5-neural-chat-7b-v3-2-7B,7.0
jpquiroga/Mistral_7B_ties_merge_instruct_open_orca_codeninja,7.0
DreadPoor/Sphinx-7B-Model_Stock,7.0
juhwanlee/llmdo-Mistral-7B-case-1,7.0
s3nh/Severusectum-7B-DPO,7.0
Yuma42/KangalKhan-Ruby-7B-Fixed,7.0
DreadPoor/Cognate-7B-slerp,7.0
jambroz/sixtyoneeighty-7b-chat,7.0
Yuma42/KangalKhan-Beta-Sapphire-7B,7.0
nbeerbower/Maidphin-Kunoichi-7B,7.0
lex-hue/Delexa-7b-128k,7.0
NeuralNovel/Ignis-7B-DPO,7.0
dball/zephyr-7b-dpo-qlora-no-sft,7.0
ChaoticNeutrals/Nyanade_Stunna-Maid-7B-v0.2,7.0
alignment-handbook/zephyr-7b-sft-full,7.0
maywell/Synatra-RP-Orca-2-7b-v0.1,7.0
DreadPoor/Chimera-7B-slerp,7.0
Azazelle/Half-NSFW_Noromaid-7b,7.0
splm/zephyr-7b-sft-full-spin-peft-iter0,7.0
Azazelle/smol_bruin-7b,7.0
automerger/Inex12Yamshadow-7B,7.0
NeuralNovel/Pigris-7b-v0.4,7.0
MaziyarPanahi/Yarn-Mistral-7b-64k-Mistral-7B-Instruct-v0.1,7.0
Changgil/K2S3-Mistral-7b-v1.42,7.0
SanjiWatsuki/neural-chat-7b-v3-3-wizardmath-dare-me,7.0
google/gemma-1.1-7b-it,7.0
flemmingmiguel/MBX-7B-v3,7.0
MaziyarPanahi/Calme-7B-Instruct-v0.4,7.0
AIJUUD/juud-Mistral-7B,7.0
EmbeddedLLM/Medusa2-Mistral-7B-Instruct-v0.2,7.0
cgato/Thespis-CurtainCall-7b-v0.3,7.0
222gate/bleagle-7b-v0.1-test,7.0
ajibawa-2023/WikiHow-Mistral-Instruct-7B,7.0
Yuma42/KangalKhan-Alpha-RawRubyroid-7B-Fixed,7.0
cognitivecomputations/dolphin-2.2.1-mistral-7b,7.0
DUAL-GPO/zephyr-7b-dpo-qlora-v1,7.0
cognitivecomputations/Dolphin-2.9.1-Phi-3-Kensho-4.5B,4.5
Weyaxi/OpenOrca-Nebula-7B,7.0
silvercoder67/Mistral-7b-instruct-v0.2-summ-sft-e2m,7.0
Kquant03/Hippolyta-7B-bf16,7.0
yam-peleg/Experiment9-7B,7.0
SanjiWatsuki/Kunoichi-7B,7.0
SCE/Mistral-7B-summ-ia3-pruned10,7.0
liminerity/m.star.7b,7.0
SC99/Mistral-7B-summ-ia3-tuned-8h,7.0
Rijgersberg/GEITje-7B-chat-v2,7.0
speechlessai/speechless-mistral-7b-dare-0.85,7.0
paulml/NeuralOmniBeagleMBX-v3-7B,7.0
paulml/OmniBeagleSquaredMBX-v3-7B-v2,7.0
ichigoberry/MonarchPipe-7B-slerp,7.0
genaicore3434/Mistral-7b-instruct-v0.2-summ-sft-bf16-e2,7.0
AGI-0/Magistral-7B-v0.1,7.0
NeuralNovel/Tanuki-7B-v0.1,7.0
uukuguy/Mistral-7B-OpenOrca-lora,7.0
allknowingroger/Limmy-phi2-slerp,2.7
microsoft/phi-2,2.7
grimjim/Mistral-Starling-merge-trial3-7B,7.0
nbeerbower/strange_3236-7B,7.0
DUAL-GPO/phi-2-gpo-renew2-b0.001-0.5ultrafeedback-lowLr-i1,2.7
huangyt/Mistral-7B-v0.1-Open-Platypus_2.5w-r16-gate_up_down,7.0
shahzebnaveed/StarlingHermes-2.5-Mistral-7B-slerp,7.0
deepseek-ai/deepseek-math-7b-rl,7.0
sethuiyer/Dr_Samantha_7b_mistral,7.0
XuanXuanXuanXuan/Llama-2-7b-hf-llama2-raw-80k,7.0
core-3/kuno-royale-v2-7b,7.0
robinsmits/Qwen1.5-7B-Dutch-Chat-Dpo,7.0
Manolo26/metis-chat-instruct-7b,7.0
DreadPoor/RoyalNoroichi-7B-slerp,7.0
SciPhi/SciPhi-Self-RAG-Mistral-7B-32k,7.0
migtissera/Tess-7B-v2.0,7.0
YeungNLP/firefly-gemma-7b,7.0
itsliupeng/llama2_7b_zh,7.0
