model,fold,criteria_administered,scenarios_administered,theta_ref_general,theta_online_general,theta_batch_general,theta_mwle_general
01-ai/Yi-1.5-6B,3,26,8,-0.08096942201121006,-0.644349,-0.6040712324569093,-0.6512924834157959
01-ai/Yi-1.5-6B-Chat,2,38,11,1.6998813656544876,1.32898,1.41598462769627,1.418070702223768
01-ai/Yi-6B,1,32,8,-0.9531818466405777,-1.219534,-1.2988540081752236,-1.281614783806471
01-ai/Yi-6B-200K,3,41,10,-1.91446622147502,-1.781111,-2.167425975611547,-2.1909602792449836
01-ai/Yi-6B-Chat,3,70,17,0.8984996526889433,0.957231,0.9715533073081482,0.9788457456133905
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,4,63,15,-4.386611654524862,-2.328705,-3.1593732233954768,-3.3452019599217193
BEE-spoke-data/smol_llama-220M-openhermes,0,32,8,-2.612483598039904,-1.754894,-1.902625020395213,-1.8872301136015899
BSC-LT/salamandra-2b,0,31,8,-1.4344163965675658,-1.075514,-1.0673374580938293,-1.0762820842676786
BSC-LT/salamandra-2b-instruct,0,35,8,-0.3066463648922897,-0.071549,-0.07326799923288169,-0.07808694673601585
BSC-LT/salamandra-7b,3,29,8,-0.6685183670767328,-0.844759,-0.8381025902212366,-0.8758373666135847
BSC-LT/salamandra-7b-instruct,2,53,13,0.6842429854277273,0.53693,0.5650010065600803,0.5638617869800596
HuggingFaceTB/SmolLM2-360M,1,33,8,-2.21292099281116,-1.323996,-2.249483056246172,-2.049441833299483
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,4,29,8,2.3367265583665007,1.513887,1.819457771694385,1.7893825571393887
OpenBMB/MiniCPM4-0.5B,4,32,8,0.1638280578922313,-0.080615,-0.09444673945495158,-0.09622724425508093
Qwen/Qwen1.5-1.8B,1,31,8,-1.686697639664092,-1.283046,-1.2793544338914935,-1.2777808658977097
Qwen/Qwen1.5-1.8B-Chat,3,41,8,0.3883034414390885,0.11877,0.11421209621291847,0.11225529325611391
Qwen/Qwen2-0.5B,4,35,8,-0.6413603409482376,-0.377601,-0.3985872670577613,-0.38293957105095383
Qwen/Qwen2.5-0.5B-Instruct,4,44,11,0.5448329936874463,0.385486,0.4312872704787287,0.4035006629035235
ai-forever/mGPT,3,38,10,-4.537800997497735,-2.04065,-3.0861199206014094,-3.750990885946162
allenai/OLMo-1B-hf,3,28,8,-4.810603659066731,-1.564826,-2.4996179624953774,-2.988271742830491
allenai/OLMo-2-0425-1B,3,23,8,-1.3088913095313415,-0.948602,-0.9529280215164269,-0.9707671337968964
allenai/OLMo-2-0425-1B-DPO,4,34,8,1.3955947174410315,1.503015,1.5020832012747452,1.5026187265919737
allenai/OLMo-2-0425-1B-Instruct,4,30,8,1.3289296298380069,1.36775,1.5994758398322046,1.5831085705518757
arcee-ai/raspberry-3B,0,41,9,1.2715278028401882,0.592242,0.7087311138488108,0.738081875828109
google/gemma-2-2b,2,39,9,-1.4608310135592915,-1.465475,-1.5473041698594008,-1.5352853855071362
