tier,family,model,params_b,variant,average,org,in_atlas,in_openlm,n_pools,dl_status,n_bench,nonenglish_strength,params_source
A_lab,BLOOM,bigscience/bloom-560m,0.559,base?,3.50724359916236,bigscience,0,1,2,no_samples,0,,pool
A_lab,BLOOM,bigscience/bloom-1b1,1.065,base?,4.025155876068456,bigscience,0,1,2,no_samples,0,,pool
A_lab,BLOOM,bigscience/bloom-1b7,1.722,base?,4.046754480742192,bigscience,0,1,2,no_samples,0,,pool
A_lab,BLOOM,bigscience/bloom-3b,3.003,base?,4.387894128649155,bigscience,0,1,2,no_samples,0,,pool
A_lab,Danube,h2oai/h2o-danube3-500m-chat,0.514,instruct,5.204440277019856,h2oai,0,1,7,ok,5,,pool
A_lab,Danube,h2oai/h2o-danube-1.8b-chat,1.831,instruct,6.953761979021041,h2oai,0,1,7,ok,5,,pool
A_lab,Danube,h2oai/h2o-danube3-4b-base,3.962,base,10.0908487494014,h2oai,0,1,7,ok,5,,pool
A_lab,Danube,h2oai/h2o-danube3-4b-chat,3.962,instruct,11.571247407067569,h2oai,0,1,7,ok,5,,pool
A_lab,Danube,h2oai/h2o-danube3.1-4b-chat,3.962,instruct,16.41212819519095,h2oai,0,1,7,ok,5,,pool
A_lab,DeepSeek,deepseek-ai/deepseek-llm-7b-base,7.0,base,8.227098434870664,deepseek-ai,0,1,2,no_samples,0,,pool
A_lab,DeepSeek,deepseek-ai/deepseek-llm-7b-chat,7.0,instruct,14.823156850686358,deepseek-ai,1,1,7,no_samples,0,,pool
A_lab,Falcon,tiiuae/Falcon3-1B-Base,1.669,base,9.8880961034972,tiiuae,0,1,7,ok,5,,pool
A_lab,Falcon,tiiuae/Falcon3-1B-Instruct,1.669,instruct,16.164597322515025,tiiuae,0,1,7,ok,5,,pool
A_lab,Falcon,tiiuae/Falcon3-3B-Base,3.228,base,15.738743193619,tiiuae,0,1,7,ok,5,,pool
A_lab,Falcon,tiiuae/Falcon3-3B-Instruct,3.228,instruct,26.60234489991349,tiiuae,0,1,7,ok,5,,pool
A_lab,Falcon,tiiuae/falcon-7b,7.0,base?,5.17344472031948,tiiuae,0,1,2,no_samples,0,,pool
A_lab,Falcon,tiiuae/falcon-7b-instruct,7.0,instruct,5.1165739086852,tiiuae,0,1,2,no_samples,0,,pool
A_lab,Falcon,tiiuae/falcon-mamba-7b,7.0,base?,15.179238027611218,tiiuae,0,1,7,ok,5,,pool
A_lab,GPT-2,openai-community/gpt2-medium,0.38,base?,5.902340287154445,openai-community,0,1,2,no_samples,0,,pool
A_lab,GPT-2,openai-community/gpt2-large,0.812,base?,5.567707192929642,openai-community,0,1,2,no_samples,0,,pool
A_lab,GPT-2,openai-community/gpt2-xl,1.608,base?,5.093480678758688,openai-community,0,1,2,no_samples,0,,pool
A_lab,GPT-Neo/NeoX/J,EleutherAI/gpt-neo-1.3B,1.366,base?,5.391090848825532,EleutherAI,0,1,2,no_samples,0,,pool
A_lab,GPT-Neo/NeoX/J,EleutherAI/gpt-neo-2.7B,2.718,base?,6.431047800987447,EleutherAI,0,1,2,no_samples,0,,pool
A_lab,GPT-Neo/NeoX/J,databricks/dolly-v2-3b,3.0,base?,5.59965824307081,databricks,0,1,2,no_samples,0,,pool
A_lab,GPT-Neo/NeoX/J,EleutherAI/gpt-j-6b,6.0,base?,6.570411768928537,EleutherAI,0,1,2,no_samples,0,,pool
A_lab,GPT-Neo/NeoX/J,togethercomputer/GPT-JT-6B-v1,6.0,base?,6.877706827738106,togethercomputer,0,1,2,no_samples,0,,pool
A_lab,GPT-Neo/NeoX/J,databricks/dolly-v2-7b,7.0,base?,5.647360474812998,databricks,0,1,2,no_samples,0,,pool
A_lab,Gemma,google/gemma-1.1-2b-it,2.506,instruct,8.053373854341979,google,0,1,2,no_samples,0,,pool
A_lab,Gemma,google/gemma-2b,2.506,base?,7.321959810488082,google,0,1,2,no_samples,0,,pool
A_lab,Gemma,google/gemma-2b-it,2.506,instruct,7.485804130315127,google,0,1,2,no_samples,0,,pool
A_lab,Gemma,google/recurrentgemma-2b,2.683,base?,7.01512699699078,google,0,1,7,ok,5,,pool
A_lab,Gemma,google/recurrentgemma-2b-it,2.683,instruct,7.995905374047496,google,0,1,7,ok,5,,pool
A_lab,Gemma,HuggingFaceH4/zephyr-7b-gemma-v0.1,7.0,instruct,,HuggingFaceH4,1,0,5,,0,,pool
A_lab,Gemma,google/gemma-1.1-7b-it,7.0,instruct,,google,1,0,5,,0,,pool
A_lab,Gemma,google/gemma-7b,7.0,base?,,google,1,0,5,,0,,pool
A_lab,Gemma,google/gemma-7b-it,7.0,instruct,,google,1,0,5,,0,,pool
A_lab,Gemma-2,google/gemma-2-2b,2.614,base?,10.359615568466916,google,0,1,7,ok,5,,pool
A_lab,Gemma-2,google/gemma-2-2b-it,2.614,instruct,17.046939294966545,google,0,1,7,ok,5,,pool
A_lab,Granite,ibm-granite/granite-3.0-1b-a400m-base,1.335,base,6.030789973010188,ibm-granite,0,1,7,ok,5,,pool
A_lab,Granite,ibm-granite/granite-3.0-1b-a400m-instruct,1.335,instruct,8.0692284950461,ibm-granite,0,1,7,ok,5,,pool
A_lab,Granite,ibm-granite/granite-3.1-1b-a400m-base,1.335,base,6.312391508281799,ibm-granite,0,1,7,ok,5,,pool
A_lab,Granite,ibm-granite/granite-3.1-1b-a400m-instruct,1.335,instruct,10.127255876383268,ibm-granite,0,1,7,ok,5,,pool
A_lab,Granite,ibm-granite/granite-3.1-2b-base,2.534,base,13.202826259598206,ibm-granite,0,1,7,ok,5,,pool
A_lab,Granite,ibm-granite/granite-3.1-2b-instruct,2.534,instruct,21.712212822028288,ibm-granite,0,1,7,ok,5,,pool
A_lab,Granite,ibm-granite/granite-3.2-2b-instruct,2.534,instruct,21.25014812377563,ibm-granite,0,1,7,ok,5,,pool
A_lab,Granite,ibm-granite/granite-3.0-2b-base,2.634,base,14.095784874796747,ibm-granite,0,1,7,ok,5,,pool
A_lab,Granite,ibm-granite/granite-3.0-2b-instruct,2.634,instruct,18.396095114284226,ibm-granite,0,1,7,ok,5,,pool
A_lab,Granite,ibm-granite/granite-3.1-3b-a800m-base,3.299,base,10.00105158723934,ibm-granite,0,1,7,ok,5,,pool
A_lab,Granite,ibm-granite/granite-3.1-3b-a800m-instruct,3.299,instruct,17.277676062054883,ibm-granite,0,1,7,ok,5,,pool
A_lab,Granite,ibm-granite/granite-3.0-3b-a800m-base,3.374,base,9.489841451458394,ibm-granite,0,1,7,ok,5,,pool
A_lab,Granite,ibm-granite/granite-3.0-3b-a800m-instruct,3.374,instruct,13.698124325974996,ibm-granite,0,1,7,ok,5,,pool
A_lab,Granite,ibm-granite/granite-7b-base,6.738,base,7.908701929835419,ibm-granite,0,1,2,no_samples,0,,pool
A_lab,Granite,ibm-granite/granite-7b-instruct,6.738,instruct,12.03495955436329,ibm-granite,0,1,7,ok,5,,pool
A_lab,InternLM,internlm/internlm2-chat-1_8b,1.889,instruct,10.641800452239108,internlm,0,1,2,no_samples,0,soft_cjk_vendor,pool
A_lab,InternLM,internlm/internlm2_5-1_8b-chat,1.89,instruct,14.749842142996677,internlm,0,1,6,ok,5,soft_cjk_vendor,pool
A_lab,Llama-2,BEE-spoke-data/smol_llama-220M-GQA,0.218,base?,6.577800964187134,BEE-spoke-data,0,1,2,no_samples,0,,pool
A_lab,Llama-2,BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,0.218,base?,6.629850832257909,BEE-spoke-data,0,1,6,ok,5,,pool
A_lab,Llama-2,BEE-spoke-data/smol_llama-220M-openhermes,0.218,instruct,4.938005238605682,BEE-spoke-data,0,1,6,ok,5,,pool
A_lab,Llama-2,NousResearch/Nous-Hermes-llama-2-7b,6.738,instruct,9.316715938919105,NousResearch,0,1,2,no_samples,0,,pool
A_lab,Llama-2,meta-llama/Llama-2-7b-chat-hf,6.738,instruct,9.609483264152257,meta-llama,0,1,7,ok,5,,pool
A_lab,Llama-2,meta-llama/Llama-2-7b-hf,6.738,base?,8.806357596540016,meta-llama,0,1,2,no_samples,0,,pool
A_lab,Llama-2,NousResearch/Yarn-Llama-2-7b-128k,7.0,base?,6.814800680431223,NousResearch,0,1,2,no_samples,0,,pool
A_lab,Llama-2,NousResearch/Yarn-Llama-2-7b-64k,7.0,base?,7.222883145587748,NousResearch,0,1,2,no_samples,0,,pool
A_lab,Llama-2,togethercomputer/LLaMA-2-7B-32K,7.0,base?,6.8377158675946506,togethercomputer,0,1,2,no_samples,0,,pool
A_lab,Llama-2,togethercomputer/Llama-2-7B-32K-Instruct,7.0,instruct,8.25854218578891,togethercomputer,0,1,2,no_samples,0,,pool
A_lab,Llama-3.1,nvidia/Llama-3.1-Minitron-4B-Depth-Base,4.02,base,11.658051143450892,nvidia,0,1,7,ok,5,,pool
A_lab,Llama-3.2,meta-llama/Llama-3.2-1B,1.24,base?,4.195140014045501,meta-llama,0,1,7,ok,5,,pool
A_lab,Llama-3.2,meta-llama/Llama-3.2-1B-Instruct,1.24,instruct,14.443126333711136,meta-llama,0,1,7,ok,5,,pool
A_lab,Llama-3.2,NousResearch/Hermes-3-Llama-3.2-3B,3.213,instruct,15.242119392530276,NousResearch,0,1,7,ok,5,,pool
A_lab,Llama-3.2,meta-llama/Llama-3.2-3B,3.213,base?,8.697822716562822,meta-llama,0,1,7,ok,5,,pool
A_lab,Llama-3.2,meta-llama/Llama-3.2-3B-Instruct,3.213,instruct,24.204650807793456,meta-llama,0,1,7,ok,5,,pool
A_lab,MPT,mosaicml/mpt-7b,7.0,base?,6.032029339143736,mosaicml,0,1,2,no_samples,0,,pool
A_lab,MiniCPM,openbmb/MiniCPM-S-1B-sft-llama-format,1.0,instruct,8.996065699730169,openbmb,0,1,7,ok,5,,pool
A_lab,Mistral,HuggingFaceH4/mistral-7b-grok,7.0,base?,,HuggingFaceH4,1,0,5,,0,,pool
A_lab,Mistral,NousResearch/Hermes-2-Pro-Mistral-7B,7.0,instruct,,NousResearch,1,0,5,,0,,pool
A_lab,Mistral,NousResearch/Nous-Hermes-2-Mistral-7B-DPO,7.0,instruct,,NousResearch,1,0,5,,0,,pool
A_lab,Mistral,NousResearch/Yarn-Mistral-7b-128k,7.0,base?,13.268755393260784,NousResearch,0,1,2,no_samples,0,,pool
A_lab,Mistral,NousResearch/Yarn-Mistral-7b-64k,7.0,base?,13.540457995525928,NousResearch,0,1,2,no_samples,0,,pool
A_lab,Mistral,argilla/CapybaraHermes-2.5-Mistral-7B,7.0,instruct,,argilla,1,0,5,,0,,pool
A_lab,Mistral,argilla/distilabeled-Hermes-2.5-Mistral-7B,7.0,instruct,,argilla,1,0,5,,0,,pool
A_lab,Mistral,mistralai/Mistral-7B-Instruct-v0.2,7.0,instruct,,mistralai,1,0,5,,0,,pool
A_lab,Mistral,mistralai/Mistral-7B-v0.3,7.0,base?,,mistralai,1,0,5,,0,,pool
A_lab,Mistral,mlabonne/Mistralpaca-7B,7.0,instruct,,mlabonne,1,0,5,,0,,pool
A_lab,Mistral,mlabonne/NeuralHermes-2.5-Mistral-7B,7.0,instruct,,mlabonne,1,0,5,,0,,pool
A_lab,Mistral,mlabonne/NeuralHermes-2.5-Mistral-7B-laser,7.0,instruct,,mlabonne,1,0,5,,0,,pool
A_lab,Mistral,openaccess-ai-collective/mistral-7b-slimorcaboros,7.0,base?,,openaccess-ai-collective,1,0,5,,0,,pool
A_lab,Mistral,teknium/CollectiveCognition-v1.1-Mistral-7B,7.0,base?,14.256397052482129,teknium,0,1,2,no_samples,0,,pool
A_lab,Mistral,teknium/OpenHermes-2-Mistral-7B,7.0,instruct,21.44047612236278,teknium,1,1,7,no_samples,0,,pool
A_lab,Mistral,teknium/OpenHermes-2.5-Mistral-7B,7.0,instruct,,teknium,1,0,1,,0,,inferred_from_name
A_lab,Nemotron/Minitron,nvidia/Hymba-1.5B-Base,1.523,base,8.035282134433706,nvidia,0,1,7,ok,5,,pool
A_lab,Nemotron/Minitron,nvidia/Hymba-1.5B-Instruct,1.523,instruct,14.192383567083992,nvidia,0,1,6,ok,5,,pool
A_lab,Nemotron/Minitron,nvidia/Minitron-4B-Base,4.0,base,11.977737055629914,nvidia,0,1,7,ok,5,,pool
A_lab,Nemotron/Minitron,nvidia/Nemotron-Mini-4B-Instruct,4.0,instruct,18.36351131288577,nvidia,0,1,6,ok,5,,pool
A_lab,Nous/Hermes,openaccess-ai-collective/DPOpenHermes-7B,7.0,instruct,,openaccess-ai-collective,1,0,5,,0,,pool
A_lab,Nous/Hermes,openaccess-ai-collective/DPOpenHermes-7B-v2,7.0,instruct,,openaccess-ai-collective,1,0,5,,0,,pool
A_lab,Nous/Hermes,teknium/OpenHermes-7B,7.0,instruct,9.569248719177576,teknium,0,1,2,no_samples,0,,pool
A_lab,OLMo,allenai/OLMo-1B-hf,1.177,base?,6.633923959022838,allenai,0,1,2,no_samples,0,,pool
A_lab,OLMo,allenai/OLMo-7B-hf,6.888,base?,6.864268027495356,allenai,0,1,7,ok,5,,pool
A_lab,OLMo,allenai/OLMoE-1B-7B-0125-Instruct,6.919,instruct,17.50987629325843,allenai,0,1,7,ok,5,,pool
A_lab,OLMo,allenai/OLMoE-1B-7B-0924,6.919,base?,7.266580603765461,allenai,0,1,7,ok,5,,pool
A_lab,OLMo,allenai/OLMoE-1B-7B-0924-Instruct,6.919,instruct,13.698377341715071,allenai,0,1,6,ok,5,,pool
A_lab,OLMo,allenai/OLMo-1.7-7B-hf,7.0,base?,,allenai,1,0,5,,0,,pool
A_lab,OLMo,allenai/OLMo-7B-Instruct-hf,7.0,instruct,10.84897342143646,allenai,0,1,7,ok,5,,pool
A_lab,OPT,facebook/opt-1.3b,1.3,base?,5.276689334204645,facebook,0,1,2,no_samples,0,,pool
A_lab,OpenChat/Starling,Intel/neural-chat-7b-v3,7.0,instruct,18.069527284193285,Intel,1,1,7,no_samples,0,,pool
A_lab,OpenChat/Starling,Intel/neural-chat-7b-v3-1,7.0,instruct,,Intel,1,0,5,,0,,pool
A_lab,OpenChat/Starling,Intel/neural-chat-7b-v3-2,7.0,instruct,21.4714111685822,Intel,1,1,7,no_samples,0,,pool
