rank_debiased,model,weak,theta,theta_debiased,bias_band_low,bias_band_high,se_ability,se_param,se_judge,se_total,observed_pass_rate
1,tiiuae/Falcon3-3B-Instruct,False,2.400198437899983,2.5232073619104365,2.4023628444935388,2.600009185601451,0.0062974716997729,0.076223778909489,0.0742308020778745,0.1065829939445158,0.592443729903537
2,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,False,2.399982862722345,2.4557654402806866,2.400011043047271,2.599937146392832,0.0018816716561945,0.0655730187484135,0.0773283586269607,0.1014053081645205,0.5570739549839229
3,ibm-granite/granite-3.1-2b-instruct,False,2.067913123929765,2.2129809631991733,2.1769532263422526,2.3792765876757844,0.0947123730958965,0.033628224381152,0.0468205704542764,0.1108758626128756,0.5112540192926045
4,01-ai/Yi-1.5-6B-Chat,False,1.4300955250858471,1.713688281319769,1.5871294249202608,1.9915644714875496,0.0715080701487573,0.0387039462998776,0.1138731679110887,0.139923185804535,0.4606109324758842
5,tiiuae/Falcon3-3B-Base,False,1.4001234007869834,1.6747201294372367,1.4444490096811395,1.9873789121307572,0.0059639576605074,0.0274037249726694,0.1176049816910311,0.1209027073803635,0.4236334405144694
6,meta-llama/Llama-3.2-3B-Instruct,False,1.3997495599293204,1.643915713895502,1.4057326699641786,1.9529414291743368,0.0074965165192495,0.0464040267844193,0.1161766856206912,0.1253257904165835,0.4212218649517685
7,nvidia/AceInstruct-1.5B,False,1.3173774086964098,1.5680951079047112,1.3987744978529806,1.860593383663532,0.098478608964097,0.0684321258584358,0.1339010029632688,0.1797511359284765,0.409967845659164
8,arcee-ai/raspberry-3B,False,1.2002062085918608,1.5087913251280445,1.2831154788935004,1.821630404763968,0.0072516713575936,0.0053966261346827,0.1358916655507949,0.136191978755304,0.380225080385852
9,pankajmathur/orca_mini_v9_5_3B-Instruct,False,1.0027644430242109,1.3732850762288231,1.1695621682723134,1.7498426525695374,0.0234522595096194,0.0566032115319015,0.1499368453901309,0.1619721878514202,0.3416398713826366
10,ibm-granite/granite-3.1-2b-base,False,0.9532273998875034,1.326224917557102,1.006481515561925,1.7278402961034351,0.0846584403995892,0.0425595694116893,0.1641759299265394,0.1895576546769958,0.315112540192926
11,tiiuae/Falcon3-1B-Instruct,False,0.9199873885603308,1.2785793787313158,1.001405771915384,1.657761382176804,0.0979831807282394,0.0420715244051189,0.1522575981356636,0.1858846229827378,0.3255627009646302
12,ibm-granite/granite-3.0-2b-base,False,0.7586259642035521,1.2067574307910365,0.8565369986580016,1.6405622746918782,0.0810229053140039,0.0429379938890895,0.1829009626068853,0.2045999624322224,0.2821543408360129
13,01-ai/Yi-1.5-6B,False,0.1926927690955061,1.025864489983542,0.4588230262183561,1.5885181056694284,0.0408805272272096,0.0671388607723192,0.2447164089464261,0.2570310583174998,0.2347266881028939
14,01-ai/Yi-6B-Chat,False,0.2941407398224833,0.9994010830993454,0.5273249844121191,1.5541972358936411,0.0998755982411394,0.0399328860272712,0.2235575798200159,0.2480882141607604,0.2580385852090032
15,ibm/PowerLM-3b,False,0.2146676921753925,0.9763495260193598,0.4816965647211645,1.542209056695364,0.0533723522285194,0.0567751769047815,0.2301868864933354,0.2430185824344921,0.2411575562700964
16,allenai/OLMo-2-0425-1B-Instruct,False,0.2405882000160983,0.963560208678573,0.4767348306206521,1.5307575435193084,0.0806612494575723,0.0483425689832859,0.2302123011396062,0.2486783961986911,0.2580385852090032
17,allenai/OLMo-2-0425-1B-DPO,False,0.1981599089643499,0.9427224896482116,0.418846220303613,1.516739811266697,0.0316140220017817,0.0713083003624412,0.2411468590779463,0.2534484715496785,0.247588424437299
18,ibm-granite/granite-7b-instruct,False,0.1695293307994928,0.9311497469316052,0.393973836116434,1.522189898269328,0.0722492525593345,0.0580032500351337,0.2510884451202441,0.2676373269611745,0.2387459807073955
19,BSC-LT/salamandra-7b-instruct,False,0.100145741663527,0.9002425253825541,0.3550864876165638,1.5131469976906675,0.100092369636438,0.0426528039401841,0.2561300765433654,0.278281081379075,0.2427652733118971
20,stabilityai/stablelm-zephyr-3b,False,0.0752047336461668,0.8945012003549513,0.3368972799917146,1.5118761932177032,0.0970271882177783,0.0342056996265803,0.2644723151924314,0.2837779248701998,0.2339228295819935
21,meta-llama/Llama-3.2-1B-Instruct,False,-0.1406737556271492,0.8456849398190026,0.2040670044825519,1.4915286997679291,0.0919886847620189,0.0475743904234611,0.2889763853895785,0.3069732758095339,0.2098070739549839
22,stabilityai/stablelm-2-1_6b-chat,False,-0.0597434213175118,0.8342464246467391,0.20870753567885,1.4665223043875684,0.091816293149735,0.0607486161298764,0.2807178210607688,0.3015346101371433,0.2073954983922829
23,OpenBMB/MiniCPM4-0.5B,False,-0.2479559522315978,0.7985757370019675,0.0997292953737488,1.4800797127263934,0.0864065481390597,0.0683434794094962,0.3092284353342882,0.3282668852601431,0.182475884244373
24,Qwen/Qwen2.5-0.5B-Instruct,False,-0.4467240822874392,0.7560781637698123,-0.0134190992124283,1.4548844398321776,0.0869671901280887,0.0668994015040634,0.3288046879163099,0.3466285401926953,0.1736334405144694
25,stabilityai/stablelm-2-zephyr-1_6b,False,-0.3830580175991281,0.7441908600664371,0.0095914599998391,1.444671241383015,0.0658430990908907,0.0593505706667048,0.3222997485602321,0.3342677547391391,0.1792604501607717
26,openbmb/MiniCPM-2B-sft-bf16,False,-0.685533640701852,0.688609564145243,-0.1778670033814954,1.4340775856162111,0.1007277934993233,0.0761753529827157,0.3576063127218974,0.379250639661735,0.1615755627009646
27,Qwen/Qwen1.5-1.8B-Chat,False,-0.7654172494359069,0.6752436634098277,-0.192403344959951,1.430396227073332,0.0846246925069715,0.0777424663347117,0.3579902153608423,0.3759816803353663,0.1479099678456591
28,BSC-LT/salamandra-7b,False,-0.9400314790551102,0.6683386496639601,-0.277058278646551,1.440088417857577,0.0966633391473882,0.0853343169727855,0.3706325111728554,0.3924209539851709,0.1511254019292604
29,h2oai/h2o-danube2-1.8b-chat,False,-0.8276715481471719,0.6228476304345084,-0.2824684613599248,1.4222995352500387,0.0811862632466597,0.0821083605308221,0.3783313498259167,0.3955598595283849,0.1430868167202572
30,google/gemma-2b,False,-1.185926384028963,0.6021669210002643,-0.4377291090387974,1.422175958121448,0.0844454682448084,0.0857251288289052,0.4016051488089728,0.4192451912302567,0.1157556270096463
31,Qwen/Qwen1.5-1.8B,False,-1.066842187907088,0.6009934008268245,-0.3990154003499589,1.4245764218387296,0.098937565816834,0.0881786503007889,0.3972863899337998,0.4188085385056762,0.1254019292604501
32,01-ai/Yi-6B,False,-1.2165886991336086,0.5993109442771626,-0.4695982543154738,1.4235856834805134,0.085162661171821,0.089553783518015,0.4071803519837123,0.4255213250141968,0.1085209003215434
33,01-ai/Yi-6B-200K,False,-1.1540143241709966,0.5963167352968428,-0.4400507637639053,1.420204204823712,0.0944388080335085,0.0855445250603541,0.3999235436060102,0.4197325278805299,0.1237942122186495
34,google/gemma-2-2b,False,-1.2926532261921344,0.5872918093561338,-0.5047539611897998,1.421882416534677,0.1050258859201749,0.0941790280492195,0.4094317842542145,0.4330525510780452,0.1109324758842443
35,microsoft/phi-1_5,False,-1.107033803013277,0.5814741393871907,-0.4267110205649096,1.4169459850158197,0.1034363164663873,0.0842980032766585,0.4030358533172185,0.4245504963837689,0.1157556270096463
36,allenai/OLMo-2-0425-1B,False,-1.3446136887569824,0.5776375322758674,-0.5120213094070654,1.4202191945942344,0.101343763088546,0.0936930912853605,0.4109363124490838,0.4334946442123654,0.1061093247588424
37,utter-project/EuroLLM-1.7B-Instruct,False,-1.0931846765129545,0.5643963702583199,-0.4503268225296197,1.4133710357829152,0.1032273875211454,0.0822056832121616,0.4048204607257837,0.4257854780391821,0.1197749196141479
38,h2oai/h2o-danube2-1.8b-base,False,-1.3725905125406996,0.5609872469535018,-0.5650334306670345,1.419459076010536,0.0953747486987782,0.088690433393813,0.4223206143519137,0.4419468712091028,0.1053054662379421
39,Qwen/Qwen2-0.5B,False,-1.5298013995817856,0.5597966252455374,-0.586324164628337,1.4138052211302583,0.1088643331247956,0.0893942686879381,0.4251598339465799,0.4478880024095769,0.0860128617363344
40,pankajmathur/orca_mini_3b,False,-1.2865992702197595,0.5556975260236052,-0.5378634715518117,1.416343901955362,0.1044383336902136,0.089006453990803,0.4203029167225334,0.4421357893243592,0.1093247588424437
41,BSC-LT/salamandra-2b-instruct,False,-1.3466398827028947,0.5384247209051847,-0.5949448412823106,1.4132116575947171,0.1009423018501853,0.0856292582171212,0.4296276454630117,0.4495571508848676,0.1028938906752411
42,h2oai/h2o-danube-1.8b-chat,False,-1.4902456905102135,0.5294257259981763,-0.6223683865507376,1.412124392634864,0.1084281088740656,0.0945019188285879,0.4311522718100797,0.4545102297454746,0.0892282958199356
43,meta-llama/Llama-3.2-1B,False,-1.496261175118867,0.5239956244727473,-0.645287986883908,1.4101161749041804,0.1089176527314678,0.0921090364295706,0.4372889904674452,0.4599660757627175,0.0924437299035369
44,openlm-research/open_llama_3b,False,-2.226345389009794,0.5003905930294508,-0.8415916301293853,1.4087989380112358,0.1277890530463952,0.1387768286397329,0.4631920365520911,0.5001358945037538,0.0683279742765273
45,HuggingFaceTB/SmolLM2-360M,False,-1.9564757939465256,0.4999055325605381,-0.7879433544500144,1.4085313962958392,0.1195167344708105,0.1166149931036558,0.4566965713417353,0.4862664544366892,0.0707395498392283
46,BSC-LT/salamandra-2b,False,-2.111611322341606,0.495550655166561,-0.8367314811077629,1.4116214637924,0.1251463109345395,0.1302757140561188,0.4643604882256126,0.4982609997164994,0.0731511254019292
47,openbmb/MiniCPM-1B-sft-bf16,False,-2.5657138227263534,0.4876428983466681,-0.8914294661376614,1.4082643534489352,0.1475643121763394,0.1624474937718288,0.4684558719259677,0.5173154921348704,0.0434083601286173
48,utter-project/EuroLLM-1.7B,False,-2.300624574644467,0.4714006985730554,-0.9363543076543048,1.4072522352978254,0.1324720375816992,0.137417876643507,0.4766205808958765,0.5134196058739674,0.0546623794212218
49,BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,True,-4.76009804034376,0.4454990149817726,-1.0942513740956927,1.4065167005949122,0.3806648399336474,0.2322970276990422,0.5024377027050269,0.6717970486233353,0.0104501607717041
50,BEE-spoke-data/smol_llama-220M-openhermes,False,-4.484825779722242,0.4453218268760465,-1.0902498913563743,1.406571476467363,0.3479165157701007,0.2261241238113064,0.5015625630482744,0.6509554715697472,0.0144694533762057
51,ai-forever/mGPT,True,-5.042226722337319,0.4428901465273642,-1.1053628054625757,1.4064928119024134,0.4035533776560851,0.2393994666931173,0.5036966272177635,0.6883877726551616,0.0064308681672025
52,allenai/OLMo-1B-hf,True,-5.3997764759838,0.4425577227124128,-1.1085883268481709,1.4064928119024134,0.3846176505787698,0.2494418431343802,0.5041519441501472,0.6814111483042984,0.0032154340836012
