scenario_id,subset,role,criterion_count
ifb_0000,Easy_set,evaluation,3
ifb_0001,Easy_set,administration,4
ifb_0002,Easy_set,evaluation,3
ifb_0003,Easy_set,administration,6
ifb_0004,Easy_set,administration,4
ifb_0005,Easy_set,administration,1
ifb_0006,Easy_set,administration,2
ifb_0007,Easy_set,administration,4
ifb_0008,Easy_set,administration,5
ifb_0009,Easy_set,administration,3
ifb_0010,Easy_set,administration,3
ifb_0011,Easy_set,evaluation,2
ifb_0012,Easy_set,administration,2
ifb_0013,Easy_set,administration,3
ifb_0014,Easy_set,administration,3
ifb_0015,Easy_set,administration,4
ifb_0016,Easy_set,administration,3
ifb_0017,Easy_set,administration,2
ifb_0018,Easy_set,administration,3
ifb_0019,Easy_set,administration,6
ifb_0020,Easy_set,administration,3
ifb_0021,Easy_set,administration,3
ifb_0022,Easy_set,administration,2
ifb_0023,Easy_set,administration,2
ifb_0024,Easy_set,administration,4
ifb_0025,Easy_set,administration,2
ifb_0026,Easy_set,administration,3
ifb_0027,Easy_set,administration,2
ifb_0028,Easy_set,administration,2
ifb_0029,Easy_set,administration,2
ifb_0030,Easy_set,evaluation,2
ifb_0031,Easy_set,administration,5
ifb_0032,Easy_set,administration,2
ifb_0033,Easy_set,administration,2
ifb_0034,Easy_set,administration,2
ifb_0035,Easy_set,administration,4
ifb_0036,Easy_set,administration,3
ifb_0037,Easy_set,administration,2
ifb_0038,Easy_set,evaluation,5
ifb_0039,Easy_set,administration,3
ifb_0040,Easy_set,administration,2
ifb_0041,Easy_set,administration,2
ifb_0042,Easy_set,administration,2
ifb_0043,Easy_set,administration,3
ifb_0044,Easy_set,evaluation,3
ifb_0045,Easy_set,evaluation,4
ifb_0046,Easy_set,administration,2
ifb_0047,Easy_set,administration,4
ifb_0048,Easy_set,administration,3
ifb_0049,Easy_set,evaluation,2
ifb_0050,Easy_set,administration,2
ifb_0051,Easy_set,administration,2
ifb_0052,Easy_set,administration,3
ifb_0053,Easy_set,administration,2
ifb_0054,Easy_set,administration,2
ifb_0055,Easy_set,evaluation,3
ifb_0056,Easy_set,administration,2
ifb_0057,Easy_set,evaluation,3
ifb_0058,Easy_set,administration,5
ifb_0059,Easy_set,administration,2
ifb_0060,Easy_set,administration,4
ifb_0061,Easy_set,administration,3
ifb_0062,Easy_set,administration,4
ifb_0063,Easy_set,administration,5
ifb_0064,Easy_set,administration,3
ifb_0065,Easy_set,administration,2
ifb_0066,Easy_set,administration,2
ifb_0067,Easy_set,administration,5
ifb_0068,Easy_set,administration,3
ifb_0069,Easy_set,administration,3
ifb_0070,Easy_set,administration,2
ifb_0071,Easy_set,administration,2
ifb_0072,Easy_set,evaluation,2
ifb_0073,Easy_set,administration,2
ifb_0074,Easy_set,evaluation,2
ifb_0075,Easy_set,administration,5
ifb_0076,Easy_set,evaluation,2
ifb_0077,Easy_set,administration,3
ifb_0078,Easy_set,administration,2
ifb_0079,Easy_set,administration,2
ifb_0080,Easy_set,administration,2
ifb_0081,Easy_set,administration,2
ifb_0082,Easy_set,administration,2
ifb_0083,Easy_set,administration,4
ifb_0084,Easy_set,administration,2
ifb_0085,Easy_set,administration,2
ifb_0086,Easy_set,evaluation,2
ifb_0087,Easy_set,administration,3
ifb_0088,Easy_set,evaluation,4
ifb_0089,Easy_set,administration,3
ifb_0090,Easy_set,administration,2
ifb_0091,Easy_set,administration,2
ifb_0092,Easy_set,evaluation,3
ifb_0093,Easy_set,administration,3
ifb_0094,Easy_set,administration,5
ifb_0095,Easy_set,administration,2
ifb_0096,Easy_set,administration,2
ifb_0097,Easy_set,evaluation,2
ifb_0098,Easy_set,administration,3
ifb_0099,Easy_set,administration,2
ifb_0100,Easy_set,administration,3
ifb_0101,Easy_set,administration,3
ifb_0102,Easy_set,administration,2
ifb_0103,Easy_set,administration,2
ifb_0104,Easy_set,evaluation,2
ifb_0105,Easy_set,administration,2
ifb_0106,Easy_set,evaluation,2
ifb_0107,Easy_set,administration,2
ifb_0108,Easy_set,evaluation,3
