outer_fold,model_id,family_id,outer_role,inner_validation_fold,observed_pass_rate
0,01-ai/Yi-1.5-6B,yi,test,,0.270666666667
0,01-ai/Yi-1.5-6B-Chat,yi,test,,0.711871943086
0,01-ai/Yi-6B,yi,test,,0.160000000000
0,01-ai/Yi-6B-200K,yi,test,,0.075111111111
0,01-ai/Yi-6B-Chat,yi,test,,0.645777777778
0,BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,smol_llama,train,1,0.009777777778
0,BEE-spoke-data/smol_llama-220M-openhermes,smol_llama,train,1,0.041777777778
0,BSC-LT/salamandra-2b,salamandra,test,,0.097777777778
0,BSC-LT/salamandra-2b-instruct,salamandra,test,,0.448888888889
0,BSC-LT/salamandra-7b,salamandra,test,,0.240000000000
0,BSC-LT/salamandra-7b-instruct,salamandra,test,,0.555555555556
0,HuggingFaceTB/SmolLM2-360M,smollm,train,1,0.036444444444
0,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,exaone,train,0,0.797777777778
0,OpenBMB/MiniCPM4-0.5B,minicpm,train,0,0.502890173410
0,Qwen/Qwen1.5-1.8B,qwen,train,2,0.113929684023
0,Qwen/Qwen1.5-1.8B-Chat,qwen,train,2,0.554666666667
0,Qwen/Qwen2-0.5B,qwen,train,2,0.231555555556
0,Qwen/Qwen2.5-0.5B-Instruct,qwen,train,2,0.505782918149
0,ai-forever/mGPT,mgpt,train,3,0.006666666667
0,allenai/OLMo-1B-hf,olmo,train,0,0.012444444444
0,allenai/OLMo-2-0425-1B,olmo,train,0,0.096000000000
0,allenai/OLMo-2-0425-1B-DPO,olmo,train,0,0.626779359431
0,allenai/OLMo-2-0425-1B-Instruct,olmo,train,0,0.631227758007
0,arcee-ai/raspberry-3B,raspberry,test,,0.689333333333
0,google/gemma-2-2b,gemma,train,3,0.153777777778
0,google/gemma-2b,gemma,train,3,0.090666666667
0,h2oai/h2o-danube-1.8b-chat,danube,train,3,0.532681191641
0,h2oai/h2o-danube2-1.8b-base,danube,train,3,0.265451311694
0,h2oai/h2o-danube2-1.8b-chat,danube,train,3,0.588444444444
0,ibm-granite/granite-3.0-2b-base,granite,train,1,0.499333036905
0,ibm-granite/granite-3.1-2b-base,granite,train,1,0.498443752779
0,ibm-granite/granite-3.1-2b-instruct,granite,train,1,0.783014673188
0,ibm-granite/granite-7b-instruct,granite,train,1,0.612716763006
0,ibm/PowerLM-3b,powerlm,test,,0.532444444444
0,meta-llama/Llama-3.2-1B,llama_3_2,train,1,0.087111111111
0,meta-llama/Llama-3.2-1B-Instruct,llama_3_2,train,1,0.646954201867
0,meta-llama/Llama-3.2-3B-Instruct,llama_3_2,train,1,0.800000000000
0,microsoft/phi-1_5,phi,train,2,0.153777777778
0,nvidia/AceInstruct-1.5B,ace,train,0,0.728768341485
0,openbmb/MiniCPM-1B-sft-bf16,minicpm,train,0,0.179555555556
0,openbmb/MiniCPM-2B-sft-bf16,minicpm,train,0,0.406402845709
0,openlm-research/open_llama_3b,open_llama,train,0,0.037333333333
0,pankajmathur/orca_mini_3b,orca_mini,train,3,0.269897732325
0,pankajmathur/orca_mini_v9_5_3B-Instruct,orca_mini,train,3,0.741218319253
0,stabilityai/stablelm-2-1_6b-chat,stablelm,train,2,0.620000000000
0,stabilityai/stablelm-2-zephyr-1_6b,stablelm,train,2,0.619111111111
0,stabilityai/stablelm-zephyr-3b,stablelm,train,2,0.666222222222
0,tiiuae/Falcon3-1B-Instruct,falcon3,train,3,0.608714984438
0,tiiuae/Falcon3-3B-Base,falcon3,train,3,0.390395731436
0,tiiuae/Falcon3-3B-Instruct,falcon3,train,3,0.779457536683
0,utter-project/EuroLLM-1.7B,eurollm,train,2,0.062666666667
0,utter-project/EuroLLM-1.7B-Instruct,eurollm,train,2,0.491992882562
1,01-ai/Yi-1.5-6B,yi,train,0,0.270666666667
1,01-ai/Yi-1.5-6B-Chat,yi,train,0,0.711871943086
1,01-ai/Yi-6B,yi,train,0,0.160000000000
1,01-ai/Yi-6B-200K,yi,train,0,0.075111111111
1,01-ai/Yi-6B-Chat,yi,train,0,0.645777777778
1,BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,smol_llama,train,1,0.009777777778
1,BEE-spoke-data/smol_llama-220M-openhermes,smol_llama,train,1,0.041777777778
1,BSC-LT/salamandra-2b,salamandra,train,0,0.097777777778
1,BSC-LT/salamandra-2b-instruct,salamandra,train,0,0.448888888889
1,BSC-LT/salamandra-7b,salamandra,train,0,0.240000000000
1,BSC-LT/salamandra-7b-instruct,salamandra,train,0,0.555555555556
1,HuggingFaceTB/SmolLM2-360M,smollm,train,1,0.036444444444
