repeat,source,derived_repeat_seed,model_id,family_id,balance_stratum,outer_fold,observed_pass_rate_diagnostic_only
0,exact_pinned_v1_partition,,01-ai/Yi-1.5-6B,yi,q3,0,0.270666666667
0,exact_pinned_v1_partition,,01-ai/Yi-1.5-6B-Chat,yi,q3,0,0.711871943086
0,exact_pinned_v1_partition,,01-ai/Yi-6B,yi,q3,0,0.160000000000
0,exact_pinned_v1_partition,,01-ai/Yi-6B-200K,yi,q3,0,0.075111111111
0,exact_pinned_v1_partition,,01-ai/Yi-6B-Chat,yi,q3,0,0.645777777778
0,exact_pinned_v1_partition,,BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,smol_llama,q1_lowest,2,0.009777777778
0,exact_pinned_v1_partition,,BEE-spoke-data/smol_llama-220M-openhermes,smol_llama,q1_lowest,2,0.041777777778
0,exact_pinned_v1_partition,,BSC-LT/salamandra-2b,salamandra,q2,0,0.097777777778
0,exact_pinned_v1_partition,,BSC-LT/salamandra-2b-instruct,salamandra,q2,0,0.448888888889
0,exact_pinned_v1_partition,,BSC-LT/salamandra-7b,salamandra,q2,0,0.240000000000
0,exact_pinned_v1_partition,,BSC-LT/salamandra-7b-instruct,salamandra,q2,0,0.555555555556
0,exact_pinned_v1_partition,,HuggingFaceTB/SmolLM2-360M,smollm,q1_lowest,2,0.036444444444
0,exact_pinned_v1_partition,,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,exaone,q5_highest,1,0.797777777778
0,exact_pinned_v1_partition,,OpenBMB/MiniCPM4-0.5B,minicpm,q3,1,0.502890173410
0,exact_pinned_v1_partition,,Qwen/Qwen1.5-1.8B,qwen,q3,3,0.113929684023
0,exact_pinned_v1_partition,,Qwen/Qwen1.5-1.8B-Chat,qwen,q3,3,0.554666666667
0,exact_pinned_v1_partition,,Qwen/Qwen2-0.5B,qwen,q3,3,0.231555555556
0,exact_pinned_v1_partition,,Qwen/Qwen2.5-0.5B-Instruct,qwen,q3,3,0.505782918149
0,exact_pinned_v1_partition,,ai-forever/mGPT,mgpt,q1_lowest,4,0.006666666667
0,exact_pinned_v1_partition,,allenai/OLMo-1B-hf,olmo,q2,1,0.012444444444
0,exact_pinned_v1_partition,,allenai/OLMo-2-0425-1B,olmo,q2,1,0.096000000000
0,exact_pinned_v1_partition,,allenai/OLMo-2-0425-1B-DPO,olmo,q2,1,0.626779359431
0,exact_pinned_v1_partition,,allenai/OLMo-2-0425-1B-Instruct,olmo,q2,1,0.631227758007
0,exact_pinned_v1_partition,,arcee-ai/raspberry-3B,raspberry,q5_highest,0,0.689333333333
0,exact_pinned_v1_partition,,google/gemma-2-2b,gemma,q1_lowest,4,0.153777777778
0,exact_pinned_v1_partition,,google/gemma-2b,gemma,q1_lowest,4,0.090666666667
0,exact_pinned_v1_partition,,h2oai/h2o-danube-1.8b-chat,danube,q3,4,0.532681191641
0,exact_pinned_v1_partition,,h2oai/h2o-danube2-1.8b-base,danube,q3,4,0.265451311694
0,exact_pinned_v1_partition,,h2oai/h2o-danube2-1.8b-chat,danube,q3,4,0.588444444444
0,exact_pinned_v1_partition,,ibm-granite/granite-3.0-2b-base,granite,q5_highest,2,0.499333036905
0,exact_pinned_v1_partition,,ibm-granite/granite-3.1-2b-base,granite,q5_highest,2,0.498443752779
0,exact_pinned_v1_partition,,ibm-granite/granite-3.1-2b-instruct,granite,q5_highest,2,0.783014673188
0,exact_pinned_v1_partition,,ibm-granite/granite-7b-instruct,granite,q5_highest,2,0.612716763006
0,exact_pinned_v1_partition,,ibm/PowerLM-3b,powerlm,q4,0,0.532444444444
0,exact_pinned_v1_partition,,meta-llama/Llama-3.2-1B,llama_3_2,q4,2,0.087111111111
0,exact_pinned_v1_partition,,meta-llama/Llama-3.2-1B-Instruct,llama_3_2,q4,2,0.646954201867
0,exact_pinned_v1_partition,,meta-llama/Llama-3.2-3B-Instruct,llama_3_2,q4,2,0.800000000000
0,exact_pinned_v1_partition,,microsoft/phi-1_5,phi,q2,3,0.153777777778
0,exact_pinned_v1_partition,,nvidia/AceInstruct-1.5B,ace,q5_highest,1,0.728768341485
0,exact_pinned_v1_partition,,openbmb/MiniCPM-1B-sft-bf16,minicpm,q3,1,0.179555555556
0,exact_pinned_v1_partition,,openbmb/MiniCPM-2B-sft-bf16,minicpm,q3,1,0.406402845709
0,exact_pinned_v1_partition,,openlm-research/open_llama_3b,open_llama,q1_lowest,1,0.037333333333
0,exact_pinned_v1_partition,,pankajmathur/orca_mini_3b,orca_mini,q4,4,0.269897732325
0,exact_pinned_v1_partition,,pankajmathur/orca_mini_v9_5_3B-Instruct,orca_mini,q4,4,0.741218319253
0,exact_pinned_v1_partition,,stabilityai/stablelm-2-1_6b-chat,stablelm,q5_highest,3,0.620000000000
0,exact_pinned_v1_partition,,stabilityai/stablelm-2-zephyr-1_6b,stablelm,q5_highest,3,0.619111111111
0,exact_pinned_v1_partition,,stabilityai/stablelm-zephyr-3b,stablelm,q5_highest,3,0.666222222222
0,exact_pinned_v1_partition,,tiiuae/Falcon3-1B-Instruct,falcon3,q4,4,0.608714984438
0,exact_pinned_v1_partition,,tiiuae/Falcon3-3B-Base,falcon3,q4,4,0.390395731436
0,exact_pinned_v1_partition,,tiiuae/Falcon3-3B-Instruct,falcon3,q4,4,0.779457536683
0,exact_pinned_v1_partition,,utter-project/EuroLLM-1.7B,eurollm,q2,3,0.062666666667
0,exact_pinned_v1_partition,,utter-project/EuroLLM-1.7B-Instruct,eurollm,q2,3,0.491992882562
1,single_seed_generation,4296018618306558805,01-ai/Yi-1.5-6B,yi,q3,0,0.270666666667
1,single_seed_generation,4296018618306558805,01-ai/Yi-1.5-6B-Chat,yi,q3,0,0.711871943086
1,single_seed_generation,4296018618306558805,01-ai/Yi-6B,yi,q3,0,0.160000000000
1,single_seed_generation,4296018618306558805,01-ai/Yi-6B-200K,yi,q3,0,0.075111111111
1,single_seed_generation,4296018618306558805,01-ai/Yi-6B-Chat,yi,q3,0,0.645777777778
1,single_seed_generation,4296018618306558805,BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,smol_llama,q1_lowest,1,0.009777777778
1,single_seed_generation,4296018618306558805,BEE-spoke-data/smol_llama-220M-openhermes,smol_llama,q1_lowest,1,0.041777777778
1,single_seed_generation,4296018618306558805,BSC-LT/salamandra-2b,salamandra,q2,1,0.097777777778
1,single_seed_generation,4296018618306558805,BSC-LT/salamandra-2b-instruct,salamandra,q2,1,0.448888888889
1,single_seed_generation,4296018618306558805,BSC-LT/salamandra-7b,salamandra,q2,1,0.240000000000
1,single_seed_generation,4296018618306558805,BSC-LT/salamandra-7b-instruct,salamandra,q2,1,0.555555555556
1,single_seed_generation,4296018618306558805,HuggingFaceTB/SmolLM2-360M,smollm,q1_lowest,2,0.036444444444
1,single_seed_generation,4296018618306558805,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,exaone,q5_highest,1,0.797777777778
1,single_seed_generation,4296018618306558805,OpenBMB/MiniCPM4-0.5B,minicpm,q3,2,0.502890173410
1,single_seed_generation,4296018618306558805,Qwen/Qwen1.5-1.8B,qwen,q3,4,0.113929684023
1,single_seed_generation,4296018618306558805,Qwen/Qwen1.5-1.8B-Chat,qwen,q3,4,0.554666666667
1,single_seed_generation,4296018618306558805,Qwen/Qwen2-0.5B,qwen,q3,4,0.231555555556
1,single_seed_generation,4296018618306558805,Qwen/Qwen2.5-0.5B-Instruct,qwen,q3,4,0.505782918149
1,single_seed_generation,4296018618306558805,ai-forever/mGPT,mgpt,q1_lowest,0,0.006666666667
1,single_seed_generation,4296018618306558805,allenai/OLMo-1B-hf,olmo,q2,3,0.012444444444
1,single_seed_generation,4296018618306558805,allenai/OLMo-2-0425-1B,olmo,q2,3,0.096000000000
1,single_seed_generation,4296018618306558805,allenai/OLMo-2-0425-1B-DPO,olmo,q2,3,0.626779359431
1,single_seed_generation,4296018618306558805,allenai/OLMo-2-0425-1B-Instruct,olmo,q2,3,0.631227758007
1,single_seed_generation,4296018618306558805,arcee-ai/raspberry-3B,raspberry,q5_highest,0,0.689333333333
1,single_seed_generation,4296018618306558805,google/gemma-2-2b,gemma,q1_lowest,4,0.153777777778
1,single_seed_generation,4296018618306558805,google/gemma-2b,gemma,q1_lowest,4,0.090666666667
1,single_seed_generation,4296018618306558805,h2oai/h2o-danube-1.8b-chat,danube,q3,3,0.532681191641
1,single_seed_generation,4296018618306558805,h2oai/h2o-danube2-1.8b-base,danube,q3,3,0.265451311694
1,single_seed_generation,4296018618306558805,h2oai/h2o-danube2-1.8b-chat,danube,q3,3,0.588444444444
1,single_seed_generation,4296018618306558805,ibm-granite/granite-3.0-2b-base,granite,q5_highest,2,0.499333036905
1,single_seed_generation,4296018618306558805,ibm-granite/granite-3.1-2b-base,granite,q5_highest,2,0.498443752779
1,single_seed_generation,4296018618306558805,ibm-granite/granite-3.1-2b-instruct,granite,q5_highest,2,0.783014673188
1,single_seed_generation,4296018618306558805,ibm-granite/granite-7b-instruct,granite,q5_highest,2,0.612716763006
1,single_seed_generation,4296018618306558805,ibm/PowerLM-3b,powerlm,q4,3,0.532444444444
1,single_seed_generation,4296018618306558805,meta-llama/Llama-3.2-1B,llama_3_2,q4,0,0.087111111111
1,single_seed_generation,4296018618306558805,meta-llama/Llama-3.2-1B-Instruct,llama_3_2,q4,0,0.646954201867
1,single_seed_generation,4296018618306558805,meta-llama/Llama-3.2-3B-Instruct,llama_3_2,q4,0,0.800000000000
1,single_seed_generation,4296018618306558805,microsoft/phi-1_5,phi,q2,0,0.153777777778
1,single_seed_generation,4296018618306558805,nvidia/AceInstruct-1.5B,ace,q5_highest,3,0.728768341485
1,single_seed_generation,4296018618306558805,openbmb/MiniCPM-1B-sft-bf16,minicpm,q3,2,0.179555555556
1,single_seed_generation,4296018618306558805,openbmb/MiniCPM-2B-sft-bf16,minicpm,q3,2,0.406402845709
1,single_seed_generation,4296018618306558805,openlm-research/open_llama_3b,open_llama,q1_lowest,3,0.037333333333
1,single_seed_generation,4296018618306558805,pankajmathur/orca_mini_3b,orca_mini,q4,4,0.269897732325
1,single_seed_generation,4296018618306558805,pankajmathur/orca_mini_v9_5_3B-Instruct,orca_mini,q4,4,0.741218319253
1,single_seed_generation,4296018618306558805,stabilityai/stablelm-2-1_6b-chat,stablelm,q5_highest,4,0.620000000000
1,single_seed_generation,4296018618306558805,stabilityai/stablelm-2-zephyr-1_6b,stablelm,q5_highest,4,0.619111111111
1,single_seed_generation,4296018618306558805,stabilityai/stablelm-zephyr-3b,stablelm,q5_highest,4,0.666222222222
1,single_seed_generation,4296018618306558805,tiiuae/Falcon3-1B-Instruct,falcon3,q4,1,0.608714984438
1,single_seed_generation,4296018618306558805,tiiuae/Falcon3-3B-Base,falcon3,q4,1,0.390395731436
1,single_seed_generation,4296018618306558805,tiiuae/Falcon3-3B-Instruct,falcon3,q4,1,0.779457536683
1,single_seed_generation,4296018618306558805,utter-project/EuroLLM-1.7B,eurollm,q2,2,0.062666666667
1,single_seed_generation,4296018618306558805,utter-project/EuroLLM-1.7B-Instruct,eurollm,q2,2,0.491992882562
2,single_seed_generation,7985799007935940154,01-ai/Yi-1.5-6B,yi,q3,4,0.270666666667
2,single_seed_generation,7985799007935940154,01-ai/Yi-1.5-6B-Chat,yi,q3,4,0.711871943086
2,single_seed_generation,7985799007935940154,01-ai/Yi-6B,yi,q3,4,0.160000000000
2,single_seed_generation,7985799007935940154,01-ai/Yi-6B-200K,yi,q3,4,0.075111111111
2,single_seed_generation,7985799007935940154,01-ai/Yi-6B-Chat,yi,q3,4,0.645777777778
2,single_seed_generation,7985799007935940154,BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,smol_llama,q1_lowest,1,0.009777777778
2,single_seed_generation,7985799007935940154,BEE-spoke-data/smol_llama-220M-openhermes,smol_llama,q1_lowest,1,0.041777777778
2,single_seed_generation,7985799007935940154,BSC-LT/salamandra-2b,salamandra,q2,3,0.097777777778
2,single_seed_generation,7985799007935940154,BSC-LT/salamandra-2b-instruct,salamandra,q2,3,0.448888888889
2,single_seed_generation,7985799007935940154,BSC-LT/salamandra-7b,salamandra,q2,3,0.240000000000
2,single_seed_generation,7985799007935940154,BSC-LT/salamandra-7b-instruct,salamandra,q2,3,0.555555555556
2,single_seed_generation,7985799007935940154,HuggingFaceTB/SmolLM2-360M,smollm,q1_lowest,4,0.036444444444
2,single_seed_generation,7985799007935940154,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,exaone,q5_highest,3,0.797777777778
2,single_seed_generation,7985799007935940154,OpenBMB/MiniCPM4-0.5B,minicpm,q3,0,0.502890173410
2,single_seed_generation,7985799007935940154,Qwen/Qwen1.5-1.8B,qwen,q3,1,0.113929684023
2,single_seed_generation,7985799007935940154,Qwen/Qwen1.5-1.8B-Chat,qwen,q3,1,0.554666666667
2,single_seed_generation,7985799007935940154,Qwen/Qwen2-0.5B,qwen,q3,1,0.231555555556
2,single_seed_generation,7985799007935940154,Qwen/Qwen2.5-0.5B-Instruct,qwen,q3,1,0.505782918149
2,single_seed_generation,7985799007935940154,ai-forever/mGPT,mgpt,q1_lowest,0,0.006666666667
2,single_seed_generation,7985799007935940154,allenai/OLMo-1B-hf,olmo,q2,0,0.012444444444
2,single_seed_generation,7985799007935940154,allenai/OLMo-2-0425-1B,olmo,q2,0,0.096000000000
2,single_seed_generation,7985799007935940154,allenai/OLMo-2-0425-1B-DPO,olmo,q2,0,0.626779359431
2,single_seed_generation,7985799007935940154,allenai/OLMo-2-0425-1B-Instruct,olmo,q2,0,0.631227758007
2,single_seed_generation,7985799007935940154,arcee-ai/raspberry-3B,raspberry,q5_highest,4,0.689333333333
2,single_seed_generation,7985799007935940154,google/gemma-2-2b,gemma,q1_lowest,3,0.153777777778
2,single_seed_generation,7985799007935940154,google/gemma-2b,gemma,q1_lowest,3,0.090666666667
2,single_seed_generation,7985799007935940154,h2oai/h2o-danube-1.8b-chat,danube,q3,2,0.532681191641
2,single_seed_generation,7985799007935940154,h2oai/h2o-danube2-1.8b-base,danube,q3,2,0.265451311694
2,single_seed_generation,7985799007935940154,h2oai/h2o-danube2-1.8b-chat,danube,q3,2,0.588444444444
2,single_seed_generation,7985799007935940154,ibm-granite/granite-3.0-2b-base,granite,q5_highest,2,0.499333036905
2,single_seed_generation,7985799007935940154,ibm-granite/granite-3.1-2b-base,granite,q5_highest,2,0.498443752779
2,single_seed_generation,7985799007935940154,ibm-granite/granite-3.1-2b-instruct,granite,q5_highest,2,0.783014673188
2,single_seed_generation,7985799007935940154,ibm-granite/granite-7b-instruct,granite,q5_highest,2,0.612716763006
2,single_seed_generation,7985799007935940154,ibm/PowerLM-3b,powerlm,q4,1,0.532444444444
2,single_seed_generation,7985799007935940154,meta-llama/Llama-3.2-1B,llama_3_2,q4,4,0.087111111111
2,single_seed_generation,7985799007935940154,meta-llama/Llama-3.2-1B-Instruct,llama_3_2,q4,4,0.646954201867
2,single_seed_generation,7985799007935940154,meta-llama/Llama-3.2-3B-Instruct,llama_3_2,q4,4,0.800000000000
2,single_seed_generation,7985799007935940154,microsoft/phi-1_5,phi,q2,4,0.153777777778
2,single_seed_generation,7985799007935940154,nvidia/AceInstruct-1.5B,ace,q5_highest,0,0.728768341485
2,single_seed_generation,7985799007935940154,openbmb/MiniCPM-1B-sft-bf16,minicpm,q3,0,0.179555555556
2,single_seed_generation,7985799007935940154,openbmb/MiniCPM-2B-sft-bf16,minicpm,q3,0,0.406402845709
2,single_seed_generation,7985799007935940154,openlm-research/open_llama_3b,open_llama,q1_lowest,2,0.037333333333
2,single_seed_generation,7985799007935940154,pankajmathur/orca_mini_3b,orca_mini,q4,0,0.269897732325
2,single_seed_generation,7985799007935940154,pankajmathur/orca_mini_v9_5_3B-Instruct,orca_mini,q4,0,0.741218319253
2,single_seed_generation,7985799007935940154,stabilityai/stablelm-2-1_6b-chat,stablelm,q5_highest,1,0.620000000000
2,single_seed_generation,7985799007935940154,stabilityai/stablelm-2-zephyr-1_6b,stablelm,q5_highest,1,0.619111111111
2,single_seed_generation,7985799007935940154,stabilityai/stablelm-zephyr-3b,stablelm,q5_highest,1,0.666222222222
2,single_seed_generation,7985799007935940154,tiiuae/Falcon3-1B-Instruct,falcon3,q4,3,0.608714984438
2,single_seed_generation,7985799007935940154,tiiuae/Falcon3-3B-Base,falcon3,q4,3,0.390395731436
2,single_seed_generation,7985799007935940154,tiiuae/Falcon3-3B-Instruct,falcon3,q4,3,0.779457536683
2,single_seed_generation,7985799007935940154,utter-project/EuroLLM-1.7B,eurollm,q2,2,0.062666666667
2,single_seed_generation,7985799007935940154,utter-project/EuroLLM-1.7B-Instruct,eurollm,q2,2,0.491992882562
3,single_seed_generation,2346076907475339424,01-ai/Yi-1.5-6B,yi,q3,4,0.270666666667
3,single_seed_generation,2346076907475339424,01-ai/Yi-1.5-6B-Chat,yi,q3,4,0.711871943086
3,single_seed_generation,2346076907475339424,01-ai/Yi-6B,yi,q3,4,0.160000000000
3,single_seed_generation,2346076907475339424,01-ai/Yi-6B-200K,yi,q3,4,0.075111111111
3,single_seed_generation,2346076907475339424,01-ai/Yi-6B-Chat,yi,q3,4,0.645777777778
