floor,se_target,model,fold,is_headline_excluded,flag_note,length,stop_reason,theta_ref_correctness,theta_mwle_correctness,sd_stop_correctness,se_total_correctness
20,0.27,BSC-LT/salamandra-2b,0,False,,20,info_plateau,-2.5698394466536976,-3.0421571767658078,0.3960523458036318,0.4198716311205297
20,0.27,EleutherAI/pythia-160m,0,False,,20,info_plateau,-5.592677750933284,-5.215869928578957,0.5005460892237709,0.5281872866399331
20,0.27,HuggingFaceTB/SmolLM2-1.7B,0,False,,20,precision_reached,-0.8256400549176903,-0.4514120188529105,0.2026327290331487,0.2134686303401159
20,0.27,HuggingFaceTB/SmolLM2-1.7B-Instruct,0,False,,20,precision_reached,-0.0055613278443417,-0.1762616673038397,0.1964817004004563,0.2115068121300544
20,0.27,Qwen/Qwen1.5-1.8B-Chat,0,False,,25,precision_reached,-1.870039968933656,-1.746466100095963,0.2622324625715372,0.2767007063147162
20,0.27,Qwen/Qwen2-0.5B,0,False,,21,info_plateau,-2.575213479732916,-2.3299881281334245,0.323332101931374,0.3423665366631525
20,0.27,Qwen/Qwen2.5-0.5B-Instruct,0,False,,23,precision_reached,-0.9798382852538854,-1.4356651505043336,0.2571548476982498,0.2808670379792903
20,0.27,ai-forever/mGPT,0,False,,26,info_plateau,-5.457332453041023,-5.721039313199934,0.4813325171108553,0.5096491718579284
20,0.27,allenai/OLMo-2-1124-7B,0,False,,20,precision_reached,0.7281096522666397,0.6513124955678277,0.1568785600350434,0.1773445188487759
20,0.27,bigscience/bloom-1b7,0,False,,22,info_plateau,-4.8312280433394,-4.404237014862686,0.4508261383845453,0.4700772740111454
20,0.27,bigscience/bloom-560m,0,False,,24,info_plateau,-5.564495913115259,-5.33461471410936,0.479424374960293,0.5012074936794849
20,0.27,bigscience/bloomz-1b7,0,False,,31,info_plateau,-5.5059542374861135,-5.779724290200464,0.4786283204430732,0.4987329553786219
20,0.27,bigscience/bloomz-7b1,0,False,,20,info_plateau,-5.08725783471138,-5.4393253712913205,0.4913042973186734,0.5229837272133284
20,0.27,facebook/opt-6.7b,0,False,,26,info_plateau,-2.341339155733506,-2.1716706936633026,0.2935932979070821,0.3103746630485703
20,0.27,google/gemma-2b,0,False,,23,info_plateau,-1.582222237538473,-1.4497801662151326,0.2760576108034088,0.3035322421886529
20,0.27,h2oai/h2o-danube2-1.8b-chat,0,False,,21,precision_reached,-1.4935410395242932,-1.3851577203169927,0.2673649604119885,0.2750230149039701
