model,len_online,len_eap,honestSD_online_conceptual_understanding,honestSD_online_quantitative_procedural,honestSD_eap_conceptual_understanding,honestSD_eap_quantitative_procedural,online_honest_ok,eap_reached,theta_online_conceptual_understanding,theta_online_quantitative_procedural,theta_eap_conceptual_understanding,theta_eap_quantitative_procedural,theta_ref_conceptual_understanding,theta_ref_quantitative_procedural
01-ai/Yi-1.5-6B,12,12,0.19942616638176272,0.19765982991928757,0.19942616638176272,0.19765982991928757,True,True,0.11074075993704172,0.5051326168398824,0.11074075993704172,0.5051326168398824,4.4702623050219754e-05,0.30643901092906495
01-ai/Yi-1.5-6B-Chat,12,12,0.16745711178475864,0.22009011367479495,0.16745711178475864,0.22009011367479495,True,True,0.9165728315565127,0.5130833305355232,0.9165728315565127,0.5130833305355232,1.4934163415903132,0.8794718974431203
01-ai/Yi-6B,12,27,0.49179262866596374,0.37384452256999673,0.24163782972473682,0.28572694224661205,False,True,-1.3973698876669947,1.0405488549907878,-1.1050181224479314,0.5769283655794316,-1.2035880184516126,-0.8089371907016986
01-ai/Yi-6B-200K,16,49,0.3566878572046775,0.470290848932082,0.2278224575165554,0.2909800595780044,False,True,-0.9809275569684927,-0.7916131241985948,-0.994841924722387,-0.8536001318070279,-0.8976890743826933,-0.9883634215459489
01-ai/Yi-6B-Chat,12,12,0.27544489572350145,0.2813892948667556,0.27544489572350145,0.2813892948667556,True,True,0.3421714032391273,0.22759156337457176,0.3421714032391273,0.22759156337457176,0.3000132435332932,0.01852822735436025
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,20,50,0.5397930869543609,0.5471908426531977,0.44983403895571666,0.5429143152900429,False,False,-1.2921999178978032,-1.4837009686900928,-1.6554934727018227,-1.619523454622179,-4.644076865607405,-2.5047488236859077
BEE-spoke-data/smol_llama-220M-openhermes,25,50,0.5496445945416204,0.5438137415025159,0.4541127797723569,0.5405681052808644,False,False,-1.3276234835124254,-1.5718245774655901,-1.7143909448588803,-1.637559745144236,-4.189314218802452,-2.5059500438078475
BSC-LT/salamandra-2b,22,50,0.4392869737201425,0.5675790427494319,0.39635335093305246,0.5381572533353919,False,False,-1.574445319870745,-1.2376112062246358,-1.5539576259809529,-1.4971370823447536,-2.097295619334514,-2.446897432384755
BSC-LT/salamandra-2b-instruct,13,50,0.4376078120785871,0.3444539638306382,0.36850915487463626,0.31110753425025894,False,False,-0.5350849428745736,-0.5347803297510885,-0.873049859255153,-0.9476062006928315,-1.198551792110667,-1.2206271051872837
BSC-LT/salamandra-7b,17,50,0.41403110163008544,0.5702588022997294,0.2826693278744102,0.3465721501461504,False,False,-0.7597122597439958,-1.1974281989708397,-0.7896211573644707,-1.082780692107247,-0.9041320780525117,-1.4515940622976753
BSC-LT/salamandra-7b-instruct,15,50,0.4128050822028195,0.29600508452944646,0.30623558696701103,0.23659928078925457,False,False,0.4011311967758613,-0.41291920203621774,-0.08487848128814549,-0.2984956486248613,0.2906121088961779,-0.4029797406913401
HuggingFaceTB/SmolLM2-360M,18,50,0.33025814807457443,0.3804119231275108,0.2854209871122708,0.3724016078562532,False,False,-1.3806274758500352,-0.9797280344433631,-1.6331903996269246,-1.2535448364533868,-2.1330541670606564,-1.5648797002011654
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,12,17,0.22329770029360962,0.43741137167153515,0.09443415963260735,0.276891521509624,False,True,1.7407338009305262,1.4541772559567447,1.8306154560444996,1.5076146144612956,2.2710128464995982,2.026513769758762
OpenBMB/MiniCPM4-0.5B,12,12,0.2249591081325153,0.24711705582372698,0.2249591081325153,0.24711705582372698,True,True,0.03502176387440641,0.06890550839251933,0.03502176387440641,0.06890550839251933,-0.30147985544694683,0.014535813480552362
Qwen/Qwen1.5-1.8B,18,50,0.42019074620758967,0.40027884319502666,0.4065408096363276,0.33626167999947093,False,False,-0.47028295891260774,-1.1119446103442332,-0.685373872383145,-1.1190837880772815,-2.544600801772725,-1.3650263911946388
Qwen/Qwen1.5-1.8B-Chat,14,25,0.3095370190788397,0.41138670324893833,0.25224370798711987,0.2957474302329054,False,True,-0.28272430329285825,-0.7235579861175814,-0.04734472272454604,-0.6270144264377566,-0.5382433460717313,-0.8238595148386748
Qwen/Qwen2-0.5B,15,32,0.5064211990631536,0.3639053369539534,0.2988414301152262,0.2959060591390505,False,True,-1.258444754693345,-0.6688485333542562,-1.2037139704934816,-0.7673336585473579,-2.096146538494441,-0.9667964329563429
Qwen/Qwen2.5-0.5B-Instruct,12,24,0.37124853082212944,0.32522658863444,0.2853820794129588,0.2507226500874453,False,True,-0.2964187921349565,-0.42076444144287345,-0.3691273163932698,-0.355573072245998,-0.2921926179400358,-0.09975445577338786
ai-forever/mGPT,50,50,0.4487816596320065,0.5431796191134108,0.4487816596320065,0.5431796191134108,False,False,-1.637543821816388,-1.7385264153630804,-1.637543821816388,-1.7385264153630804,-5.090835694900705,-2.50382385699194
allenai/OLMo-1B-hf,15,50,0.618140970435768,0.5734950451383166,0.4510668653343469,0.5430594563760629,False,False,-0.6430590594864558,-1.2104917790776226,-1.2046387389250417,-1.49513843318866,-5.090835694900717,-2.5038238569919455
allenai/OLMo-2-0425-1B,12,50,0.46226588814071595,0.33730385659900025,0.34753339856701704,0.279869626794684,False,False,-0.3793637539406731,-0.40509803427948915,-0.6958219574508133,-0.6737666357190703,-1.268985372318986,-0.8096152655793674
allenai/OLMo-2-0425-1B-DPO,12,17,0.2774569742405911,0.30584996760771926,0.21943381215884508,0.2916481941148444,False,True,0.17515598350259656,-0.06930241166584097,0.0956504957938418,-0.26322309375282293,0.294272570187261,-0.1400660411888208
allenai/OLMo-2-0425-1B-Instruct,12,13,0.30253894275065646,0.3043944823378734,0.29051795227150334,0.29529337842860715,False,True,0.20875903039465651,-0.31626744694194797,0.16721128314507006,-0.32946064178782836,0.2965636430990806,-0.005194536723378278
arcee-ai/raspberry-3B,12,12,0.29238297536236624,0.23327909738273134,0.29238297536236624,0.23327909738273134,True,True,0.8269072573465415,0.8267464137255625,0.8269072573465415,0.8267464137255625,1.199986576587572,0.8903023748365588
google/gemma-2-2b,21,50,0.4075264907723219,0.28152523203886654,0.3130027350294756,0.23266756625469415,False,False,-1.3167034102420567,-0.5325466766801316,-1.2464265822267613,-0.5787289789988286,-1.2079286277170138,-0.5232383119078117
google/gemma-2b,13,23,0.37375034928825185,0.3835958812836199,0.27269238915171584,0.27567777773812674,False,True,-1.350027200115581,-0.2790027169850189,-1.2106315706838533,-0.22741964672493664,-1.3080031499400466,-0.6205679043784653
h2oai/h2o-danube-1.8b-chat,17,50,0.3866928735953157,0.39783616707530156,0.39598863532758877,0.38140781239696775,False,False,-1.1223378129303108,-0.8519480126069283,-1.2387885286531235,-1.2008992025517835,-1.202388767895304,-1.6772977479087117
h2oai/h2o-danube2-1.8b-base,17,32,0.32731841163429704,0.35192651400839664,0.24943946236634737,0.29929725553557984,False,True,-0.8805770854892617,-0.6548685451454299,-0.8647364903487664,-0.8312771575038925,-1.2380656641801446,-1.1254881000954617
h2oai/h2o-danube2-1.8b-chat,17,33,0.3793453330057594,0.3476991910349427,0.29580773752561285,0.29027739601419167,False,True,-0.711680663307352,-0.8239388378401069,-0.7136911668190338,-0.7381501574093459,-0.6067661000037335,-0.9577311211336459
ibm-granite/granite-3.0-2b-base,12,12,0.2478675075251736,0.2677371595621802,0.2478675075251736,0.2677371595621802,True,True,0.8012891542516719,0.32880360810286086,0.8012891542516719,0.32880360810286086,0.7901579876151367,0.13118960674164665
