floor,se_target,n_models,median_len,mean_len,pct_cap_hit,pct_info_plateau,pct_reach_all_skills,median_se_total_correctness,max_se_total_correctness,frac_se_total_le_0.25_correctness,frac_se_total_le_0.3_correctness,median_se_total_scaffolding,max_se_total_scaffolding,frac_se_total_le_0.25_scaffolding,frac_se_total_le_0.3_scaffolding
6,0.15,33,33.0,32.666666666666664,0.0,1.0,0.0,0.34947253175745807,1.12955301111806,0.24242424242424243,0.3333333333333333,0.30182224730562107,0.7574226335832462,0.06060606060606061,0.48484848484848486
6,0.2,33,31.0,32.18181818181818,0.0,0.9090909090909091,0.09090909090909091,0.34947253175745807,1.12955301111806,0.24242424242424243,0.3333333333333333,0.30182224730562107,0.7574226335832462,0.030303030303030304,0.48484848484848486
6,0.22,33,30.0,30.060606060606062,0.0,0.6666666666666666,0.3333333333333333,0.34947253175745807,1.12955301111806,0.24242424242424243,0.3333333333333333,0.30182224730562107,0.7596720318293654,0.030303030303030304,0.48484848484848486
6,0.25,33,25.0,25.0,0.0,0.5454545454545454,0.45454545454545453,0.3645655901452937,1.12955301111806,0.12121212121212122,0.30303030303030304,0.31501516838643506,0.7668004522758441,0.0,0.36363636363636365
6,0.27,33,22.0,22.0,0.0,0.5151515151515151,0.48484848484848486,0.37389003225557244,1.131033197440387,0.12121212121212122,0.30303030303030304,0.32207340357642267,0.7721573923654534,0.0,0.18181818181818182
6,0.3,33,21.0,19.09090909090909,0.0,0.45454545454545453,0.5454545454545454,0.37564237296157454,1.1513974059377057,0.0,0.2727272727272727,0.33417623844254607,0.7833158321741167,0.0,0.09090909090909091
6,0.32,33,20.0,18.0,0.0,0.3939393939393939,0.6060606060606061,0.37836363972178083,1.1513974059377057,0.0,0.15151515151515152,0.3490550364569094,0.7935614818292248,0.0,0.06060606060606061
8,0.15,33,33.0,32.666666666666664,0.0,1.0,0.0,0.34947253175745807,1.12955301111806,0.24242424242424243,0.3333333333333333,0.30182224730562107,0.7574226335832462,0.06060606060606061,0.48484848484848486
8,0.2,33,31.0,32.18181818181818,0.0,0.9090909090909091,0.09090909090909091,0.34947253175745807,1.12955301111806,0.24242424242424243,0.3333333333333333,0.30182224730562107,0.7574226335832462,0.030303030303030304,0.48484848484848486
8,0.22,33,30.0,30.060606060606062,0.0,0.6666666666666666,0.3333333333333333,0.34947253175745807,1.12955301111806,0.24242424242424243,0.3333333333333333,0.30182224730562107,0.7596720318293654,0.030303030303030304,0.48484848484848486
8,0.25,33,25.0,25.0,0.0,0.5454545454545454,0.45454545454545453,0.3645655901452937,1.12955301111806,0.12121212121212122,0.30303030303030304,0.31501516838643506,0.7668004522758441,0.0,0.36363636363636365
